pad wrapped around the 75
pan handles toward the 55
path between fields of 48
path between hedges of 44
path between points on 42
path meandering through the 117
path meanders through the 98
path towards becoming an 54
path travels through the 42
path trodden through the 120
path twisted through the 68
path upwards through the 50
pay careful regard to 130
pay certain amount of 87
pay certain amount to 40
pay certain arrears of 68
pay certain bodies of 42
pay certain claims of 89
pay certain duties on 64
pay certain duties to 82
pay certain moneys to 151
pay certain monies to 73
pay college tuition or 60
pay customs duties at 108
pay customs duties in 160
pay customs duties on 938
pay customs duties or 211
pay customs duties to 309
pay damages caused by 489
pay damages instead of 72
pay damages unless he 46
pay especial homage to 53
pay especial regard to 181
pay funeral honors to 93
pay furtive visits to 107
pay himself instead of 68
pay himself something in 62
pay increase should be 149
pay nightly visits to 334
pay official visits to 758
pay periodic visits to 475
pay premium prices in 60
pay premium prices to 836
pay private visits to 67
pay regular homage to 44
pay regular visits to 4555
pay repeated visits to 402
pay revenue direct to 111
pay servile homage to 40
pay several visits to 881
pay similar homage to 89
pay similar visits to 66
pay sincere homage to 76
pay systems should be 184
pay tribute enough to 41
pay tribute instead of 66
pay workers enough to 197
peak current occurs at 175
peak current should be 150
peak current through the 1151
peak emission occurs at 257
peak glacier system in 114
peak heights should be 104
peak maximum shifts to 48
peak position shifts to 453
peak shortly before the 432
peak tensile stress at 44
peak tensile stress in 129
peak tensile stress is 128
peak tensile stress of 50
peak usually occurs in 54
peak voltage across the 2813
peak voltage output of 111
peak voltage should be 51
peak wartime strength of 76
pen lightly through the 65
per average family of 105
per average number of 262
per capital income in 579
per capital income is 322
per capital income of 896
per channel instead of 42
per channel should be 86
per cluster number of 76
per division instead of 81
per elderly person in 79
per faculty member in 171
per faculty member is 49
per formula weight of 405
per fraction should be 63
per haploid genome in 285
per haploid genome is 75
per haploid genome of 269
per hectare appears to 61
per hectare before the 78
per hectare instead of 231
per hectare needed to 44
per hectare number of 77
per hectare output of 203
per hectare should be 693
per hectare through the 89
per hectare whereas the 64
per hectare yields in 175
per hectare yields of 934
per hundred million by 49
per hundred million of 97
per hundred pieces is 45
per hundred pounds as 285
per hundred pounds at 155
per hundred pounds by 78
per hundred pounds in 1587
per hundred pounds is 223
per hundred pounds of 8727
per hundred pounds on 1090
per hundred pounds or 663
per hundred pounds the 71
per hundred pounds to 1611
per hundred rupees of 64
per hundred weight at 47
per hundred weight in 177
per hundred weight is 68
per hundred weight of 420
per hundred weight on 443
per hundred weight or 92
per hundred weight to 113
per imperial gallon in 225
per imperial gallon of 356
per imperial gallon on 157
per insured person in 90
per married couple in 88
per married couple is 80
per passage through the 57
per patient should be 115
per quarter before the 45
per quarter instead of 84
per quarter section of 120
per quarter should be 116
per student across the 59
per student should be 274
per student spending on 113
per subject should be 47
per thousand before the 122
per thousand grains of 54
per thousand instead of 193
per thousand pounds of 2113
per thousand pupils in 58
per thousand readers or 47
per thousand should be 114
per thousand whereas in 40
per thousand whilst the 69
pin drilled through the 45
pin extending through the 113
pin extends through the 40
pit shouted something to 243
plea bargain should be 111
poem centers around the 55
poem extends beyond the 52
poem recited before the 66
poem usually called the 59
poem written around the 104
poem written before he 61
poem written before the 184
poem written toward the 50
poet himself appears in 43
poet himself appears to 95
poet himself called it 94
poet himself refers to 79
poet himself should be 56
poet wandering through the 51
poet wanders through the 75
poet wonders whether the 76
pop culture images of 57
pop culture through the 56
pop culture version of 46
pop grocery stores in 42
pot handles toward the 403
pus burrows through the 131
pus escaped through the 55
pus escapes through the 347
put between layers of 214
put between sheets of 69
put between slices of 93
put borders around the 42
put bullets through the 172
put callers through to 97
put cayenne pepper in 144
put cayenne pepper on 65
put certain groups at 47
put certain groups of 40
put certain issues on 53
put certain limits on 469
put certain limits to 109
put certain papers in 49
put certain points to 49
