packet is encapsulated into 110
painting in independence hall 196
painting is considerably more 108
painting of considerable size 45
painting of contemporary life 107
palace of considerable size 40
pantheon of supernatural beings 211
papers of considerable length 44
papers of incorporation were 114
parcel of agricultural land 809
parses the configuration file 49
parted on particularly good 70
partial or insufficient trial 88
partly by contributions from 619
partly by subscriptions from 153
partly in superstitious dread 61
partly on experimental data 43
passed an apportionment bill 56
passed an appropriations bill 505
passed my handkerchief over 55
passed on successively from 62
passed the appropriations bill 268
passed the certification exam 71
passed the certification test 44
passed the handkerchief over 86
passed the intelligence test 54
passed the international date 46
passed the matriculation exam 227
passed the reorganization bill 58
passes an appropriations bill 115
passes an intellectual life 47
patron or acknowledged great 49
pauses of considerable length 72
peopled by supernatural beings 115
peoples of transcaucasia were 60
pepsin by hydrochloric acid 344
pepsin in hydrochloric acid 105
pepsin or hydrochloric acid 194
periods of agricultural work 123
periods of compensatory rest 98
periods of concentrated work 259
periods of consciousness were 44
periods of conservative rule 180
periods of considerable length 562
periods of disengagement from 59
periods of exceptionally good 52
periods of exceptionally heavy 155
periods of exceptionally high 426
periods of imprisonment ranging 111
periods of imprisonment were 118
periods of incalculable length 51
periods of incarceration were 41
periods of inconsolable crying 51
periods of independence from 65
periods of institutional care 107
periods of instructional time 131
periods of intellectual life 52
periods of international peace 71
periods of intrauterine life 70
periods of particularly heavy 65
periods of particularly high 111
periods of undetermined length 46
periods of unemployment also 45
periods of unemployment among 57
periods of unemployment during 378
periods of unemployment have 228
periods of unemployment over 46
periods of unemployment such 48
periods of unemployment tend 41
periods of unemployment were 456
periods of unemployment when 351
periods of unemployment will 120
periods of unstructured time 91
perked up considerably when 116
permit an investigation into 99
permit an unobstructed view 465
permit no interference from 58
person be disqualified from 80
person in irreversible coma 71
person is considerably less 48
person is considerably more 40
person is deliberately trying 48
person is disconnected from 48
person is disqualified from 1001
person is incorporated into 267
person is substantially less 87
person is sufficiently seen 51
person is transplanted into 45
person of considerable means 222
person of considerable note 303
person of considerable rank 259
person of considerable wealth 444
person of considerably more 50
person of consideration among 129
person of exceptionally good 56
person of exceptionally high 50
person of illegitimate birth 194
person of intelligence will 68
person of sufficiently high 52
person of unconditional self 325
person of unconditional worth 48
person or governmental unit 119
phases of agricultural life 141
phases of agricultural work 202
