painters pronounced it a 91
pairwise comparison of a 89
palpable indications of a 75
parallel activities in a 71
parallel application of a 81
parallel application on a 47
parallel arrangement in a 47
parallel arrangement of a 194
parallel combination is a 55
parallel combination of a 3521
parallel combination of c 462
parallel combination of l 429
parallel combination of n 118
parallel combination of r 1302
parallel combination of z 66
parallel commitment to a 46
parallel components of a 100
parallel composition of a 219
parallel composition of n 132
parallel composition of p 110
parallel computation in a 125
parallel computation of a 168
parallel computation on a 142
parallel conductors in a 47
parallel conductors of a 57
parallel description of a 51
parallel electrodes in a 113
parallel expressions of a 70
parallel orientation in a 99
parallel orientation of a 48
parallel phenomenon in a 54
parallel projections of a 99
parallel resistance of a 81
parallel resistance of r 57
parallel structures in a 62
parallel translation of a 159
parasite infestation to a 263
parental acceptance of a 85
parental alcoholism is a 54
parental discipline as a 54
parental discipline in a 66
parental discipline is a 61
parental instruction of a 44
parental investment in a 191
parental investment is a 77
parental perceptions of a 88
parental supervision is a 78
parental supervision of a 45
parietal peritoneum by a 78
parietal peritoneum in a 51
parochial consistory is a 61
partially ameliorated by a 59
partially applicable to a 58
partially attributed to a 660
partially conditioned by a 41
partially controlled by a 478
partially decomposed by a 47
partially demolished by a 54
partially determined by a 412
partially dissipated by a 48
partially eliminated by a 75
partially evaporated in a 67
partially guaranteed by a 74
partially influenced by a 154
partially maintained by a 59
partially obstructed by a 475
partially overlapped by a 84
partially penetrated by a 43
partially recognized as a 49
partially replicated in a 86
partially reproduced in a 45
partially responsive to a 43
partially restrained by a 82
partially subdivided by a 215
partially subsidized by a 74
partially successful as a 198
partially successful in a 111
partially superseded by a 92
partially supplanted by a 118
partially suppressed by a 75
partially surrounded by a 1670
partially understood as a 239
partially understood by a 54
particle considered as a 47
particle excitations in a 49
particle interaction in a 257
particle oscillates in a 78
particle oscillation in a 53
particle properties in a 106
particle properties of a 117
particle restricted to a 54
particle surrounded by a 638
particle trajectory in a 371
particle trajectory is a 128
particle velocities at a 47
particle velocities in a 350
partisan composition of a 62
partition coefficient as a 233
partition coefficient in a 163
partition coefficient is a 453
partition coefficient of a 2886
partners contribute to a 51
passages indicative of a 63
passenger automobile or a 45
passenger department of a 40
passport photograph of a 44
password information in a 75
password information to a 54
pastoral encampment of a 59
pastoral experience as a 48
pastoral experience in a 52
pastoral prescribed as a 49
patently inadequate as a 43
paternal government in a 85
paternal government of a 128
paternal grandfather as a 82
paternal grandfather is a 80
paternal grandfather of a 41
paternal grandmother as a 62
paternal grandmother in a 85
paternal grandmother is a 81
paternal grandmother of a 43
pathology department in a 43
pathology department of a 104
pathology laboratory in a 67
patients complained of a 602
patients department of a 70
patients discharged in a 72
patients discharged on a 63
patients discharged to a 66
patients experience as a 136
patients identified by a 42
patients information in a 126
patients maintained in a 61
patients maintained on a 269
patients progressed to a 67
patients randomized to a 299
patients registered in a 64
patients stabilized on a 70
patriarch surrounded by a 42
patriotic aspirations of a 44
patriotic attachment to a 199
patriotic conscience as a 67
patriotic indignation of a 40
patriotic sentiments in a 70
patriotic sentiments of a 109
patterns appropriate to a 125
patterns attributed to a 68
patterns contribute to a 86
patterns correspond to a 125
patterns determined by a 62
patterns indicative of a 158
patterns suggestive of a 130
pavement surrounded by a 45
payments adjustment in a 74
payments calculated as a 43
payments calculated on a 68
payments determined by a 40
payments discounted at a 80
payments equivalent to a 85
payments guaranteed by a 47
payments receivable by a 53
peacetime equivalent of a 122
pecuniary advantages of a 135
pecuniary assistance in a 87
pecuniary assistance to a 139
pecuniary distresses of a 74
pecuniary obligations of a 56
pedestal surmounted by a 987
pedestal surrounded by a 249
pediatric department of a 77
pediment surmounted by a 372
pendulum oscillates in a 97
peptides recognized by t 187
perceive alcoholism as a 45
perceive government as a 126
perceive immigration as a 41
perceive indications of a 246
perceive information in a 177
perceive magnitudes in a 58
perceive mathematics as a 207
perceive technology as a 111
perennial philosophy as a 47
perennial philosophy is a 64
performing acrobatics on a 44
performing activities in a 91
performing activities of a 43
performing adequately as a 45
performing adequately in a 65
performing agreements as a 68
performing tracheotomy on a 45
performs appraisals on a 279
perfumed atmosphere of a 133
perilous experiment of a 91
permitting amendments in a 61
permitting examination of a 47
permitting impeachment by a 78
permitting recognition of a 47
personal acceptance of a 178
personal acquisition of a 65
personal activities as a 50
personal activities in a 44
personal activities of a 132
personal adjustment as a 70
personal adjustment in a 102
personal adjustment is a 77
personal adjustment of a 50
personal adjustment to a 201
personal advantages as a 48
personal advantages of a 124
personal adventures of a 156
personal appearances as a 106
personal appearances at a 49
personal appearances in a 71
personal application of a 224
personal application to a 132
personal appreciation of a 100
personal ascendancy of a 102
personal ascendency of a 45
personal aspirations of a 79
personal assessment of a 217
personal assistance as a 59
personal assistance in a 43
personal assistance of a 143
personal assistance to a 70
personal associations of a 92
personal associations to a 41
personal atmosphere of a 122
personal attachment as a 80
personal attachment by a 42
personal attachment of a 108
personal attachment to a 887
personal attendance as a 103
personal attendance at a 169
personal attendance in a 43
personal attendance of a 367
personal attendance on a 86
personal attendants of a 84
personal attractions of a 86
personal attributes as a 125
personal attributes in a 82
personal attributes of a 740
personal attributes to a 41
personal automobile at a 65
personal background as a 213
personal background in a 46
personal background of a 103
personal boundaries in a 45
personal boundaries is a 63
personal capacities of a 41
personal castigation of a 100
personal cleanliness as a 138
personal cleanliness is a 221
personal commentary on a 52
personal commitment as a 143
personal commitment in a 139
personal commitment is a 72
personal commitment of a 330
personal commitment or a 53
personal commitment to a 2665
personal competence as a 114
personal competence in a 100
personal competence is a 42
personal competence of a 85
personal composition of a 63
personal conceptions of a 41
personal conference in a 44
personal confidence as a 42
personal confidence in a 118
personal confidence of a 63
