painting flourished under the 76
paired comparison method is 273
paired comparison method of 182
paired comparison study of 42
paired controlled study of 56
palace immediately after the 85
palace originally built by 217
paltry individual facts as 71
papers complained about the 49
papers identified cohen as 53
papers immediately after the 162
papers originally given at 71
parent complained about the 97
parent corporation ceases to 140
parent corporation could be 241
parent corporation shall be 469
parent corporation takes the 59
parent corporation under the 192
parent corporation where the 53
parent corporation which is 308
parent corporation within the 90
parent corporation would be 443
parent households headed by 1598
parent households where the 254
parent immediately after the 68
parent information about the 100
parish immediately after the 40
parted immediately after the 90
partial adjustment model in 122
partial adjustment model is 357
partial adjustment model of 180
partial adjustment model to 71
partial amendments shall be 351
partial contraction known as 40
partial correlation would be 95
partial derivative equal to 298
partial derivative gives the 76
partial derivative terms in 73
partial derivative which is 46
partial derivative would be 42
partial disability shall be 267
partial disability under the 117
partial explanation could be 110
partial explanation might be 183
partial explanation seems to 51
partial explanation would be 75
partial inadequate notion of 86
partial information about an 98
partial information about it 75
partial information about the 2893
partial information could be 40
partial information given by 50
partial information which is 76
partial liquidation under the 90
partial liquidation within the 181
partial parameters based on 48
partial prepayment shall be 142
partly concurrent shall be 65
partly considered under the 40
partly cultivated after the 82
partly determined never to 127
partly successful since the 60
passed absolutely under the 44
passed completely round the 239
passed completely under the 457
passed dangerously close to 233
passed definitely under the 106
passed harmlessly under the 71
passed immediately above me 46
passed immediately after the 1615
passed immediately below the 73
passed immediately beneath the 81
passed immediately under the 200
passed information about the 222
passed legislation aimed at 1129
passed legislation banning the 201
passed legislation barring the 50
passed legislation based on 157
passed legislation changing the 71
passed legislation creating an 59
passed legislation creating the 423
passed legislation known as 317
passed legislation placing the 49
passed legislation raising the 215
passed legislation setting up 192
passed legislation which in 40
passed perilously close to 114
passed relatively close to 54
passed resolutions about it 52
passed resolutions about the 81
passed resolutions aimed at 99
passed resolutions calling on 482
passed resolutions denying the 143
passed resolutions looking to 78
passed resolutions tending to 47
passed resolutions thanking the 95
passed resolutions which the 65
passes completely round the 189
passes completely under the 90
passes immediately above the 130
passes immediately below the 652
passes immediately beneath the 74
passes immediately under the 271
passes information about the 208
passes relatively close to 91
patent application after it 45
patent application after the 218
patent application based on 347
patent application could be 112
patent application filed at 88
patent application filed by 430
patent application filed in 943
patent application filed on 341
patent application gives the 57
patent application meets the 69
patent application shall be 1751
patent application under the 403
patent application until the 48
patent application which is 188
patent application within the 157
patent application would be 124
patent arrangement which he 55
patent infringement action in 182
patent infringement action is 264
patent infringement action to 144
patent infringement based on 316
patent infringement cases in 190
patent infringement cases is 124
patent infringement claim in 117
patent infringement claim is 106
patent infringement suits by 85
patent infringement suits in 215
patent infringement suits to 90
patent infringement under the 208
patent infringement where the 43
patent infringement would be 45
patent invalidity based on 78
pathway suppresses growth of 71
peasant associations under the 42
peasant committees pending the 53
peasant households could be 44
peasant households within the 55
peasant households would be 111
pedals emphasizes curve in 50
pencil frequently leaves an 41
penned immediately after the 127
pension admissible under the 82
peoples everywhere would be 41
periods accumulate until he 50
periods applicable under the 54
periods immediately after the 214
permit application shall be 296
permit conclusions about the 962
permit controlled waste to 90
permit corrective action to 122
permit individual users to 56
permit inferences about the 975
permit predictions about the 171
permit speculation about the 162
permit statements about the 211
permit substantial savings in 92
permit sufficient light to 69
permit sufficient water to 40
permit systematic study of 46
permit voluminous items of 67
person apparently above the 57
person apparently under the 779
person complained about the 71
person completely lacking in 76
person consciously tries to 69
person criminally liable is 90
person designated under the 65
person discharged shall be 117
person emotionally aware of 46
person eventually comes to 62
person extradited under the 68
person frequently fails to 48
person households headed by 167
person households where the 48
person immediately after he 48
person immediately after the 350
person immediately selling to 122
person imprisoned under the 134
person influences others to 50
person information about the 220
person information which he 40
person innocently mocks at 50
person interested either in 147
person interested shall be 224
person interested under an 48
person interested under the 421
person interested within the 144
person narratives about the 129
person omniscient point of 1352
person originally liable to 89
person originally named as 66
person personally known to 64
person prosecuted shall be 81
person prosecuted under the 127
person registered under the 1329
person subjective point of 123
person sufficient money to 64
person transferring title to 67
petite bourgeoisie within the 47
phenol coefficient method of 49
phenol coefficient would be 91
phonon interaction which is 144
phrase frequently found in 98
phrase immediately after the 79
phrase inevitably calls up 42
phrase translated above as 40
pickup basketball games at 54
pickup basketball games in 76
pieces immediately after the 53
pilots complained about the 46
placed absolutely under the 100
placed accurately within the 53
placed completely under the 619
placed completely within the 156
placed dangerously close to 91
placed definitely under the 124
placed definitely within the 42
placed explicitly under the 45
placed gracefully above the 68
placed immediately about the 71
placed immediately above it 244
placed immediately above or 129
placed immediately above the 3062
placed immediately after an 96
placed immediately after it 383
placed immediately after the 7258
placed immediately below it 184
placed immediately below the 3319
placed immediately beneath it 98
placed immediately beneath the 2168
placed immediately under it 96
placed immediately under the 3469
placed immediately within the 217
placed information about the 52
placed originally under the 55
