paced hand movements in 147
pacts were concluded in 44
paddy rice production in 196
pagan gods continued to 41
pages fill themselves in 109
pages have attempted to 728
pages have confirmed my 52
pages have described the 215
pages have discussed the 87
pages have endeavored to 53
pages have indicated the 110
pages have presented the 60
pages have reference to 42
pages have succeeded in 54
pages were addressed to 70
pages were allocated to 73
pages were collected by 44
pages were collected in 59
pages were committed to 40
pages were dedicated to 248
pages were delivered to 321
pages were dominated by 197
pages were illumined at 44
pages were impressed in 41
pages were inscribed the 48
pages were presented to 74
pages were published by 74
pages were published in 247
pages were reprinted in 64
pages were stretched by 81
pages were submitted to 46
pages will doubtless be 66
pages young gentlemen of 52
pains upon sentences of 42
pains were described as 122
pains were necessary to 124
pains were occasioned by 40
pains were requisite to 47
paint many portraits of 44
paint some portraits of 55
paint their opponents as 147
paint their portraits in 87
paint these portraits of 51
pairs have completed the 76
pairs were collected in 58
pairs were estimated in 45
pairs were estimated to 93
pairs were generated by 66
pairs were liberated in 86
pairs were presented at 105
pairs were presented in 468
pairs were presented on 70
pairs were presented to 225
pairs were separated by 170
pairs were subjected to 71
palmy days commanded the 66
panel data collected by 99
panel data collected in 143
panel were published in 46
panel will determine the 66
panic took possession of 672
panic were witnessed in 84
papal bull addressed to 42
paper also addressed the 77
paper also addresses the 291
paper also attempted to 63
paper also commented on 55
paper also considers the 342
paper also contained an 87
paper also contained the 142
paper also described the 119
paper also describes an 113
paper also describes the 702
paper also discussed the 176
paper also discusses the 1407
paper also evaluates the 67
paper also indicates the 79
paper also presented at 51
paper also presented the 78
paper also published an 68
paper also published in 103
paper also published the 106
paper also supported the 51
paper ever presented to 58
paper ever published by 77
paper ever published in 786
paper ever published on 112
paper face downwards on 163
paper felt compelled to 66
paper gave expression to 46
paper have attempted to 85
paper having concluded the 187
paper just presented to 51
paper just published by 87
paper just published in 74
paper made available by 92
paper made available to 144
paper made reference to 63
paper mill effluents in 81
paper mill effluents on 193
paper more difficult to 47
paper more interesting to 45
paper most concerned the 50
paper must accompany the 46
paper only addresses the 60
paper only considers the 95
paper only describes the 51
paper only discusses the 79
paper size specified by 58
paper size specified in 70
paper took advantage of 61
paper used throughout the 57
paper were available in 53
paper were collected as 150
paper were collected at 79
paper were collected by 389
paper were collected in 389
paper were collected on 56
paper were conducted at 56
paper were conducted by 57
paper were conducted in 136
paper were conducted on 159
paper were conducted to 44
paper were dedicated to 47
paper were delivered at 227
paper were delivered to 95
paper were developed by 90
paper were developed in 222
paper were discussed at 52
paper were discussed in 85
paper were forwarded to 69
paper were generated by 82
paper were performed at 134
paper were performed by 96
paper were performed in 166
paper were performed on 402
paper were presented as 138
paper were presented at 3640
paper were presented by 79
paper were presented in 455
paper were presented to 615
paper were published as 87
paper were published by 60
paper were published in 356
paper were regulated by 41
paper were reprinted in 53
paper were scattered on 121
paper were subjected to 219
paper were submitted to 50
paper were supported by 627
paper were supported in 173
paper when subjected to 45
paper will certainly be 43
paper will circulate in 40
paper will determine the 96
paper will doubtless be 76
paper will elaborate on 285
paper will elucidate the 47
paper will emphasize the 231
paper will generally be 54
paper will highlight the 249
paper will influence the 48
paper will introduce the 170
paper will represent the 95
paper will stimulate the 43
paper will summarize the 396
paper will undertake to 41
paper work generated by 94
paper work necessary in 57
paper work necessary to 585
parking lots surrounding the 232
parking lots throughout the 217
parks were developed by 41
parks were developed in 88
parse tree generated by 53
parts bearing numerical or 319
parts fine aggregate by 277
parts from suppliers in 76
parts from suppliers to 81
parts have continued to 43
parts have possessed by 61
parts have reference to 42
parts lend themselves to 127
parts made necessary by 86
parts more difficult to 71
parts most difficult to 71
parts most important to 47
parts most lucrative to 49
parts most sensitive to 181
parts most subjected to 52
parts must themselves be 103
parts pitt displayed in 87
parts very different in 58
parts very difficult to 89
parts were assembled at 62
parts were assembled by 68
parts were assembled in 180
parts were assembled on 66
parts were assembled to 57
parts were available at 52
parts were available in 107
parts were available to 122
parts were collected in 76
parts were completed by 95
parts were completed in 111
parts were conceived as 132
parts were connected by 250
parts were connected in 62
parts were connected to 47
parts were conquered by 41
parts were contained in 79
parts were converted to 93
parts were delivered at 48
parts were delivered in 105
parts were delivered to 236
parts were deposited in 125
parts were described as 103
parts were described by 74
parts were described in 66
parts were destroyed by 99
parts were destroyed in 42
parts were developed by 40
parts were developed in 166
parts were difficult to 298
parts were dominated by 48
parts were entrusted to 149
parts were fortified by 86
parts were inhabited by 156
parts were installed in 55
parts were necessary to 167
parts were performed by 586
parts were performed in 62
parts were permitted to 77
parts were presented at 47
parts were presented in 56
parts were presented to 60
parts were preserved in 69
parts were protected by 93
parts were published as 186
parts were published at 78
parts were published by 183
parts were published in 1340
parts were purchased by 58
parts were reprinted in 95
parts were separated by 406
parts were subjected to 220
parts were submitted to 64
parts were supported by 100
parts were sustained by 262
parts when subjected to 89
parts will determine the 109
parts will generally be 101
parts will represent the 60
party also advocated the 62
party also attempted to 146
party also continued to 108
party also succeeded in 251
party also supported the 155
party also undertook to 42
party among ourselves at 42
party best qualified to 60
party bill supported by 41
party bury themselves in 56
party came increasingly to 53
party ever attempted to 44
party ever organized in 140
party ever succeeded in 49
party felt compelled to 200
party find themselves in 74
party from completion of 56
party from controlling the 51
party from discovering the 46
party from influencing the 58
party from introducing in 71
party from introducing the 103
party from nashville to 42
party from precipice to 45
party gave expression to 40
party gave themselves up 182
party have announced as 153
party have attempted to 82
party have continued to 57
party have succeeded in 85
party having decidedly the 60
party having knowledge of 425
party having neglected to 58
party having possession of 308
party having succeeded in 94
party held possession of 103
party into opposition to 73
party kept possession of 42
party life described in 47
party line throughout the 48
party made overtures to 66
party meant virtually to 64
party more sensitive to 56
party most benefited by 50
party most committed to 181
party most competent to 51
party most concerned in 134
party most concerned to 49
party most favorable to 106
party most qualified to 77
party most sensitive to 43
party must designate the 159
party must determine the 56
party must establish by 46
party must establish the 185
party must implement the 47
party must indemnify the 45
party must recognize the 74
party must reimburse the 109
party must represent the 80
party must undertake to 51
party next proceeded to 136
party only consisted of 105
party only succeeded in 45
party owed allegiance to 108
party sent delegates to 47
party such discovery as 57
party take advantage of 109
party take possession of 165
party taking advantage of 768
party taking possession of 176
party there consisted of 75
party there domiciled to 80
party threw themselves on 54
party took advantage of 1553
party took possession of 990
party turn themselves on 172
party upon completion of 53
party were appointed to 157
party were approaching the 111
party were assembled at 480
party were assembled in 564
party were assembled on 109
party were assembled to 135
party were attracted to 47
party were chagrined at 47
party were challenged by 42
party were collected at 58
party were collected in 134
party were commanded by 42
party were committed to 353
party were compelled to 1111
party were concerned in 71
party were condemned as 51
party were condemned to 61
party were conducted by 67
party were conducted to 307
party were confident of 54
party were contented to 40
party were convicted of 101
party were delighted to 130
party were delivered up 60
party were denounced as 56
party were desirable or 112
party were destroyed by 106
party were destroyed on 42
party were destroyed or 68
party were disguised as 40
party were dispersed in 74
party were disturbed by 74
party were dominated by 51
party were expressed in 69
party were favorable to 51
party were forbidden to 43
party were fortunate in 75
party were impressed by 63
party were incapable of 64
party were indignant at 89
party were installed in 88
party were instantly on 104
party were justified by 76
party were justified in 52
party were massacred by 209
party were necessary to 40
party were overtaken by 269
party were permitted to 790
party were persuaded to 101
party were powerless to 42
party were presented to 163
party were protected by 88
party were published in 68
party were ransacked to 87
party were reflected in 101
party were reluctant to 178
party were requested to 95
party were scattered in 53
party were scheduled to 83
party were sentenced to 91
party were subjected to 227
party were succeeded by 54
party were supported by 143
party were surprised at 70
party were surprised by 198
party were surprised to 195
party were suspected of 61
party were suspicious of 92
party were unanimous in 157
party were victorious in 51
party were witnesses of 50
party when contracting is 132
party will certainly be 63
party will determine the 95
party will discharge the 46
party will forestall us 58
party will generally be 233
party will guarantee the 53
party will indemnify the 121
party will influence the 48
party will reimburse the 61
party will represent the 139
party will terminate the 103
party will undertake to 72
passing away peacefully in 113
passing bird represent the 47
passing from adversity to 263
passing from appearance to 42
passing from barbarism to 122
passing from childhood to 2080
passing from classical to 43
passing from continent to 90
passing from despotism to 44
passing from equatorial to 48
passing from exaltation to 47
passing from existence to 66
passing from feudalism to 93
passing from generation to 2680
passing from happiness to 645
passing from household to 47
passing from ignorance to 396
passing from innocence to 60
passing from jerusalem to 113
passing from knowledge to 45
passing from logarithms to 106
passing from meditation to 68
passing from monastery to 42
passing from objective to 41
passing from opposition to 46
passing from ourselves to 67
passing from perception to 77
passing from potassium to 53
passing from premisses to 93
passing from revolution to 40
passing from servitude to 42
