pacifist peace pledge union 57
packages from source code 51
packages have already been 168
packages have become more 187
packages will become more 91
painless soft tissue mass 171
painters have always been 268
painters have always done 45
painters were called upon 108
palpable soft tissue mass 94
pamphlet went through four 45
pamphlet went through three 61
panniers slung across their 62
paradigm have already been 42
parallax when viewed from 45
parallel from another part 220
parallel less striking when 61
parallel rays emerge from 102
parallel rays emerging from 321
parallel were opened upon 84
parallel when viewed from 481
parallel will scarce hold 72
parental body little more 70
parietal cell proton pump 147
parietal lobe lesions have 61
parishes were formed into 80
parishes were united into 62
partially open closet door 103
partially open office door 43
particle size varied from 183
particle size varies from 218
particle will depend upon 96
particle will escape from 199
partisan made another move 91
partition more readily into 85
partition wall broken down 91
partners have agreed upon 91
partners have already been 97
partners have always been 130
partners have become more 153
partners must report their 103
partners were called upon 48
partners were chosen from 101
partners will become more 125
passages from english into 64
passages from english poets 75
passages from europe into 128
passages from victor hugo 101
passages have already been 711
passages have always been 91
passages here quoted from 131
passages just quoted from 1006
passages just quoted have 62
passages just quoted make 45
passages just quoted show 177
passages just quoted were 57
passages just quoted will 44
passages there quoted from 93
passages were chosen from 55
passages were quoted from 169
passenger door popped open 108
passenger side rolled down 118
passenger side window down 61
password must differ from 56
pastoral reed breathed such 75
pastured their flocks there 40
pastures have always been 42
pastures into arable land 87
pastures were turned into 47
patients also differ from 68
patients also should have 46
patients also suffer from 1162
patients fall asleep during 53
patients feel better when 147
patients find relief from 132
patients from mental health 43
patients from outlying areas 58
patients from remote areas 44
patients gain relief from 49
patients have already been 1026
patients have already died 73
patients have already lost 77
patients have always been 346
patients have become less 49
patients have become more 824
patients have changed their 52
patients have fallen into 58
patients have indeed been 45
patients have little pain 58
patients have rarely been 73
patients have reached their 74
patients have severe pain 166
patients have sought help 40
patients have varied from 58
patients have weight loss 40
patients lose weight during 74
patients most likely have 129
patients must depend upon 48
patients need special care 50
patients over eighty years 66
patients over twelve years 62
patients over twenty years 84
patients past middle life 242
patients seek relief from 83
patients were already taking 46
patients were asleep during 108
patients were becoming more 59
patients were better able 205
patients were bleeding from 48
patients were changed from 68
patients were chosen from 117
patients were disease free 187
patients were herded into 47
patients were loaded into 49
patients were mostly from 41
patients were mostly young 49
patients were packed into 42
patients were placed into 158
patients were tested during 64
patients were treated during 698
patients were treated early 114
patients were treated free 162
patients were treated from 164
patients were treated here 131
patients were treated like 120
patients were treated more 234
patients were treated once 116
patients were treated only 209
patients were treated over 189
patients were treated prior 40
patients were treated there 344
patients were turned away 170
patients will already have 391
patients will always have 86
patients will always need 56
patients will become less 89
patients will become more 376
patients will depend upon 113
patients will differ from 58
patients will likely have 79
patients will profit from 71
patients will regain their 50
patients will remain free 96
patients will remain well 41
patients will report pain 43
patients will report some 44
patients will retain their 44
patients will suffer cold 42
patients will suffer from 650
patients work through their 155
patterns also differ from 70
patterns also emerge from 41
patterns have already been 850
patterns have always been 254
patterns have become less 72
patterns have become more 995
patterns have become much 42
patterns have become part 49
patterns have become very 59
patterns have become well 90
patterns have broken down 231
patterns have changed during 52
patterns have changed from 131
patterns have changed over 977
patterns have changed very 65
patterns have indeed been 45
patterns have rarely been 52
patterns over recent years 51
patterns vary greatly among 93
patterns vary greatly from 149
patterns vary widely among 127
patterns vary widely from 132
patterns were already there 49
patterns were already well 91
patterns were becoming more 76
patterns were copied from 85
patterns were handed down 101
patterns when viewed from 82
patterns will become more 546
patterns will depend upon 87
patterns will differ from 95
patterns will emerge from 147
patterns will result from 98
pavement will depend upon 43
pavilions from public view 65
payments during periods when 48
payments during recent years 48
payments have already been 450
payments have always been 188
payments have become more 88
payments made abroad from 41
payments over twenty years 103
payments vary widely from 42
payments were agreed upon 76
payments were always made 113
payments were exempt from 131
payments were raised from 44
payments were scaled down 153
payments were timely made 61
payments will depend upon 175
payments will differ from 60
peasantry have always been 80
peasantry were driven into 44
peasantry were formed into 101
peasantry were ground down 110
pendulum will return along 40
peptides have already been 81
peptides were cleaved from 91
peptides were eluted from 126
perceive lord hastings will 81
perceive more clearly their 107
perceive more clearly what 1147
perceive nothing without those 42
perceive very clearly what 63
perceive very clearly when 68
perfecting their common life 82
performing arts center will 48
performing arts groups from 57
performing arts groups have 119
performing heavy manual work 53
performing some heroic deed 54
performing some sacred duty 72
performing some sacred rite 87
performing some useful task 51
performing some useful work 68
performing such duties during 51
performing their duties during 132
performing their duties from 42
performing their duties more 44
performing their duties well 183
performing their duties were 43
performing their duties when 50
performing their normal work 84
performing their proper role 44
performing their public duty 69
performing what looked like 64
performs much better when 172
performs very poorly when 90
performs work should have 48
permitting their lovers even 54
personal data should only 52
personal gain divert unto 54
personal good wishes made 51
personal life around their 59
personal life became more 367
personal life should have 46
perverse yarn caught fast 54
petitions have already been 153
petitions have always been 41
petitions were poured into 66
petitions were turned down 120
physical evil arises from 73
physical health status were 50
physician most likely will 85
physician must always have 43
physician must always keep 84
physician must decide what 107
physician must decide when 84
physician must depend upon 98
physician must insist upon 50
physician must pursue some 46
physician were something else 53
physician will depend upon 55
physician will divine what 54
pictured fame reached from 47
pictured their future life 49
pictures from common life 52
pictures have already been 296
pictures have always been 321
pictures have become more 78
pictures have hidden their 68
pictures show scenes from 49
pictures very lovely when 65
pictures were becoming more 51
pictures were bought from 59
pictures were chosen from 72
pictures were copied from 112
pictures were handed over 119
pictures were hidden there 52
pictures were little more 49
