packed their possessions into 70
painting were encouraged among 57
panels were fabricated from 48
papers have constantly been 125
papers were abstracted from 86
papers were circulated among 105
papers were discovered there 98
papers were immediately sent 40
papers were introduced into 49
papers were translated from 62
papers were translated into 257
partly from membership dues 61
partly into mechanical work 52
passed along information from 67
passed fair employment laws 49
passed four delightful days 73
passed from literature into 48
passed from philosophy into 56
passed from speculation into 51
passed many delightful days 56
passed over completely into 53
passed some delightful days 101
passed some strictures upon 51
passed three neutrality acts 98
passes back completely from 54
passes over completely into 60
passes over immediately into 114
passes over insensibly into 183
patent were introduced into 42
pauper have propagated their 50
pension plan obligations have 45
peoples came originally from 67
peoples have disappeared from 45
peoples have frequently been 49
peoples have maintained their 88
peoples have sacrificed their 67
peoples were integrated into 69
periods been introduced into 67
periods have frequently been 70
periods loud complaints have 50
periods were calculated from 58
periods were determined from 58
periods will inevitably come 46
permit their integration into 47
person acts recklessly when 81
person find assistance from 43
person giving information leading 133
person having sufficient means 310
person must understand what 151
person take precedence over 65
person took precedence over 43
person will eventually come 76
person will eventually have 57
person will experience more 54
person will experience some 104
person will ordinarily have 41
person will understand what 168
phases were calculated from 67
phases were determined from 92
phases were identified from 52
phrase came originally from 41
phrase most frequently heard 44
phrase most frequently used 191
pieces were introduced into 61
pieces were translated into 62
pigeons were constantly coming 107
pilots were prohibited from 44
pinned their integration into 126
placed great dependence upon 229
placed great importance upon 705
placed into categories such 51
placed less importance upon 49
placed more dependence upon 47
placed more importance upon 137
placed much dependence upon 66
placed much importance upon 69
placed some dependence upon 137
placed some limitations upon 83
placed such importance upon 44
placed their dependence upon 64
placed their signatures upon 54
placed their unshakable faith 65
placed upon individual self 42
places great importance upon 770
places have frequently been 52
places more importance upon 53
places much importance upon 43
places some limitations upon 128
places some restriction upon 40
planes were constantly flying 47
planes were prohibited from 54
plants came originally from 53
plants have advantages over 67
plants have disappeared from 104
plants have frequently been 106
plants have relatively high 56
plants most frequently used 73
plants were classified into 129
plants were cultivated from 42
plants were eliminated from 62
plants were identified from 47
plants were inoculated when 53
plants were introduced during 54
plants were introduced from 352
plants were introduced into 734
plants were originally wild 56
plants were propagated from 90
plants will eventually grow 48
plates have penetrated into 60
plates were inoculated from 56
plates were introduced into 76
plates were reproduced from 53
played more completely into 71
played their accustomed part 67
played their historical role 46
played their traditional role 142
plunged more recklessly into 57
points have frequently been 69
points most frequently made 43
points most frequently used 49
points their appalachian tangs 146
points were calculated from 254
points were considered very 56
points were determined from 226
points were eliminated from 61
points were introduced into 55
points were subtracted from 125
poison when introduced into 127
police have frequently been 72
police took respondent into 55
police took statements from 133
police were immediately sent 44
police were introduced into 103
police were prohibited from 105
policy have frequently been 63
