parish gathered closer round 155
partly because almost every 62
passed between carbon poles 102
passed between eleanor harding 58
passed between sancho panza 185
passed between squire booby 44
passed quietly enough until 41
passed rapidly through acton 52
passed several closed doors 243
passed several nights under 76
passed several places where 242
passion procuring divine mercy 103
patent confers market power 69
peeled freshly ground black 43
pelvic radiation therapy alone 137
pepper freshly ground black 619
pepper teaspoon ground cumin 232
periods exceeding twelve months 62
permit persons listed under 40
person against another ought 44
person asserting rights under 49
person becomes insane after 47
person commits another crime 46
person handles stolen goods 134
person obtains through grant 67
person offending herein shall 231
person offending therein shall 47
person receiving notice under 56
person suffering injury shall 120
person suffering injury while 907
pieces freshly ground black 115
pitching herself firmly again 42
pitted against another group 67
placed between blotting paper 63
placed country before party 41
placed herself readily under 96
placed himself firmly within 67
placed himself thereby under 50
placed popular meetings under 53
placed several inches above 234
placed several inches apart 131
placed several inches below 132
placed sixteen inches apart 66
places himself firmly within 161
places sounded hollow under 153
planes dropped atomic bombs 123
planet travels through space 43
planning process should begin 369
planning process should focus 97
planning process should start 221
planning process through which 320
plants against insect pests 105
plants fifteen inches apart 79
plasma glucose levels above 195
plasma glucose levels after 320
plasma glucose levels below 320
plasma glucose levels within 71
plasma insulin levels after 139
plasma insulin levels which 41
played several pranks above 179
played together almost every 138
points require further study 40
poised between shocking falls 87
poison control center first 58
poison control center handy 44
poison control center phone 83
poison control center right 568
police behavior toward either 43
police civilian review board 88
police officer should issue 64
police officer should never 71
police officer standing guard 81
police officer standing nearby 94
police romance stands alone 42
policy against allowing state 239
policy against marine risks 47
policy against secret liens 78
policy process through which 97
policy towards europe after 64
policy towards europe which 57
policy towards securing equal 43
policy towards soviet russia 489
policy written notice stating 120
polite country squire shall 106
poorly drained bottom lands 85
poorly drained clayey soils 52
poorly trained police force 51
porous material through which 275
porous surface through which 55
pounds british thermal units 77
poured herself another drink 1175
poured herself another glass 4054
poured herself another vodka 67
poured himself another drink 6141
poured himself another glass 8657
poured himself another large 181
poured himself another small 93
poured himself another stiff 157
poured himself another vodka 154
powder freshly ground black 266
powder teaspoon ground black 79
powder teaspoon ground cumin 425
powers against soviet russia 61
powers receive honors which 49
praise thrilled through every 52
prayed heartily without learning 240
prayer demands neither method 48
pressing between blotting paper 43
pressing between filter paper 257
pressing foreign policy issue 101
pressing occasion should offer 47
pretty sociable heifer after 92
pretty spacious raised cabin 44
printing letters should often 91
profit product safety testing 45
prompt rebound seemed fresh 56
prompt specify center point 99
prompt written notice thereof 577
proofs equally cogent might 171
proper channel through which 656
proper jealousy always awake 137
proper occasion should arise 67
proper occasion should offer 77
proper official poured water 100
proper vehicle through which 58
proved himself beyond doubt 55
public address system about 83
public address system began 106
public address system blaring 86
public address system broke 63
public address system could 72
public address system every 51
public address system might 44
public address system which 379
public address system while 65
public address system would 143
public affairs became daily 42
public affairs through views 117
public affairs without which 53
public against dangers arising 45
public against injury which 42
public charity status under 198
public comment before issuing 51
public comment should weigh 85
public company should enjoy 76
public finally became aware 48
public language through which 44
public library should offer 51
public library should serve 99
public library system which 134
public library system would 52
public mercury should never 56
public officer without vices 120
public offices called mints 179
public pleasure ground would 69
public process through which 51
public schools denies equal 133
public schools should begin 61
public schools should never 54
public schools should offer 93
public schools should serve 99
public schools should train 69
public schools through local 112
public service career began 61
public service sector which 52
public service should begin 42
public service system which 57
public service through which 68
public service without uniting 44
public service without which 53
public support without which 127
public transit system would 44
public trouble itself about 228
public utility common stock 105
public utility initial clearing 47
public welfare agency which 46
public welfare system which 47
public worship almost every 40
pulsed doppler tissue imaging 386
pupils outside school hours 77
purely foreign office point 59
purely private matter which 122
purely private nature which 46
purest treasure mortal times 641
purple shadows sweeping round 51
purple tyrants vainly groan 226
pursue against another party 50
pursue foreign policy goals 214
pursuing foreign policy goals 145
pushed forward without changing 53
pushed forward without delay 158
pushed forward without halting 121
pushed forward without waiting 61
