packed and pestilential town 119
packed and transported from 48
packed with journalists from 40
packet for transmission over 73
padded for comfortable reading 56
padded with polyurethane foam 59
painting and calligraphy from 141
painting and calligraphy have 146
painting and calligraphy were 310
painting and photography have 161
painting and photography were 182
painting was commissioned from 94
painting was transferred from 128
painting was transformed into 66
palace was transformed into 231
panels are constructed from 58
panels with jurisdiction over 47
papers and instructions from 48
papers and instructions were 41
papers and instruments were 54
papers and manuscripts from 59
papers and manuscripts were 162
papers and photographs from 78
papers and photographs were 80
papers and publications from 51
papers and publications have 51
papers and publications were 51
papers are distributed among 54
papers are distributed free 52
papers are exclusively those 147
papers for distribution among 66
papers had undoubtedly been 73
papyri and inscriptions from 48
pardon and deliverance from 377
pardon and forgiveness from 360
pardon for superscribing your 43
parsed and transformed into 61
partial and fragmentary view 48
partial and fragmentary ways 45
passed and ambassadors sent 43
passed his examinations well 62
passes all frequencies from 58
passes all understanding keep 103
passes all understanding will 174
passes for christianity tell 40
passes for conversation among 50
passes with satisfaction from 41
passion and resurrection from 89
passion and resurrection were 87
passion for accumulation must 74
passion for preeminence from 45
passion was transformed into 52
pathway and ventricular rate 76
peasant was transformed into 80
pellet and supernatant were 118
peopled with intelligent beings 192
peoples and communities have 100
peoples and governments have 253
peoples and governments must 48
peoples and governments were 114
peoples and governments will 121
peoples and individuals from 44
peoples and individuals have 180
peoples and territories from 53
peoples and territories into 70
peoples and territories were 73
peoples are distinguished from 51
peoples are transformed into 53
peoples they encountered there 90
peoples they encountered were 84
perils and emergencies will 65
periods and geographical areas 398
periods are distinguished from 67
periods are represented here 42
permit its introduction into 113
person and countenance were 116
person and environment over 57
person and partnership firm 105
person are inseparable from 45
person being interviewed feel 56
person being interviewed must 87
person being interviewed will 587
person has contributed more 208
person has experienced during 63
person has experienced some 82
person has experienced such 50
person not commissioned from 68
person that beneficially owns 157
person was denominated pope 100
person was passionately eager 41
person was responsible only 47
person was transferred from 58
person was transformed into 135
person was undoubtedly mary 85
person who beneficially owns 245
person who contravenes such 44
person who contravenes these 115
person who contributed more 433
person who contributed most 576
person who contributes more 250
person who contributes most 180
person who dishonestly uses 47
person who experiences life 101
person who experiences pain 81
person who experiences some 63
person who experiences such 157
person who experiences these 125
person who transferred such 97
person who understands nothing 50
person who understands only 113
person who understands their 133
person who understands these 152
person who understands what 1172
person who understands your 136
person who voluntarily gets 41
person who voluntarily pays 86
petals are transformed into 61
phases are continually gone 62
phases are distinguished from 66
phases are transformed into 64
phenol for intractable pain 62
photos and instructive line 60
photos and topographic maps 166
phrase has contributed much 55
picked and transferred into 94
pieces and distributed among 672
pieces and distributed over 195
pieces are distributed among 78
pieces are illustrated here 43
pieces are transferred from 54
pieces for distribution among 58
piercing and experienced view 55
pilots and controllers have 49
placed any restrictions upon 51
placed few restrictions upon 72
placed for institutions will 165
placed new restrictions upon 47
placed that construction upon 50
places and established their 44
places and individuals here 42
places are equidistant from 43
places are transformed into 132
places few restrictions upon 44
places its transparent bell 88
placid and respectable lady 54
plague was principally laid 63
plains and mountainous areas 114
plains are distributed over 118
plains are transformed into 41
planes and antiaircraft fire 98
planes and antiaircraft guns 207
planes and helicopters flew 58
planes and helicopters flying 100
planes and helicopters from 97
planes and helicopters have 80
planes and helicopters were 265
planes are equidistant from 65
planes are transformed into 63
planet with intelligent life 214
planning and administering such 114
planning and administering their 182
planning and construction from 41
planning and construction have 159
planning and construction must 166
planning and construction time 197
planning and construction were 416
planning and construction will 183
planning and construction work 436
planning and coordination among 880
planning and coordination from 149
planning and coordination have 212
planning and coordination must 174
planning and coordination were 349
planning and coordination will 238
planning and development also 56
planning and development during 107
planning and development from 422
planning and development have 873
planning and development into 107
planning and development must 559
planning and development over 45
planning and development time 141
planning and development tool 85
planning and development unit 129
planning and development were 577
planning and development when 41
planning and development will 671
planning and development work 1241
planning and organization during 81
planning and organization have 154
planning and organization must 99
planning and organization were 368
planning and organization will 246
planning and preliminary work 246
planning and preparations were 196
planning and preparatory work 497
planning and statistical work 135
planning has undoubtedly been 46
planning was transferred from 47
planting and transplanting rice 83
plants and butterflies among 65
plants and enterprises were 45
plants and filamentous algae 104
plants and filamentous fungi 68
plants and transformed into 88
plants are distinguished from 388
plants are distributed among 51
plants are distributed over 389
plants are extensively used 46
plants are occasionally used 53
plants are regenerated from 183
plants are transferred from 332
plants are transferred into 49
plants are transformed into 140
plants are transported from 47
plants can manufacture food 109
plants can manufacture their 85
plants for introduction into 91
plants that manufacture their 89
plants was necessarily very 41
plasma and erythrocytes were 71
plates and descriptive text 60
plates are transformed into 48
plates with descriptive text 80
plates with explanatory text 64
played any conspicuous part 336
played any discernible role 42
played any significant part 1403
played any significant role 2872
played out differently from 43
played that subordinate part 65
pleaded for forgiveness from 47
pleaded for understanding from 43
pleased with communicating their 87
plenty and hospitality more 123
pleura and pericardium have 41
plumbing and electricity were 123
plunges she occasionally made 83
pointing out differences among 51
points all equidistant from 55
points and acupuncture loci 88
points and enlightened self 117
points are distinguished from 116
points are distributed along 230
points are distributed among 115
points are distributed over 483
points are equidistant from 1323
points are established from 52
points are highlighted here 96
points are illustrated from 42
points are illustrated here 89
points are paraphrased from 51
points are significant here 178
points are substituted into 63
points are transferred from 91
points are transformed from 41
points are transformed into 207
points being equidistant from 62
points each equidistant from 219
points out differences among 49
points was necessarily used 41
police and magistrates have 44
police and magistrates were 185
police and mercenaries slay 41
police and prosecutors from 130
police and prosecutors have 399
police and prosecutors less 182
police and prosecutors make 40
police and prosecutors must 102
police and prosecutors were 325
police and prosecutors will 129
police and voluntarily came 64
police and voluntarily gave 139
police are effectively dealt 56
police are investigating what 48
police had confiscated from 81
police had jurisdiction over 52
police was transferred from 71
policy and development have 42
policy and development plan 55
policy and institutions have 64
policy and organization theory 48
policy and organization were 76
policy and performance during 60
policy and performance have 51
policy and performance over 60
policy and performance will 51
policy has degenerated into 71
policy has effectively been 42
policy has necessarily been 106
policy has nevertheless been 57
policy has occasionally been 51
policy has undoubtedly been 174
policy may conceivably find 94
policy that governments have 40
policy that unavoidably face 97
policy was anticipated from 43
policy was distinguished from 46
policy was established during 57
policy was established only 43
policy was established when 45
policy was implemented during 118
policy was implemented from 60
policy was implemented only 143
policy was inseparable from 87
policy was transferred from 154
policy was transformed from 63
policy was transformed into 162
polite and considerate when 42
polite and intelligent young 50
pooled and distributed among 272
poorer and politically less 40
poorly and irregularly paid 169
portion was distributed among 88
posits that individuals have 72
posits that individuals will 46
potent and magnanimous ally 80
pounds for distribution among 65
pounds was confiscated from 47
pounds was transported into 44
poured his frustrations into 46
poured out incessantly from 47
powers and attainments were 98
powers and instructions from 135
powers and instructions were 167
powers and jurisdiction from 65
powers and jurisdiction have 46
powers and jurisdiction over 287
powers and jurisdiction were 200
powers and responsible only 43
powers and transferred those 222
powers are distinguished from 100
powers are distributed among 489
powers are exercisable only 147
powers are inseparable from 80
powers are represented here 54
powers are represented there 101
powers are transferred from 155
powers are transformed into 53
powers for development from 42
powers had established their 77
powers than institutions have 67
powers that governments have 47
powers who deliberated upon 44
praise and commendation from 168
praise and compliments from 100
praise and condemnation from 79
praise for deliverance from 84
praise was accumulated upon 152
praising his consistency upon 44
pranks and pleasantries very 153
prayed for deliverance from 2653
prayed for forgiveness from 117
prayer and sacramental life 64
prayer and supplication make 168
prayer and supplication must 79
prayer and supplication unto 342
prayer and supplication were 49
prayer for deliverance from 2251
prayer for forgiveness from 53
prayer for preservation from 86
prayer was customarily made 57
preaching and evangelistic work 56
preaching and sacramental life 41
prefer one alternative over 97
pressing and distribution deals 50
pretty and intelligent girl 221
pretty and intelligent young 120
prices and distribution were 65
prices are artificially high 151
prices are artificially kept 56
prices are continually rising 219
prices are distinguished from 44
prices are excessively high 83
prices are necessarily high 48
prices are outrageously high 52
prices are transformed into 73
prices are unreasonably high 100
prices for commodities from 61
prices for commodities have 63
prices for commodities like 89
prices for commodities sold 54
prices for commodities such 181
prices for commodities were 51
prices for construction work 64
prices for electricity from 51
prices for manufacturing milk 123
prices for necessities such 42
priest had occasionally been 47
priest was distinguished from 53
priest was transformed into 40
prince doth communicate unto 115
prince was transformed into 55
prince who contributed nothing 58
printing and distribution cost 51
printing and distribution have 89
printing and distribution were 181
printing and lithographic inks 69
prints and photographs from 206
prints and photographs were 59
prison was transformed into 76
prized and extensively used 92
prizes are distributed among 70
profit and advancement from 105
profit and satisfaction from 159
profit and shareholder gain 380
profit was distributed among 50
prolong his conversation till 193
proofs that circumcision among 47
proper and inestimable worth 176
proper and instructive means 55
proper and practicable means 47
proper are distinguished from 79
proper for counteracting such 284
proved and established fact 40
proved and illustrated from 146
proven and established these 47
proves his degeneration from 51
proves that individuals join 50
public and conspicuous part 123
public and environment from 48
public and occupational health 597
public and ostentatious kind 104
public and professional duty 82
public and professional health 69
public and professional life 3948
public and professional media 53
public and professional mind 103
public and professional work 63
public key certificate from 68
pulled her unresistingly back 55
pulses are transformed into 61
pulses are transmitted along 94
pulses are transmitted during 52
pulses are transmitted from 144
pulses are transmitted into 95
pulses are transmitted over 205
pulses for transmission over 55
pungent and disagreeable odor 98
punish for communicating ideas 42
punish that intractable body 44
pupils and apprentices during 50
pupils are discouraged from 66
pupils are distributed among 56
pupils are transferred from 78
pupils who transferred from 61
purely and exclusively from 72
purges our consciences from 61
purify our consciences from 85
pursue our observations into 84
pursue this possibility here 144
pushed his discoveries some 87
pushed its enterprises into 62
