paper contained scarcely any 83
paper especially designed for 65
paper especially prepared for 90
paper fractional currency and 42
parts generally fashioned for 46
parts potassium chlorate and 47
party adversely affected may 75
party expressly declares that 152
party insurance coverage for 110
party leadership believed that 103
party leadership insisted that 41
party leadership positions and 230
party leadership positions are 76
party political activity and 220
party political activity was 188
party political purposes and 98
party previously selected for 40
party reasonably believed that 242
party reasonably believes that 537
party reasonably expected may 53
party throughout scotland with 96
passing obliquely downward and 691
passing obliquely forwards and 86
passing obliquely outwards and 76
paste electrode modified with 124
pending proceedings provided that 50
people certainly believed that 120
people currently infected with 90
people eminently patriotic was 89
people evidently believed that 116
people expressed surprise that 293
people generally associate with 182
people generally believed that 1160
people generally conclude that 100
people generally declared that 41
people generally disliked him 44
people generally identify with 46
people generally regarded him 47
people genuinely believed that 289
people interacting directly with 41
people naturally believed that 97
people naturally expected that 49
people naturally supposed that 59
people questioned believed that 149
people sincerely believed that 690
people sometimes complain that 195
people studiously rendered dear 257
people themselves believed that 99
people themselves convened for 154
people themselves therefore are 366
people typically associate with 83
people typically interact with 50
people worldwide infected with 96
period reasonably required for 184
phase rectifier circuits are 84
phase sensitive detection and 166
phase sensitive detector and 259
phase sensitive detector was 118
phase transition observed for 43
phone connection required for 77
place especially designed for 53
place especially prepared for 82
place especially reserved for 43
place generally reserved for 41
place necessity requires that 56
place ourselves avowedly with 884
place previously reserved for 84
place themselves opposite each 113
plane interface separating two 132
plant community dynamics and 103
plant especially designed for 51
plant molecular genetics and 40
plant nutrients required for 65
plant population dynamics and 249
plant protection materials and 273
plant protection products and 552
plant protection products are 113
plant protection products for 53
plant protection services and 51
plant protection services are 60
plant protection services for 89
plant varieties suitable for 101
plate tectonics accounts for 51
plate tectonics explains how 56
plate tectonics suggests that 140
playing political football with 60
pliant politician mckinley was 81
point depression constant and 46
point depression constant for 732
point estimates indicate that 403
point generally increases with 48
point operations executed each 61
point operations required for 167
point precisely resembling that 43
posed additional problems for 200
posed different problems and 51
posed different problems for 117
posed difficult problems for 554
posed difficult questions for 162
posed important problems for 55
posed important questions for 82
posed political problems for 82
posed practical problems for 49
posed variational problems and 70
poses additional problems for 673
poses different problems and 179
poses different problems for 510
poses different problems than 76
poses difficult problems for 1292
poses difficult questions for 498
poses important problems for 209
poses important questions for 562
poses interesting problems for 291
poses interesting questions for 399
poses practical problems for 175
posts previously reserved for 64
power currently accounts for 44
power densities required for 100
power frequency electric and 116
power generally increases with 42
power generation accounts for 239
power generation capacity and 450
power generation capacity has 258
power generation capacity was 178
power generation industry and 91
power generation industry has 130
power generation projects and 124
power generation projects are 177
power important supplies and 66
power invisible supports his 46
power previously reserved for 68
power structure suggests that 47
press published articles and 40
press statement announcing that 187
press statement declared that 89
press statement explaining that 41
press statement indicating that 98
price naturally connects with 139
price stability requires that 45
prime borrowers prevailing for 94
print advertising campaign for 55
print advertising campaign that 108
prove especially fruitful for 43
prove especially suitable for 68
prove especially valuable for 258
prove extremely dangerous for 122
prove extremely valuable and 47
prove extremely valuable for 230
proxy statement actually had 43
proxy statement delivery and 44
pumps especially designed for 45
pupil personnel services and 261
pupil personnel services are 209
pupil personnel services for 99
pupil personnel services has 70
pupil personnel services may 50
pupil personnel services team 84
