package insert provided with 95
packets before forwarding them 51
paddles seemed infected with 82
painted boards announcing that 61
painted nobler pictures than 43
palette became brighter and 65
papillae become enlarged and 63
parents always believed that 47
parents always insisted that 161
parents always stressed that 44
parents arrange marriages for 148
parents arranging marriages for 53
parents became involved with 79
parents become confused and 64
parents become involved and 43
parents become involved with 113
parents become obsessed with 57
parents become partners with 56
parents before questioning him 42
parents firmly believed that 132
parents punish children for 66
parents refuse treatment for 51
parents reward children for 44
parents should consider how 46
parents should interact with 69
parents should remember that 908
parents toward children and 183
parents toward education and 52
parents valued education and 119
parties clearly indicate that 88
parties clearly intended that 180
parties hereby covenant and 59
parties hereto covenant and 326
parties hereto executed this 47
parties should consider how 44
parties should consider this 41
parties should document and 58
parties should mutually aid 79
parties should remember how 110
parties should remember that 293
parties thereby intended and 57
parties without coalescing with 40
passage around scotland and 42
passage clearly suggests that 316
passage further suggests that 121
passage quoted suggests that 110
passage through melville bay 76
passage without perceiving that 43
passive venous congestion and 66
patient already diagnosed with 40
patient already seriously ill 43
patient appears confused and 46
patient appears restless and 40
patient appears seriously ill 87
patient appears severely ill 62
patient became affected with 68
patient became agitated and 93
patient became comatose and 142
patient became confused and 117
patient became delirious and 83
patient became infected with 82
patient became lethargic and 53
patient became obsessed with 74
patient became pregnant and 150
patient became restless and 138
patient became seriously ill 56
patient before operation and 56
patient before proceeding with 205
patient before treatment and 80
patient begins treatment with 61
patient enters treatment with 50
patient firmly believes that 59
patient groups compared with 116
patient rarely presents with 42
patient should commence with 56
patient should continue his 53
patient should continue with 197
patient should probably not 66
patient should remember that 201
patient should therefore not 57
patient sought treatment for 87
patient tested positive for 139
pattern already observed for 42
pattern clearly suggests that 127
pattern further suggests that 41
pattern matching algorithm for 168
pattern matching algorithm that 93
pattern varies somewhat with 42
payable without deduction for 511
payable without deduction new 109
payment herein provided for 115
payment policy requires that 103
peaceful floods inverted hung 52
peaceful nuclear explosion and 60
peaceful nuclear explosion was 46
penalty clause provided for 41
penalty herein provided for 98
penalty therein provided for 42
percent annual dividend and 50
percent annual inflation and 44
percent annual inflation for 42
percent annual interest and 350
percent annual interest for 276
percent annual interest with 83
percent before interest and 76
percent carbon monoxide and 61
percent higher interest than 52
percent higher salaries than 73
percent native american and 97
percent salary increases for 44
percent salary reduction for 43
percent simple interest and 94
percent simple interest for 108
percent simple interest per 260
percent sodium chloride and 191
percent tariff reduction for 43
percent tested positive for 516
perfect existing programs for 136
perfect factor mobility and 69
perfect family interest and 41
perfect income equality and 154
perfect mental clearness both 41
perfect modern socialist and 57
perfect sexual equality that 73
perfect through sufferings and 44
perfect visual metaphor for 173
perfect wisdom combined with 82
perform direct services for 82
perform future services for 76
perform greater miracles than 101
perform little services for 106
perform lumbar puncture and 70
perform lumbar puncture with 47
perform needed services for 46
perform poorly compared with 87
perform public functions and 100
perform public services for 44
perform ritual services for 67
perform sexual services for 91
perform special functions and 80
perform special functions for 130
perform special functions that 113
perform special services for 208
perform useful functions and 102
perform useful functions for 193
perform useful functions that 44
perform useful services for 170
perform various functions and 223
perform various functions for 171
perform various functions that 212
perform various services for 778
perhaps already apparent that 65
perhaps barely possible that 44
perhaps better compared with 56
perhaps better educated than 100
perhaps better equipped for 73
perhaps better equipped than 205
perhaps better informed than 252
perhaps better inspired than 63
perhaps better observed than 46
perhaps better prepared for 173
perhaps better prepared than 125
perhaps better reserved for 104
perhaps better situated than 49
perhaps better supplied with 68
perhaps clearer evidence may 45
perhaps excite surprise that 95
perhaps firmly believed that 51
perhaps further evidence for 40
perhaps further evidence that 275
perhaps future chemists may 53
perhaps greater accuracy than 49
perhaps greater emphasis than 40
perhaps greater interest are 83
perhaps greater interest than 76
perhaps greater interest was 42
perhaps hardly surprising that 3586
perhaps justly believed that 43
perhaps little surprise that 128
