pad and began sketching 48
pan and brown chicken 127
pan and brown lightly 103
pan and brush lightly 100
pan and cover loosely 55
pan and cover tightly 276
pan and plate together 49
pan and saute briefly 41
pang that james stooped 109
path and found herself 49
path and found himself 99
path and leaned against 65
path can exist between 47
path for fault current 496
path for latin america 45
path had never crossed 43
path she found herself 40
path that light follows 58
path that winds between 67
path that would finally 43
path that would provide 67
path that wound between 301
path this river travels 50
path was still visible 43
pay all costs awarded 144
pay all costs including 69
pay all costs related 58
pay all extra charges 47
pay all fines imposed 69
pay all fixed charges 115
pay all legal charges 79
pay all taxes imposed 362
pay all taxes legally 647
pay and bonus systems 61
pay and civil service 90
pay and grading systems 216
pay and scorn content 47
pay and social position 127
pay any child support 610
pay any claim against 56
pay any costs awarded 56
pay any extra charges 59
pay any extra expense 70
pay any fines imposed 115
pay any taxes because 67
pay any taxes imposed 162
pay for basic medical 122
pay for basic research 150
pay for black teachers 496
pay for black workers 97
pay for cabin shelter 55
pay for cable service 71
pay for child support 715
pay for civil service 139
pay for dancing lessons 70
pay for driving lessons 63
pay for equal ability 84
pay for equal amounts 57
pay for equal service 925
pay for every article 533
pay for every default 80
pay for every expense 40
pay for every hundred 40
pay for every mistake 121
pay for every mouthful 97
pay for every offense 53
pay for every service 232
pay for extra baggage 43
pay for extra lessons 135
pay for extra service 292
pay for flood control 223
pay for goods brought 45
pay for goods ordered 363
pay for goods shipped 97
pay for grain imports 268
pay for growing imports 109
pay for human freedom 149
pay for irish poverty 209
pay for large amounts 286
pay for large imports 113
pay for large numbers 152
pay for legal counsel 397
pay for legal defense 54
pay for legal service 41
pay for major medical 52
pay for major repairs 244
pay for minor repairs 45
pay for movie tickets 83
pay for music lessons 713
pay for nearly everything 147
pay for negro teachers 84
pay for night classes 40
pay for nursing service 108
pay for opium imports 54
pay for plane tickets 215
pay for social reforms 101
pay for social service 99
pay for social welfare 460
pay for staff members 45
pay for state service 132
pay for train tickets 138
pay for varying amounts 52
pay for vital imports 433
pay for voice lessons 143
pay for water quality 342
pay for water service 150
pay for women because 60
pay for women teachers 543
pay for women workers 1302
pay her child support 307
pay her every respect 40
pay her fifty dollars 129
pay her fifty thousand 65
pay him child support 49
pay him eight dollars 70
pay him eight hundred 160
pay him every respect 113
pay him fifty dollars 444
pay him fifty thousand 268
pay him forty dollars 138
pay him forty shillings 64
pay him forty thousand 52
pay him seven hundred 55
pay him seven thousand 41
pay him sixty dollars 70
pay him sixty thousand 47
pay him thirty dollars 115
