pains pleasures 72 paint pictures
201 paper beautiful 42 parts
functions 146 parts functions 87
party agreeable 121 party evidence
342 party increased 46 party
distinct 67 party affected 46
party evidence 57 party received
111 party enveloping 89 people
christian 56 people financial 44
people affected 88 people confused
48 people excluded 47 people
involved 365 people isolated 137
people struggling 58 people suddenly
73 people academic 72 people
agencies 183 people branches 64
people business 80 people churches
122 people contexts 54 people
cultural 8005 people cultures 14664
people divisions 147 people economic
257 people families 283 people
functions 598 people linguistic 202
people locations 230 people minority
83 people parishes 61 people
positions 80 people quarters 149
people religions 498 people religious
720 people segments 158 people
villages 846 people cultures 45
people families 116 people parishes
47 people villages 558 people
activity 58 people villages 697
people climates 66 people cultures
55 people accounts 43 people
sadistic 179 people birthdays 147
people concepts 169 people concerns
67 people cultural 98 people
cultures 80 people emotional 79
people languages 52 people memories
69 people outlooks 51 people
patterns 80 people personal 66
people physical 133 people problems
85 people purposes 82 people
religions 45 people religious 78
people concerns 91 people interest
179 people surprise 241 people
believed 60 people imagined 56
people accepted 94 people believed
43 people provided 44 people
intimate 283 people cultural 49
people languages 95 people refugees
98 people positions 52 people
positions 180 people american 52
people activity 146 people hamilton
43 people douglass 126 people
decisions 146 people decisions 43
people decisions 224 people decisions
87 people decisions 71 people
affected 123 people languages 868
people positions 57 people seriously
62 people affected 206 people
selected 59 people bitterly 46
people attached 112 people generous
55 people desirous 44 people
delicate 97 people desirous 93
people fatigued 40 people friendly
130 people generous 63 people
ignorant 271 people numerous 52
people troubled 41 people disposed
90 people employed 128 people
disposed 82 people employed 48
people friendly 98 people ignorant
110 people inclined 110 people
regarded 69 people educated 52
people prepared 98 people recovering
41 people religious 72 people
friendly 59 people disposed 64
people inclined 130 people executed
41 people notified 43 people
reported 48 people employed 49
people affected 43 people attached
50 people mistaken 62 people
executed 182 people continue 40
people disagree 42 period increased
46 period deprived 40 period
replaced 57 pilot procured 53
place activity 58 place relations
45 place hundreds 43 plane
incident 61 plane parallel 53
plank lengthwise 52 plans maturity
49 plans designed 40 plans
prepared 129 plans ambitious 47
plant cultures 2067 plays outdoors
95 please overpaid 257 plunge
politics 56 plunge activity 105
plunge agitation 84 poetry cultures
70 poetry describing 72 point
quarters 74 pools recruits 89
posed problems 74 posed problems
41 posed problems 42 posed
problems 183 posed problems 185
posed questions 92 posed questions
73 posed problems 117 posed
questions 170 posed questions 48
posed problems 83 posed problems
54 poses problems 451 poses
questions 98 poses questions 56
poses problems 169 poses questions
247 poses problems 248 poses
problems 61 poses problems 666
poses questions 186 poses problems
131 poses problems 842 poses
questions 521 poses problems 63
poses questions 280 poses problems
1101 poses questions 1870 poses
problems 281 poses problems 71
poses problems 177 poses problems
408 power managers 48 power
branches 346 power segments 49
power inserted 61 power deplored
63 power branches 49 power
leverage 51 power selection 63
power property 125 power decisions
62 power decisions 89 power
relations 93 power decisions 58
power diminish 47 press coverage
285 press coverage 100 prime
audience 71 prime programs 250
proof indicate 47 pulse inverter
140 putting operation 41 putting
operation 200 putting elections 45
