paced were oftenest in 189
packing case containing the 112
packs were designed to 41
pacts were designed to 55
pages call attention to 58
pages give evidence of 52
pages give examples of 80
pages have examined the 49
pages have outlined the 89
pages have referred to 63
pages have sketched the 41
pages have stressed the 44
pages here referred to 61
pages just referred to 81
pages must therefore be 60
pages show examples of 251
pages some examples of 49
pages were allotted to 97
pages were assigned in 48
pages were assigned to 56
pages were attached to 40
pages were composed in 50
pages were composed of 81
pages were designed by 133
pages were designed to 216
pages were destined to 51
pages were dictated to 41
pages were followed by 42
pages were included in 109
pages were intended to 131
pages were numbered in 45
pages were occupied by 126
pages were pictures of 53
pages were prepared by 99
pages were produced by 49
pages were produced in 44
pages were produced on 43
pages were required to 265
pages were returned to 54
pages were selected to 44
pages were supplied by 53
pages were supposed to 53
pages will consider the 51
pages will continue to 183
pages will convince the 128
pages will describe the 199
pages will indicate the 109
pages will probably be 204
pages will remember the 94
pages will therefore be 168
pains well bestowed if 45
pains were bestowed in 92
pains were bestowed on 290
pains were bestowed to 41
pains were diagnosed as 47
pains were employed in 44
pains were employed to 212
pains were expended in 55
pains were expended on 46
pains were followed by 43
pains were increased by 42
pains were lavished on 59
pains were relieved by 124
pains were required to 85
pains were rewarded by 108
pains were supposed to 99
paint dark pictures of 122
paint dire pictures of 44
paint great pictures or 69
paint many pictures of 123
paint rosy pictures of 376
paint some pictures in 55
paint some pictures of 112
paint such pictures as 496
paint such pictures in 40
paint such subjects as 133
paint their condition so 47
paint their pictures in 88
paint their pictures of 77
paint their pictures on 71
paint these relations in 44
paint those pictures of 41
paint used dangerous to 239
paint were required to 42
paint will continue to 163
paint will probably be 112
paint word pictures in 129
paint word pictures of 565
paint word pictures to 40
paint your portrait in 81
pairs nest annually in 41
pairs were assigned to 175
pairs were compared to 45
pairs were composed of 188
pairs were designed to 111
pairs were examined in 53
pairs were expected to 53
pairs were included in 232
pairs were involved in 89
pairs were observed at 76
pairs were observed in 323
pairs were observed on 79
pairs were observed to 95
pairs were obtained by 73
pairs were obtained in 45
pairs were produced by 70
pairs were produced in 62
