mace surmounted by 43
made abominable by 62
made abominable to 57
made absolutely by 89
made absolutely in 83
made absolutely no 50834
made absolutely of 78
made absolutely on 66
made absolutely or 63
made absolutely so 94
made absolutely the 198
made absolutely to 224
made abstraction of 700
made abundantly in 50
made abundantly to 55
made acceptable as 674
made acceptable at 110
made acceptable by 7098
made acceptable if 246
made acceptable in 973
made acceptable on 120
made acceptable or 109
made acceptable the 399
made acceptable to 17265
made acceptance by 124
made acceptance of 4290
made accessible an 74
made accessible as 1284
made accessible at 630
made accessible by 34872
made accessible if 122
made accessible in 9631
made accessible is 99
made accessible on 1447
made accessible or 183
made accessible so 437
made accessible the 939
made accessible to 109102
made accessible via 644
made accomplice in 62
made accomplice to 40
made accurately as 47
made accurately at 61
made accurately by 448
made accurately if 53
made accurately in 366
made accurately of 40
made accurately on 369
made accurately or 43
made accurately so 105
made accurately the 41
made accurately to 914
made accusations in 184
made accusations of 2016
made accusations to 300
made accustomed to 931
made achievable by 47
made achromatic by 121
made acquainted as 410
made acquainted at 360
made acquainted by 3356
made acquainted in 1308
made acquainted of 212
made acquainted on 118
made acquainted to 70
made acquisition by 45
made acquisition of 1495
made activities in 110
made activities of 49
made adaptations in 321
made adaptations of 778
made adaptations to 1062
made adequately by 74
made adequately in 94
made adequately to 218
made adjustable as 266
made adjustable at 55
made adjustable by 1325
made adjustable in 778
made adjustable on 77
made adjustable or 59
made adjustable so 1312
made adjustable to 984
made adjustment in 278
made adjustment of 255
made adjustment to 1148
made admissible as 224
made admissible at 159
made admissible by 745
made admissible in 1246
made admissible the 58
made admissible to 235
made advantages of 129
made adventures in 101
made adventures to 43
made affidavits as 155
made affidavits in 188
made affidavits of 139
made affidavits on 61
made affidavits to 217
made affirmation in 132
made affirmation of 152
made affordable by 711
made affordable in 42
made affordable to 329
made aggressions on 78
made aggressive by 325
made agreements as 228
made agreements at 95
made agreements by 86
made agreements in 435
made agreements of 287
made agreements on 643
made agreements or 194
made agreements to 1801
made allegations in 147
made allegations of 3504
made allegations or 110
made allegations to 349
made allocations in 139
made allocations of 156
made allocations to 473
made allotments of 171
made allotments to 424
made allowances in 277
made allowances of 98
made allowances on 43
made allowances to 598
made alterations as 180
made alterations at 79
made alterations in 6742
made alterations of 792
made alterations on 312
made alterations or 232
made alterations to 3412
made ambassador at 314
made ambassador in 434
made ambassador of 43
made ambassador to 5264
made ambivalent by 75
made amendments in 306
made amendments to 2568
made annotations in 257
made annotations on 155
made answerable as 127
made answerable at 53
made answerable by 169
made answerable in 498
made answerable on 51
made answerable to 2253
made antecedent to 1017
made anthologies of 102
made antibodies in 47
made antibodies of 43
made antibodies to 782
made anticipating the 44
made antiseptic by 169
made apparently as 113
made apparently at 445
made apparently by 1076
made apparently in 753
made apparently no 578
made apparently of 1110
made apparently on 478
made apparently so 46
made apparently the 92
made apparently to 786
made appearances as 1067
made appearances at 2731
made appearances in 4719
made appearances on 2938
made appearances to 141
made appendages of 52
made applicable as 904
made applicable at 285
made applicable by 7136
made applicable if 65
made applicable in 20746
made applicable is 121
made applicable no 214
made applicable on 285
made applicable or 138
made applicable so 119
made applicable the 230
made applicable to 158286
made application as 1063
made application at 2102
made application by 763
made application in 3862
made application of 2920
made application on 1156
made application or 151
made application the 139
made application to 71555
made appointees of 78
made appointive by 1121
made appointive in 48
made appraisals of 331
made appreciable by 150
made appreciable in 83
made appreciable to 122
made appreciation of 148
made apprentice to 124
made approaches in 182
made approaches on 143
made approaches the 137
made approaches to 8450
made appropriate by 316
made appropriate in 54
made appropriate the 120
made appropriate to 3253
made arbitration of 55
made arbitrator in 46
made arbitrator of 72
made archbishop at 63
made archbishop by 456
made archbishop he 43
made archbishop in 715
made archbishop of 41724
made arrangement in 86
made arrangement of 330
made arrangement on 43
made arrangement to 1520
made articulate at 89
made articulate by 755
made articulate in 1917
made articulate the 1358
made articulate to 115
made artificers at 198
made assemblage of 48
made assemblies of 108
made assessment of 1072
made assignable at 68
made assignable by 383
made assignable in 68
made assignable to 63
made assignment of 225
made assignment to 129
made assistance to 292
made assistants to 317
made associations of 156
made associations to 105
made assortment of 89
made assumptions as 616
made assumptions in 311
made assumptions of 401
made assumptions on 374
made assumptions or 132
made assumptions to 116
made assurances of 283
made assurances to 513
made asymmetric by 95
made attachment to 174
made attainable by 315
made attainable in 50
made attainable to 107
made attainment of 463
made attendance at 3908
made attendance in 209
made attendance of 53
made attendance on 120
made attendants of 53
made attractions in 134
made attractions of 109
made attractive as 926
made attractive at 95
made attractive by 13229
made attractive if 149
made attractive in 778
made attractive is 58
made attractive on 53
made attractive or 220
made attractive so 182
made attractive the 567
made attractive to 5218
made attributes of 176
made automatons of 95
made automobile in 56
made automobile is 117
made autonomous as 98
made autonomous by 164
made autonomous in 226
made autonomous of 53
made autonomous to 42
made auxiliaries to 152
made barricades in 103
made barricades of 254
made beautifully by 111
made beautifully to 68
made bedfellows of 147
made beforehand as 1078
made beforehand at 128
made beforehand by 1502
made beforehand in 425
made beforehand is 41
made beforehand of 285
made beforehand on 226
made beforehand or 161
made beforehand so 586
made beforehand the 46
made beforehand to 1992
made believable by 885
made believable in 68
made believable the 228
made believable to 65
made beneficent by 47
made beneficiary of 155
made benevolent by 118
made billionaire in 101
made blueprints of 154
made boisterous by 52
