mailed questionnaire response 58
mainly agricultural counties 58
mainly agricultural laborers 58
mainly agricultural products 1055
mainly agricultural villages 44
mainly intellectual interest 49
mainly manufactured articles 156
mainly manufactured consumer 40
mainly manufactured products 233
mammal considerably modified 43
manage heterogeneous networks 41
manage intellectual property 349
manage international business 57
manage international conflict 89
manage international economic 128
manage international financial 69
manage international migration 58
manage international monetary 55
manage international relations 206
managing heterogeneous networks 54
managing hypertensive patients 74
managing intellectual property 1156
managing international business 156
managing international conflict 273
managing international economic 151
managing international financial 134
managing international monetary 63
managing international projects 50
managing international relations 268
managing international security 51
managing parliamentary business 43
manner considerably improved 48
manner deliberately designed 48
manner deliberately intended 50
manner diametrically opposite 339
manner intentionally prevents 55
manner particularly splendid 88
manner specifically designed 74
manner specifically provided 127
manner sufficiently accurate 78
manner sufficiently definite 56
manner sufficiently detailed 98
manner sufficiently distinct 54
manner sufficiently dramatic 96
manner sufficiently explicit 80
manner sufficiently fanciful 61
manner traditionally reserved 44
manner unmistakably betrayed 41
manual configuration required 44
manual intermittent positive 100
manual specifically designed 155
marine environments containing 44
marine invertebrate evolution 44
marine invertebrate families 94
marine sedimentation occurred 86
marine transgression extended 64
marine transgression followed 77
marine transgression occurred 259
marine transgression resulted 68
marked antibacterial activity 260
marked antimicrobial activity 66
marked bactericidal activity 157
marked concentration gradient 226
marked considerable progress 150
marked disadvantage compared 141
marked disagreement concerning 48
marked hypertensive response 139
marked inflammatory condition 89
marked inflammatory response 2124
marked inflammatory symptoms 1118
marked intellectual activity 122
marked intellectual capacity 328
marked intellectual progress 44
marked international relations 164
marked neurological deficits 62
marked neurological symptoms 52
marked physiological activity 404
marked physiological property 60
marked physiological symptoms 132
marked quantitative variations 106
market agricultural products 1021
market concentration analysis 48
market concentration doctrine 404
market concentration increased 72
market concentration increases 676
market concentration relevant 56
market concentration strategy 171
market dramatically increased 46
market imperfections approach 634
market incompatible products 52
market intellectual property 49
market intelligence pertaining 212
market intelligence provided 45
market intelligence services 192
market interventions designed 87
market manufactured products 45
market participants actually 52
market participants believed 267
market participants commonly 51
market participants concerning 199
market participants consider 268
market participants continue 67
market participants estimate 91
market participants expected 403
market participants increases 105
market participants involved 116
market participants perceive 248
