magnet synchronous machine 768
mainly construction workers 102
mainly contributed towards 187
mainly descriptive account 44
mainly descriptive studies 57
mainly differences between 51
mainly distinguished himself 65
mainly distinguishes between 61
mainly distributed between 188
mainly mountainous country 50
mainly qualitative research 85
mainly qualitative results 43
mainly significant because 144
mainly subsistence economy 185
mainly subsistence farmers 337
malice aforethought against 90
malice aforethought because 156
malice aforethought express 124
malice perpetually increasing 95
mammoth construction project 123
manage differences between 61
manage effectively because 66
manage interactions between 210
manage respiratory failure 40
managing differences between 67
managing distributed objects 56
managing distributed systems 314
managing interactions between 284
managing respiratory failure 86
managing transactions between 48
manned spaceflight missions 111
manned spaceflight program 1158
manned spaceflight project 58
manner arbitrarily imposed 49
manner continually shrinking 43
manner corresponding exactly 58
manner distinguished himself 75
manner exemplified several 89
manner exquisitely refined 42
manner hereinafter enacted 53
manner hereinafter pointed 53
manner intermediate between 405
manner necessarily partook 74
manner practically similar 53
manner recommended himself 44
manner voluntarily erected 133
manual descriptions pretend 40
manual development process 52
manual distinguishes between 85
manual installation process 113
manual intervention between 64
manual occupational classes 101
manual segmentation results 121
manual temperature control 154
manual transmission vehicle 70
mapped relationship between 106
marble balustrades crowned 41
marble sarcophagus adorned 95
marching confidently forward 46
marching confidently towards 86
marching impetuously towards 41
margin irregularly serrate 59
margin requirement applies 50
marine applications because 75
marine aquaculture systems 90
marine atmospheric surface 103
marine conservation efforts 175
marine conservation measures 71
marine conservation program 59
marine construction company 100
marine depositional systems 113
marine environment according 47
marine environment against 787
marine environment article 223
marine environment because 273
marine environment becomes 64
marine environment between 87
marine environment depends 104
marine environment following 69
marine environment include 266
marine environment including 261
marine environment outside 169
marine environment remains 83
marine environment require 51
marine environment research 132
marine environment resulting 546
marine hydrothermal systems 112
marine luminescent bacteria 166
marine particulate material 66
marine sanctuaries program 510
marine sedimentary organic 59
marine sedimentary records 77
marine sedimentary systems 61
marked alternations between 41
marked ambivalence towards 324
marked asymmetries between 42
marked coincidence between 527
marked concordance between 101
marked consistency between 211
marked constriction between 443
marked continental climate 108
marked contribution towards 50
marked convergence between 305
marked convergence towards 88
marked correlations between 312
marked demographic decline 50
marked detrimental effects 112
marked development towards 127
marked differences according 580
marked differences appeared 344
marked differences because 45
marked differences between 78260
marked differences depending 414
marked differences emerged 184
marked differences existed 720
marked differences occurring 50
marked differences regarding 234
marked differences related 41
marked differential between 451
marked differential effects 43
marked differently according 49
marked disaffection towards 171
marked discordance between 389
marked discrepancy between 14600
marked disjuncture between 202
marked disparities between 932
marked distinctions between 3872
marked distinctive features 298
marked divergences between 626
marked enhancement following 225
marked estrangement between 170
marked fluctuations between 203
marked generalized weakness 77
marked geographical division 111
marked geographical features 304
marked geographical variation 808
marked improvement appeared 60
marked improvement because 114
marked improvement between 363
marked improvement following 996
marked improvement follows 276
marked improvement occurring 48
marked improvement resulting 40
marked improvement results 380
marked improvement usually 189
marked individuals released 178
marked interactions between 224
marked longitudinal striation 131
marked mathematical ability 64
marked oscillations between 118
marked parallelism between 1140
marked pathological effects 47
marked polarization between 132
marked porphyritic texture 43
marked professional ability 53
marked progressive decrease 121
marked progressive increase 155
marked proportional increase 61
marked relationship between 5498
marked resemblance between 6000
marked respiratory variation 226
marked stimulatory effects 141
marked synergistic effects 48
marked temperature increase 483
marked temperature variation 120
marked topographic features 244
marked ventricular dilation 137
market arrangements between 150
market competitive economy 55
market constraints imposed 99
market coordination between 48
market deteriorated rapidly 56
market development because 280
market development between 58
market development division 57
market development efforts 1167
market development include 63
market development including 44
