mace expressed one 45
made abstracts and 40
made accordant with 130
made accordingly and 344
made accordingly for 513
made accordingly with 93
made accounted for 146
made accusation that 595
made adaptable and 51
made adaptable for 242
made adaptation and 83
made additional and 101
made additional use 89
made addresses and 123
made admirable and 186
made admirable use 1014
made admissions that 587
made advertising and 126
made advisedly and 144
made affidavit and 59
made affidavit that 8340
made affiliation with 245
made afterward for 52
made agreement and 99
made agreement for 179
made agreement that 213
made agreement with 2628
made airplanes and 175
made airplanes out 45
made alexandria his 164
made allegation that 513
made allowance and 59
made allowance for 27338
made altogether and 124
made altogether for 144
made altogether new 133
made altogether one 151
made altogether out 59
made altogether too 559
made altogether with 77
made ambiguous and 173
made americans and 328
made americans both 41
made americans far 104
made americans out 121
made americans see 74
made americans who 46
made ammunition and 238
made ammunition for 304
made analogies with 102
made analogous with 95
made anonymous and 169
made anonymous for 52
made apologies and 562
made apologies for 2124
made apparatus and 284
made apparatus can 99
made apparatus for 819
made apparatus that 94
made apparatus was 93
made appearance and 114
made appliances and 49
made appliances for 50
made appliances may 48
made appliances that 40
made arbitrary and 418
made arbitrary use 54
made archdeacon and 52
made architect and 42
made argentina one 108
made arguments and 134
made arguments for 1036
made arguments that 2576
made aristotle and 55
made aristotle his 56
made aristotle say 112
made armaments and 44
made arrowheads and 216
made artifacts and 370
made artifacts are 184
made artifacts for 41
made artifacts that 254
made artifacts with 118
made artificial and 195
made artillery and 129
made assertions and 200
made assertions that 2929
made assiduous and 50
made assiduous use 62
made assistant and 93
made assistant head 41
made associated with 202
made associates with 47
made association with 743
made assumption that 4139
made assurance that 96
made astronomy and 43
made astronomy his 61
made atonement and 516
made atonement for 18024
made atonement with 386
made attentive and 54
made attitudes and 48
made attitudes for 40
made audiences and 115
made audiences for 138
made authorized but 72
made automatic and 1298
made automatic for 215
made automatic with 270
made available all 4884
made available and 50286
made available any 282
made available are 2274
made available being 172
made available both 3430
made available but 1683
made available can 1317
made available day 40
made available did 98
made available does 111
made available due 371
made available each 1465
made available far 272
made available for 1311238
made available had 355
made available has 716
made available her 996
made available his 2581
made available its 1373
made available long 283
made available low 368
made available may 687
made available near 512
made available new 3000
made available nor 113
made available not 2183
made available now 1551
made available off 79
made available old 41
made available one 2258
made available our 51
made available out 1551
made available owing 59
made available per 1056
made available six 213
made available tax 132
made available ten 149
made available than 560
made available that 4634
made available then 477
made available they 396
made available this 635
made available thus 155
made available too 282
made available tor 303
made available two 1259
made available using 468
made available was 2097
made available with 12974
made available year 194
made available yet 111
made backwards and 153
made baltimore his 100
made basically for 56
made basically with 71
made batteries and 197
made batteries for 123
made bedspreads and 57
made believers and 55
made believers out 1801
made beneficial for 151
made beneficial use 100
made biological and 96
made blueberry pie 58
made blueprint for 377
made botanical and 93
made bracelets and 324
made brigadier and 71
made byzantine art 51
made byzantium his 134
made calendars and 43
made california and 223
made california his 142
made california one 97
made cambridge his 120
made campfires and 44
made candidate for 388
made cardinals and 183
made carefully and 2541
made carefully but 47
made carefully for 129
made carefully with 387
made catamaran was 136
made cautiously and 1006
made cautiously for 79
made cautiously with 91
made centrally and 817
made centrally for 91
made centrally with 53
made centuries ago 6563
made certainly not 62
made certainly six 73
made certainly with 55
made challenges for 128
made character and 346
made chargeable for 916
made chargeable with 1462
made charlotte and 87
made chemicals and 770
made chemicals are 860
made chemicals can 234
made chemicals for 123
made chemicals has 43
made chemicals may 48
made chemicals that 1876
made chemicals with 90
made chesapeake bay 51
made childless and 73
made chocolate and 315
made chocolate for 283
made chocolate pie 46
made christians and 723
made christians out 398
made christians they 53
made christmas and 162
made christmas day 76
made christmas eve 122
made christmas for 133
made cigarette and 215
made civilized and 100
made civilized man 75
made classical and 199
made clientele for 41
made coadjutor with 43
made coalitions with 79
made cocktails and 125
made cognizant that 111
made coincided with 181
made coincides with 50
made collection and 128
made collegiate for 58
made colorless and 55
made commander and 370
made commander for 75
made commercial and 509
made commercial law 48
made commercial use 236
made commissar for 208
made commodious and 90
