mailed questionnaire surveys 144
mainly accomplished between 41
mainly agricultural country 665
mainly agricultural economy 523
mainly agricultural exports 40
mainly agricultural produce 222
mainly agricultural society 231
mainly agricultural workers 221
mainly concentrated against 42
mainly concentrated between 183
mainly concentrated towards 74
mainly objectionable because 41
mammoth hydroelectric project 44
manage communication between 347
manage dependencies between 60
manage governmental affairs 90
manage inappropriate behavior 48
manage intellectual capital 187
manage international affairs 218
manage international capital 59
manage relationships between 406
managing communication between 181
managing dependencies between 147
managing governmental affairs 85
managing inappropriate behavior 79
managing intellectual capital 897
managing international affairs 123
managing relationships between 446
manner communicates himself 76
manner conceptually similar 75
manner diametrically opposed 1054
manner discriminate against 1166
manner discriminating against 167
manner incomparably superior 43
manner substantially correct 315
manner substantially similar 312
manner sufficiently careful 59
manner sufficiently general 51
manner sufficiently precise 123
manner sufficiently startling 40
manner superficially similar 71
manual communication systems 286
manual configuration process 64
manual demonstration himself 180
marching determinedly forward 83
marching purposefully towards 60
marching relentlessly forward 75
marching relentlessly towards 42
marching triumphantly forward 41
margin requirements against 127
margin requirements because 43
margin requirements imposed 299
marine biotechnology research 155
marine communication between 131
marine environments because 118
marine environments contain 44
marine environments include 78
marine environments including 55
marine expeditionary brigade 61
marine industriously offered 48
marine instrumental records 56
marine intelligence officer 76
marine invertebrate animals 890
marine invertebrate embryos 92
marine invertebrate fossils 485
marine invertebrate remains 66
marine invertebrate species 661
marine invertebrate tissues 102
marine invertebrate zoology 89
marine productivity studies 75
marine radioactivity studies 138
marine transgression brought 80
marine transgression covered 79
marine transgression flooded 44
marine transgression following 56
marked anticipatory anxiety 76
marked concentration towards 131
marked continuities between 47
marked contradiction between 470
marked differentials between 155
marked disagreement between 848
marked disproportion between 2438
marked distinctness against 55
marked friendliness towards 52
marked indifference towards 242
marked inequalities between 382
marked inflammatory exudate 50
marked inflammatory process 158
marked inflammatory reactions 306
marked inflammatory thickening 56
marked intellectual ability 1056
marked intellectual advance 46
marked intellectual decline 132
marked neurological deficit 184
marked phonological features 58
marked physiological division 52
marked physiological effects 1000
marked physiological reactions 112
marked quantitative increase 125
marked relationships between 756
marked resemblances between 1000
marked similarities between 5514
market agricultural economy 45
market agricultural produce 561
market concentration affects 280
market concentration because 144
market concentration between 50
market concentration figures 87
market concentration measures 445
market concentration remains 49
market concentration resulting 91
market equilibration process 100
market imperfections affecting 105
market imperfections because 121
market imperfections include 72
market imperfections including 54
market imperfections prevail 43
market imperfections prevent 473
market imperfections provide 69
market imperfections related 59
market imperfections resulting 107
market inefficiency because 49
market inequalities between 118
market intelligence function 77
market intelligence gathered 45
market intelligence network 79
market intelligence regarding 43
market intelligence reports 604
market intelligence service 573
market intelligence systems 329
market participants against 351
market participants attempt 109
market participants because 207
market participants believe 1298
market participants following 46
market participants include 264
market participants including 241
market participants observe 72
market participants operate 88
market participants possess 74
market participants receive 92
market participants regarding 165
market participants require 140
market participants respond 342
market participants suggest 106
market participants usually 126
market participation because 69
market participation between 141
market participation decision 232
market relationships between 1176
market requirements regarding 46
market stabilization measures 153
market stabilization program 54
market stabilization schemes 95
market surveillance program 297
marred relationships between 114
master international marketing 66
master manufacturer expends 86
matching contributions satisfy 88
matching experimental results 220
matching relationships between 47
matrix interference effects 549
matrix relationships between 41
matter particularly affecting 403
matter philosophers contend 73
matter specifically covered 47
matter specifically lighter 49
matter subsequently brought 356
matter substantially related 283
mature capitalistic economy 105
mature consideration decided 85
mature philosophers propose 96
mature relationships between 254
measure achievements against 126
measure considerably stronger 54
measure deliberately adopted 156
measure discriminating against 157
measure fluorescence emission 115
measure inaccessible heights 200
measure institutional quality 49
measure intellectual ability 923
measure intellectual capital 205
measure neighborhood cohesion 98
measure physiological arousal 208
measure physiological reactions 225
measure relationships between 1072
measure reproductive success 190
measure similarities between 212
measure subsequently adopted 62
measure temperatures between 330
measuring coincidences between 61
measuring fluorescence emission 57
measuring fluorescence spectra 199
measuring intellectual ability 261
measuring intellectual capital 378
measuring physiological arousal 74
measuring physiological reactions 88
measuring relationships between 346
measuring reproductive success 87
measuring similarities between 56
measuring temperatures between 162
measuring transference numbers 97
mediate communication between 1177
mediate inflammatory reactions 184
mediate intellectual relation 124
mediate intelligibly between 50
mediate recombination between 144
mediate relationships between 1088
mediate successfully between 676
mediate translational control 139
mediating communication between 344
mediating inflammatory reactions 60
mediating organizations between 52
mediating relationships between 618
mediating successfully between 85
meetings specifically devoted 54
meiotic recombination between 430
melted photographic emulsion 57
member constituency systems 279
member consultative council 1234
member metropolitan council 140
member organizations include 397
member organizations including 192
member organizations provide 113
member revolutionary command 346
member revolutionary council 874
memory consolidation process 273
memory disturbances following 50
memory fragmentation problem 69
memory interference effects 101
memory requirements because 77
memory requirements imposed 56
memory requirements increase 406
memory specifically related 45
meningeal inflammatory process 44
mental communication between 270
mental companionship between 46
mental concentration becomes 47
mental consciousness remains 50
mental constitutions contain 41
mental disabilities because 82
mental disabilities include 43
mental disabilities resulting 52
mental disturbances because 40
mental disturbances develop 46
mental disturbances following 125
mental disturbances include 61
mental disturbances including 94
mental disturbances occurring 145
mental disturbances resulting 103
mental disturbances similar 56
mental relationships between 85
mental resemblances between 63
mental similarities between 98
mention particularly because 44
mentor relationships between 251
merely accidentally present 164
merely accidentally related 139
merely accommodated himself 77
merely acknowledged receipt 540
merely acknowledges receipt 116
merely agricultural country 106
merely compensatory damages 81
merely congratulated himself 40
merely consequential damages 51
merely contemptuous damages 41
merely contributory factors 58
merely differentiate between 85
merely differentiating between 63
merely discriminate between 84
merely discriminating between 44
merely experimental inquiry 69
merely experimental science 66
merely idiosyncratic beliefs 55
merely illustrative function 44
merely illustrative material 72
merely instrumental function 103
merely instrumental members 251
merely intellectual concept 51
merely intellectual culture 95
merely intellectual effects 47
merely intellectual grounds 89
merely intellectual insight 88
merely intellectual matters 49
merely intellectual opinions 71
merely intellectual problem 51
merely intellectual process 253
merely intelligible objects 140
merely metaphorical language 41
merely metaphorical persons 52
merely metaphysical question 147
merely philological grounds 45
merely physiological function 43
merely physiological process 65
merely precautionary measures 81
merely quantitative aspects 56
merely quantitative division 108
merely quantitative increase 101
merely quantitative measures 41
merely quantitative relation 50
merely quantitative variation 88
merely relationships between 71
merely remonstrated against 43
merely reproductive function 42
merely superficially similar 40
merely superstitious beliefs 60
merely unconsciously present 51
merger substantially lessens 56
merits consideration because 375
merits investigation because 42
methods consistently applied 55
methods diametrically opposed 88
methods differentiate between 42
methods experimental animals 133
methods experimental insects 49
methods investigated include 42
methods particularly adapted 74
methods specifically adapted 105
methods subsequently adopted 41
methods successfully adopted 101
methods successfully applied 174
methods traditionally applied 63
metric relationships between 82
middle socioeconomic classes 470
middle socioeconomic stratum 76
mighty confrontation between 72
mighty demonstration against 56
mighty revolutionary upheaval 42
mighty revolutionary upsurge 142
mildly hypertensive patient 61
mildly inappropriate behavior 55
mildly remonstrated against 65
million agricultural workers 2904
million bibliographic records 1586
million compensatory damages 494
million demonstration program 157
million demonstration project 180
million heterosexual couples 167
million hydroelectric project 203
million impoverished peasants 55
million international airport 193
million international tourist 1025
million modernization program 546
million modernization project 101
million prescriptions written 797
million surveillance cameras 84
million undocumented mexican 504
