macabre short stories 364
macaque feeding ecology 103
machine after machine 504
machine after measures 204
machine began operating 60
machine built according 106
machine costing several 77
machine costs between 59
machine could achieve 143
machine could capture 58
machine could compute 142
machine could contain 47
machine could control 91
machine could deliver 135
machine could develop 68
machine could execute 112
machine could exhibit 44
machine could function 134
machine could harvest 54
machine could operate 354
machine could perform 649
machine could process 131
machine could produce 1178
machine could provide 223
machine could replace 172
machine could respond 68
machine could support 77
machine either because 47
machine fails because 83
machine field current 191
machine first appeared 231
machine first brought 49
machine halting problem 133
machine hours allowed 164
machine hours because 90
machine leaped forward 165
machine learning applied 98
machine learning because 116
machine learning context 71
machine learning library 168
machine learning package 46
machine learning problem 843
machine learning process 477
machine learning program 426
machine learning research 920
machine learning results 50
machine learning schemes 192
machine learning studies 58
machine learning systems 2536
machine level language 163
machine level program 208
machine light blinked 87
machine loading problem 240
machine makes buttons 42
machine makes classes 42
machine might consist 60
machine might function 48
machine might include 62
machine might operate 53
machine might perform 72
machine might produce 150
machine might provide 65
machine might replace 45
machine might require 202
machine milling machine 197
machine moved forward 941
machine moved steadily 40
machine moves forward 1265
machine moves steadily 71
machine needs adjusting 41
machine needs repairs 43
machine needs servicing 50
machine never stopped 108
machine often becomes 81
machine often satisfy 57
machine parts according 87
machine parts against 125
machine parts because 162
machine parts company 47
machine parts exposed 173
machine parts factory 121
machine parts require 59
machine parts requiring 404
machine parts subject 160
machine parts together 417
machine power systems 426
machine quite similar 71
machine right outside 53
machine running according 40
machine running smoothly 1416
machine running windows 3386
machine shall consist 91
machine shall operate 57
machine shall perform 44
machine shops because 57
machine shops capable 179
machine shops employing 152
machine shops located 167
machine shops producing 88
machine sprang forward 72
machine spray machine 46
machine still existed 54
machine still remains 191
machine stood against 86
machine stood between 55
machine stops because 75
machine tools according 104
machine tools appeared 66
machine tools arranged 70
machine tools because 805
machine tools between 154
machine tools brought 60
machine tools capable 403
machine tools company 101
machine tools consist 54
machine tools depends 54
machine tools division 91
machine tools employing 46
machine tools existed 42
machine tools factory 562
machine tools include 150
machine tools including 479
machine tools machine 60
machine tools operate 201
machine tools operating 121
machine tools ordered 167
machine tools perform 63
machine tools produce 65
machine tools provide 116
machine tools require 369
machine tools requiring 109
machine tools shipped 89
machine tools started 55
machine tools together 89
machine tools usually 86
machine under certain 235
machine under control 1179
machine under perfect 52
machine under similar 49
machine under windows 98
machine until failure 47
machine vision problem 137
machine vision research 174
machine vision sensors 57
machine vision systems 7336
machine washing machine 114
machine which absorbs 79
machine which accepts 344
machine which allowed 163
machine which answers 77
machine which appeared 168
machine which applied 59
machine which applies 331
machine which arranges 51
machine which attacks 103
machine which becomes 223
machine which behaves 54
machine which brought 277
machine which carried 240
machine which carries 610
machine which closely 43
machine which conveys 67
machine which crushed 156
machine which crushes 141
machine which decides 77
machine which demands 53
machine which depends 132
machine which derives 92
machine which detects 113
machine which differs 98
machine which directs 46
machine which divides 52
machine which effects 86
machine which employs 252
machine which enabled 595
machine which enables 759
machine which ensures 69
machine which existed 66
machine which exposes 57
machine which extends 44
machine which fastens 57
machine which featured 42
machine which features 43
machine which finally 64
machine which follows 107
machine which germany 51
machine which governs 102
machine which handles 138
machine which happens 54
machine which imparts 54
machine which inserts 71
machine which lessens 59
machine which loosens 49
machine which manages 65
machine which measured 183
machine which measures 844
machine which offered 51
machine which permits 320
machine which pressed 46
machine which presses 139
machine which printed 356
machine which punched 43
machine which punches 696
machine which rapidly 65
machine which realizes 50
machine which records 1195
machine which reduced 82
machine which reduces 365
machine which remains 43
machine which remakes 44
machine which removed 64
machine which removes 696
machine which renders 53
machine which require 41
machine which results 215
machine which rotates 117
machine which scrapes 46
machine which secures 57
machine which selects 60
machine which stamped 103
machine which started 64
machine which strikes 56
machine which threatens 71
machine which threshed 42
machine which travels 118
machine which usually 84
machine which weighed 57
machine while operating 123
machine while retaining 49
machine whose behavior 211
machine whose function 879
machine whose machine 50
machine whose members 66
machine whose operating 101
machine whose outputs 111
machine whose primary 105
machine whose product 123
machine whose program 115
machine whose purpose 1089
machine within machine 95
machine working according 114
machine working between 226
machine working smoothly 151
machine working together 578
machine works according 77
machine works because 106
machine works smoothly 168
machine would achieve 66
machine would advance 43
machine would attempt 47
machine would benefit 45
machine would compute 49
machine would consist 100
machine would contain 82
machine would control 76
machine would deliver 109
machine would destroy 190
machine would develop 56
machine would display 77
machine would execute 70
machine would explode 61
machine would function 126
machine would furnish 42
machine would improve 58
machine would include 138
machine would increase 278
machine would involve 122
machine would operate 397
machine would perform 319
machine would perhaps 69
machine would prevent 49
machine would proceed 107
machine would process 65
machine would produce 988
machine would provide 341
machine would quickly 133
machine would receive 96
machine would replace 189
machine would require 1276
machine would respond 162
machine would satisfy 42
machine would stagger 44
machine would suffice 80
machine would support 92
macrame plant holders 157
maddening after shadows 45
madness could engender 52
madness could explain 52
madness could produce 40
madness could withdraw 61
madness might perhaps 41
madness under control 63
madness where peaceful 55
madness which affects 52
madness which attends 43
madness which brought 161
madness which finally 51
madness which follows 40
madness which threatens 97
madness which visited 83
maggots which appeared 41
maggots which crawled 61
maggots which develop 64
magical action against 44
magical charm against 58
magical light effects 42
magical links between 41
magical night together 57
magical power against 143
magical power because 96
magical power capable 59
magical power derived 77
magical power emanating 68
magical power resides 50
magical stage effects 91
magical texts written 61
magical thinking because 40
magical wands produce 70
magical words engraved 42
magician could perform 54
magician found himself 83
magician harry houdini 1531
magician pulling rabbits 249
magician pulls rabbits 69
magnate george pullman 333
magnesia taken together 44
magneto hydro dynamic 162
magnets close together 114
magnets either attract 48
magnets stick together 61
magnets which attract 271
magnets which operate 62
magnets which produce 238
magnets which provide 74
magnets whose maximum 62
magnets would attract 78
magnify small matters 58
magnify small objects 677
magnolia trees planted 97
maidens dreaming strayed 181
maidens talking together 94
maidens yearly planted 173
majesty about remitting 41
majesty acted towards 55
majesty engage respect 43
majesty finds himself 41
majesty found himself 272
majesty might appoint 179
majesty might command 136
majesty queen victoria 1206
majesty shall appoint 638
majesty shall command 68
majesty shall declare 107
majesty shall receive 83
majesty shall require 40
majesty shall restore 122
majesty shall shortly 95
majesty shall suspect 68
majesty thinks himself 153
majesty which appeared 41
majesty which belonged 115
majesty which renders 42
majesty would appoint 169
majesty would approve 50
majesty would ascribe 40
majesty would command 159
majesty would consent 441
majesty would declare 61
majesty would indulge 45
majesty would prepare 85
majesty would proceed 192
majesty would procure 104
majesty would provide 93
majesty would receive 248
majesty would rejoice 45
majesty would require 46
majesty would resolve 68
majesty would restore 46
majesty would tremble 45
majesty would willingly 103
majesty would withdraw 82
malaise lasting several 78
malaise stems largely 40
malaise which affects 101
malaise which amounts 41
