mad or disappointed 254
man an accomplished 154
man an acquaintance 41
man an incalculable 42
man an independence 48
man an intellectual 1572
man an intelligence 133
man an irresistible 136
man as accomplished 138
man as authoritative 90
man as chesterfield 71
man as conscientious 95
man as consciousness 389
man as conservative 116
man as contemporary 43
man as contemptible 102
man as continuously 53
man as demonstrated 322
man as determinedly 50
man as disqualified 110
man as gainsborough 72
man as historically 137
man as hypocritical 84
man as inconsistent 133
man as intellectual 360
man as intelligence 550
man as irresistibly 85
man as knowledgeable 90
man as perspicacious 45
man as preeminently 43
man as presumptuous 48
man as righteousness 100
man as specifically 48
man as spontaneously 44
man as supernatural 81
man as transcendent 89
man as unprincipled 65
man as unscrupulous 126
man at considerable 40
man be accomplished 96
man be acknowledged 51
man be disappointed 129
man be dissatisfied 165
man be interrogated 198
man be scrupulously 44
man be sufficiently 208
man by cheerfulness 92
man by contaminated 56
man by contamination 50
man by contemporary 136
man by disobedience 128
man by equilibration 55
man by experimental 70
man by intellectual 41
man by intelligence 87
man by misadventure 56
man by participation 139
man by philosophers 46
man by supernatural 233
man by transgression 128
man he accidentally 50
man he acknowledged 75
man he experimented 40
man he impersonated 48
man he participated 138
man he particularly 121
man he subsequently 90
man in agricultural 165
man in architecture 339
man in aristophanes 76
man in astonishment 2488
man in bewilderment 247
man in chesterfield 47
man in christchurch 95
man in collaboration 58
man in communication 254
man in completeness 41
man in concentration 49
man in confrontation 165
man in consciousness 147
man in conservative 66
man in considerable 244
man in consideration 346
man in consternation 101
man in contaminated 49
man in contemplation 530
man in contemporary 3150
man in contradiction 418
man in difficulties 801
man in disagreement 51
man in disobedience 61
man in experimental 79
man in governmental 98
man in gratification 46
man in horsemanship 53
man in independence 158
man in intellectual 472
man in intelligence 1793
man in international 247
man in interstellar 48
man in jacksonville 243
man in johannesburg 391
man in justification 100
man in juxtaposition 61
man in manufactures 125
man in newfoundland 137
man in organizations 186
man in parliamentary 48
man in particularly 81
man in physiological 47
man in psychotherapy 212
man in relationships 47
man in revolutionary 120
man in righteousness 845
man in saskatchewan 169
man in shirtsleeves 2799
man in subordination 51
man in uncontrolled 41
man in unmistakable 56
man is accidentally 320
man is accomplished 771
man is acknowledged 483
man is administered 194
man is anatomically 104
man is antagonistic 58
man is apprehensive 89
man is appropriately 118
man is assassinated 80
man is attributable 131
man is authentically 67
man is collectively 57
man is commemorated 78
man is commensurate 50
man is communicated 146
man is compassionate 129
man is complemented 46
man is comprehended 298
man is concentrated 363
man is conclusively 100
man is congratulated 179
man is conscientious 249
man is consciousness 211
man is consequently 526
man is conservative 300
man is considerable 139
man is considerably 676
man is consistently 282
man is constitutive 53
man is constructive 62
man is contaminated 79
man is contemplated 357
man is contemplation 84
man is contemporary 71
man is contemptible 410
man is contemptuous 46
man is continuously 550
man is contradicted 126
man is controversial 101
man is convalescent 53
man is conveniently 56
man is cosmopolitan 53
man is definitively 56
man is deliberately 377
man is demonstrably 79
man is demonstrated 481
man is diametrically 43
man is disappointed 512
man is disconcerted 60
man is disconnected 46
man is discontented 976
man is discoverable 68
man is disillusioned 96
man is dispossessed 178
man is disqualified 380
man is dissatisfied 794
man is dramatically 87
man is economically 268
man is electrocuted 63
man is emphatically 216
man is encapsulated 51
man is exceptionally 388
man is existentially 98
man is externalized 50
man is figuratively 67
man is foreshadowed 66
man is heterosexual 94
man is heterozygous 193
man is historically 195
man is hospitalized 279
man is illegitimate 66
man is illustrative 59
man is immortalized 64
man is impenetrable 106
