year cash balance at end 76
year from beginning to end 212
year from january to may 110
year from october to may 207
year moving average of real 110
year moving average of this 112
year next following the year 1192
year next preceding the day 65
year next preceding the year 229
year send forward to each 55
year some parcels of all 42
year span between the two 131
year span covered by this 143
yet been adduced in its 44
yet been adopted by all 123
yet been adopted by any 369
yet been adopted in all 42
yet been adopted in any 132
yet been adopted in this 144
yet been adopted to any 112
yet been allowed to read 45
yet been allowed to see 237
yet been applied in any 155
yet been applied in this 89
yet been applied to all 71
yet been applied to any 588
yet been applied to him 49
yet been applied to its 63
yet been applied to them 147
yet been applied to this 236
yet been arrived at with 70
yet been brought to any 101
yet been brought to bear 885
yet been brought to his 61
yet been brought to its 98
yet been brought to our 51
yet been brought to see 48
yet been brought to that 197
yet been brought to this 71
yet been carried so far 78
yet been carried to its 117
yet been claimed by any 94
yet been covered by any 49
yet been covered in this 45
yet been decided by any 79
yet been decided by this 107
yet been decided in this 42
yet been defined by any 41
yet been defined in any 61
yet been defined in this 82
yet been devised by any 52
yet been devised by man 101
yet been devised by this 46
yet been devised in any 45
yet been devised to bring 40
yet been devoted to them 71
yet been devoted to this 134
yet been elected to any 43
yet been enacted by any 42
yet been erected by any 63
yet been exposed to any 91
yet been exposed to this 48
yet been granted by any 47
yet been granted to any 138
yet been granted to him 46
yet been granted to them 51
yet been matched by any 71
yet been noticed by any 126
yet been noticed by our 60
yet been noticed in any 59
yet been noticed in this 47
yet been offered by any 67
yet been offered in its 42
yet been offered to any 43
yet been offered to him 70
yet been offered to them 40
yet been preached to all 43
yet been preached to them 58
yet been realized in any 186
yet been realized in its 43
yet been realized in this 41
yet been realized on earth 156
yet been reduced to any 98
yet been reduced to that 45
yet been related to any 63
yet been revealed to her 106
yet been revealed to him 479
yet been revealed to man 153
yet been revealed to them 106
yet been revealed to you 111
yet been settled by any 70
yet been studied at all 134
yet been studied in all 40
yet been studied in any 419
yet been studied in its 53
yet been studied in this 287
yet been studied to any 84
yet been subdued by man 54
yet been subject to any 121
yet been touched by any 102
yet been touched in any 45
yet been touched on his 90
yet been trodden by any 51
yet been visited by any 402
yet been visited by man 84
yet been written by any 137
yet been written in any 93
yet been written in our 163
yet been written in this 49
yet been written of any 66
yet been written on that 43
yet been written on this 153
yet bore witness to its 42
yet come forward to aid 55
yet come forward to say 41
yet done justice to his 47
yet done justice to this 79
yet even according to that 91
yet even congress is too 162
yet even solomon in all 157
yet from beginning to end 167
yet give pleasure to all 107
yet great numbers of them 76
yet have feigned or fear 280
yet have girdled the earth 42
yet have liberty to add 46
yet having yielded to his 105
yet held together by one 52
yet just because of this 45
yet many persons do not 48
yet more affecting to see 47
yet more ashamed of her 115
yet more closely to her 50
yet more closely to him 61
yet more closely to his 60
yet more familiar to you 41
yet more obliged to him 66
yet most blessed in this 72
yet most natural in being 78
yet puny efforts of her 85
yet some friends to both 131
yet some remains of his 56
yet some remains of its 73
yet some remains of this 43
yet such liberty is not 44
yet their language to them 55
yet their neglect of them 139
yet their relation to that 159
yet their thoughts do end 660
yet there appeared in him 110
yet there appeared on this 45
yet there remains in them 169
yet there remains to her 41
yet these animals do not 53
yet these figures do not 41
yet very attacking on all 76
yet were capable of being 46
yet were content to lay 57
yet were similar in this 59
yet what majesty in her 56
yet worth repairing to any 68
you also believe in god 46
you also believe in this 44
you been bothered by any 125
you been content to sit 75
you been emperor of east 43
you been exposed to any 129
you been following me all 41
you been listening at all 96
you been listening to all 75
you been listening to her 40
you been listening to our 72
you been listening to that 124
you been married to her 54
you been married to him 67
you been reduced to this 41
you call believing in god 72
you came between me and 135
you come against me with 112
you come against us with 44
you come between me and 236
you come between us and 47
you come betwixt me and 55
you come pestering me any 112
you come together in one 58
you draw between the two 42
you during puberty is that 95
you even believe in god 108
you even solomon in all 59
you ever accused of being 157
you ever belonged to any 141
you ever bothered to read 41
you ever chanced to read 42
you ever chanced to see 53
you ever desired to hear 54
you ever discuss it with 124
you ever emperor of that 49
you ever forgive me for 1738
you ever forgive us for 76
you ever managed to get 204
you ever noticed the way 346
you ever stopped to ask 265
you ever venture to say 60
you ever watched the sun 114
you ever written to him 58
you feel applies to you 53
you feel ashamed of being 59
you feel capable of doing 167
you feel certain of being 51
you feel closest to and 56
you feel closest to god 166
you feel exactly as you 46
you feel grieved at his 45
you feel obliged to say 61
you feel superior to them 65
you feel tempted to use 55
you feel totally at ease 59
you feel unhappy if you 49
you felt closest to god 51
you find answers to all 45
you find answers to them 43
you find between the two 285
you five dollars if you 337
you five hundred if you 49
you five hundred of them 44
you five minutes if you 128
you five minutes on end 62
you five minutes to get 587
you five minutes to say 42
you five seconds to get 81
you five shillings if you 54
you from beginning to end 1189
you from believing in god 223
you from slavery to ten 158
you from slavery to them 105
you full details of this 51
you full justice in that 44
you good success in all 75
you great pleasure to hear 92
you great pleasure to see 73
you great success in this 46
you have adopted in this 60
you have adopted is not 69
you have adorned it with 56
you have against the man 41
you have answers to all 127
you have appeared in this 96
you have applied to him 49
you have applied to this 69
you have arranged it all 129
you have arranged to see 43
you have arrived at and 43
you have arrived at any 135
you have arrived at his 41
you have arrived at one 78
you have arrived at that 1035
you have arrived at them 50
you have arrived at this 796
you have arrived in this 79
you have assumed in this 85
you have assured me that 863
you have assured me you 67
you have assured us that 139
you have behaved as you 59
you have behaved in this 158
you have behaved to her 42
you have belonged to his 52
you have blessed me with 325
you have blessed us with 272
you have branded my son 60
you have branded us with 46
you have brought in with 44
you have brought it all 169
you have brought it off 53
you have brought it out 145
you have brought it with 91
you have brought me all 53
you have brought me and 110
you have brought me are 119
you have brought me low 65
you have brought me new 44
you have brought me one 95
you have brought me out 238
you have brought me this 435
you have brought me thus 82
you have brought me with 40
you have brought no one 46
you have brought on our 41
you have brought on this 76
you have brought the two 42
you have brought to bear 398
you have brought to him 63
you have brought to our 361
you have brought to them 42
you have brought to this 313
you have brought up all 57
you have brought up and 56
you have brought up out 94
you have brought up this 163
you have brought us all 118
you have brought us out 1290
you have brought us this 55
you have brought us with 42
you have carried it out 539
you have carried on for 56
you have carried on this 69
you have carried on with 70
you have carried the day 40
you have chanced to see 69
you have charged me for 54
you have charged me with 761
you have charged us with 53
you have checked it out 302
you have checked it with 48
you have checked the box 54
you have checked to see 160
you have circled in each 49
you have control of all 68
you have control of that 51
you have control of this 54
you have covered in this 97
you have covered it all 62
you have covered it with 57
you have covered me with 47
you have covered so far 140
you have covered the area 63
you have covered us with 65
you have crossed it you 42
you have crossed my path 134
you have crossed the seas 47
you have crowned me with 45
you have decided as you 54
you have decided if you 65
you have decided on all 47
you have decided on and 87
you have decided on for 121
you have decided on how 67
you have decided on one 121
you have decided on that 124
you have decided on this 189
you have decided to act 102
you have decided to add 153
you have decided to ask 105
you have decided to bring 109
you have decided to buy 718
you have decided to cut 62
you have decided to deal 59
you have decided to end 67
you have decided to get 380
you have decided to let 232
you have decided to pay 99
you have decided to put 362
you have decided to read 150
you have decided to run 178
you have decided to say 68
you have decided to see 242
you have decided to set 171
you have decided to try 430
you have decided to use 2532
you have defiled my own 81
you have defined so far 53
you have defined the new 43
you have delayed so long 173
you have depends on how 151
you have desired to hear 66
you have desired to see 136
you have devoted to this 132
you have diabetes or are 65
you have diabetes or not 63
you have dragged us all 87
you have drained the cup 43
you have elected to use 216
you have endowed me with 69
you have endured is not 42
you have enemies in all 77
you have enjoyed in this 64
you have enjoyed it and 58
you have enjoyed it long 98
you have entered in this 53
you have entered is not 74
you have entered on this 71
you have entered so far 256
you have entered the new 162
you have entered the path 129
you have entered the url 55
you have errands to run 74
you have escaped it all 48
you have escaped so long 94
you have everything as you 41
you have everything in one 67
you have everything in this 45
you have everything the way 70
you have everything to fear 172
you have everything to win 51
you have evinced in all 42
you have fancied it was 46
you have favored me with 361
you have favored us with 165
you have figured it out 608
you have friends in this 77
you have gathered by now 162
you have gathered in this 87
you have gathered so far 165
you have gathered up all 47
you have granted me this 79
you have granted to them 93
you have grasped the idea 152
you have guessed by now 286
you have guessed by this 59
you have guessed it all 47
you have guessed it was 40
you have honored me with 799
you have honored us with 156
you have ignored the law 119
you have imposed on them 63
you have imputed to him 40
you have labored so long 105
you have leisure to hear 48
you have leisure to read 119
you have managed it all 79
you have managed to bring 117
you have managed to get 1446
you have managed to put 150
you have managed to read 77
you have managed to say 52
you have managed to see 73
you have married an old 55
you have noticed by now 148
you have noticed in this 51
you have noticed it too 47
you have noticed the way 56
you have nowhere to put 91
you have nowhere to run 57
you have obliged me with 143
you have occasion to ask 75
you have occasion to buy 62
you have occasion to deal 48
you have occasion to read 74
you have occasion to see 592
you have occasion to use 1062
you have offered me for 76
you have offered me this 44
you have offered to god 161
you have offered to one 52
you have offered to pay 64
you have overrun the red 54
you have painted me with 71
you have planned it all 55
you have planned to say 77
you have planned to use 154
you have planted in our 43
you have pleasure in being 53
you have pointed it out 331
you have pointed the way 92
you have pursued me with 71
you have realized by now 198
you have reasoned it out 127
you have refused to hear 249
you have refused to let 180
you have refused to pay 113
you have refused to see 168
you have related of that 55
you have removed the old 77
you have replied to this 63
you have reposed in him 112
you have reposed in them 63
you have resided in this 201
you have respect to him 49
you have searched me and 1267
you have searched me out 232
you have settled in and 64
you have settled it all 210
you have settled it that 142
you have settled on one 52
you have several of them 118
you have skipped to this 52
you have spoiled it all 121
you have spoiled it for 64
you have spoiled me for 101
you have stained me with 113
you have started as you 76
you have started on that 53
you have started on this 66
you have started to get 65
you have started to read 80
you have started to use 110
you have stirred up this 50
you have striven to bring 60
you have studied in this 3050
you have studied it and 154
you have studied it for 52
you have studied or are 68
you have studied or read 57
you have studied so far 2218
you have studied the map 56
you have taunted me with 80
you have touched it with 54
you have touched me and 62
you have touched on that 62
you have trodden the earth 41
you have trouble in this 78
you have trusted me thus 46
you have trusted me with 234
you have uttered is one 118
you have violated the law 270
you have watched as they 45
you have whipped my son 49
you have withheld the dew 51
you have written as you 155
you have written if you 72
you have written in that 110
you have written in this 265
you have written is not 212
you have written it all 98
you have written it and 116
you have written it out 158
you have written it with 77
you have written me and 76
you have written me that 190
you have written me two 136
you have written of him 53
you have written on our 42
you have written on that 54
you have written on this 278
you have written or are 72
you have written or may 59
you have written so far 1642
you have written so that 226
you have written to ask 59
you have written to her 343
you have written to him 763
you have written to his 41
you have written to say 53
you have written to see 237
you have written to them 94
you have written to this 62
you have yielded to his 41
you have yielded to our 42
you have yielded to this 90
you have yielded us too 48
you here because it was 52
you here because we are 73
you into everything he was 46
you into fishers of men 92
you into trouble at red 94
you into trouble if you 406
you just because of that 62
you just because of who 53
you just compare it with 74
you just figured it out 59
you keep records of all 75
you know anybody by that 64
you know anybody in this 131
you know everything in this 50
you know everything is all 47
you know everything is going 94
you leave everything to him 41
you like because no one 50
you live according to god 104
you live according to his 53
you live according to this 126
you live against as long 45
you live outside the law 48
you live together as man 55
you look closely at all 79
you look closely at any 268
you look closely at each 138
you look closely at fig 145
you look closely at her 85
you look closely at him 57
you look closely at his 152
you look closely at how 117
you look closely at its 52
you look closely at one 120
you look closely at our 69
you look closely at that 166
you look closely at them 233
you look closely at this 619
you look exactly as you 159
you look exactly the way 43
you look forward or lie 69
you look forward to all 59
you look forward to and 111
you look forward to any 96
you look forward to being 307
you look forward to doing 404
you look forward to each 161
you look forward to going 357
you look forward to has 116
you look forward to his 67
you look forward to our 69
you look forward to that 575
you look forward to them 111
you look forward to this 155
you look forward to with 128
you look towards the east 86
you look towards the sun 46
you make between the two 91
you make depends on how 109
you make offerings if you 57
you meet together it may 43
you mind strolling up with 43
you more details of this 44
you more details on how 45
you more details on this 58
you more insults to heap 59
you more service in this 46
you more trouble to get 58
you most delight to hear 78
you most delight to use 105
you most happily to each 52
you most heartily on this 62
you move between the two 58
you move forward in this 108
you much pleasure to hear 43
you much success as you 59
you much success in all 46
you much trouble to read 53
you must abandon it all 68
you must abandon the idea 104
you must account to god 54
you must acquire if you 50
