year year 80 year may 46
yet not 60 yet not 52
yet not 84 yet she 44
yet but 119 yet that 62
yet own 45 yet way 44
yet things 97 yet not 75
you are 56 you and 111
you say 42 you you 69
you you 109 you you 98
you day 101 you can 52
you with 71 you are 72
you they 148 you them 43
you how 73 you are 117
you are 661 you can 90
you ask 68 you you 94
you now 41 you you 45
you was 85 you this 42
you that 50 you are 74
you you 104 you you 68
you you 98 you way 42
you him 59 you off 46
you men 53 you that 220
you day 113 you you 91
