years an opportunity was given 67
years he accompanied his father 76
years in consolidating his power 61
years in switzerland and italy 66
years of adjudication put flesh 45
years of civilization and every 213
years of development and change 231
years of development and field 83
years of development and growth 280
years of development and testing 730
years of intervention and civil 43
years of proscription and danger 51
years of proscription and exile 96
years to consolidate his power 107
youth he accompanied his father 83
