year ago simply to justify 50
year and before the beginning 52
year and before the election 60
year are placed in service 44
year are treated as capital 54
year being needed to provide 56
year both houses of congress 42
year has passed so quickly 46
year lay before the company 75
year she joined the faculty 76
year she thought the company 51
year that begins on january 79
year that begins on october 44
year that marked the beginning 997
year that passes it becomes 41
year that relate to judicial 53
year was changed to january 93
year was likely to produce 56
year was marked by several 79
year was placed in command 101
year was placed in service 78
year you placed the vehicle 61
yet all seemed to promise 101
yet are unable to protect 87
yet bring myself to believe 171
yet but wished the commons 129
yet has failed to disgust 79
yet has failed to produce 44
yet has fallen to leeward 61
yet has formed the subject 58
yet his brother is reputed 98
yet his manner of accepting 51
yet his pardon is granted 73
yet long enough to furnish 56
yet long enough to provide 56
yet low enough to prevent 138
yet may safely be allowed 60
yet not enough to prevent 73
yet not enough to produce 57
yet not enough to satisfy 61
yet not without an element 99
yet not without the deepest 118
yet old enough to reflect 48
yet our nature is equally 46
yet she thought the addition 138
yet they answer the purpose 97
yet they failed to achieve 42
yet they refine the spirits 46
yet they refuse to believe 46
yet they served the purpose 210
yet this effect of begetting 47
yet was called in question 93
yet who regard the objects 125
yet you refuse to believe 43
you all clearly at general 137
you all manner of success 184
you and answer the following 114
you and before my country 42
you and before the country 45
you and desire to relieve 47
you and myself the trouble 44
you and rachel at variance 46
you any further at present 64
you any papers or letters 54
you are aboard the frigate 45
you are afraid of advancing 41
you are afraid of everything 71
you are afraid of failure 111
you are afraid of heights 301
you are afraid of offending 190
you are afraid of spiders 61
you are afraid of suffering 128
you are afraid or ashamed 79
you are afraid to believe 55
you are afraid to express 88
you are afraid to proceed 46
you are afraid to publish 41
you are afraid to venture 165
you are already in college 75
you are already in command 196
you are already in trouble 196
you are already in windows 46
you are already no stranger 66
you are already up against 184
you are always at liberty 122
you are always in control 703
you are always in trouble 91
you are always so careful 40
you are amazed to reflect 59
you are anxious or worried 52
you are anxious to abstain 47
you are anxious to improve 45
you are anxious to possess 71
you are anxious to publish 43
you are anxious to receive 62
you are applying the correct 41
you are applying to require 43
you are applying to several 43
you are avoiding my question 46
you are backed up against 48
you are become as regular 96
you are behind the counter 48
you are building an addition 51
you are called an emperor 87
you are called an outcast 118
you are called to account 266
you are called to freedom 44
you are called to perform 107
you are called to preside 58
you are called to receive 54
you are called to testify 229
you are called to witness 62
you are caught in traffic 76
you are choosing the correct 46
you are clever in everything 47
you are crossing the channel 84
you are defeating the purpose 140
you are deleting the correct 97
you are doomed to eternal 61
you are doomed to failure 658
you are doomed to neglect 98
you are engaged at present 47
you are engaged in preparing 126
you are engaged in research 105
you are engaged or married 61
you are enjoying the country 105
you are enjoying the highest 48
you are enough to conquer 81
you are enough to provoke 130
you are entering the correct 70
you are entering the country 64
you are entering the formula 84
you are entering to possess 726
you are favoring the affairs 56
you are fighting the tyranny 67
you are fighting to gratify 129
you are fluent in spanish 154
you are forced to abandon 205
you are forced to believe 164
you are forced to compete 41
you are forced to concede 41
you are forced to confess 142
you are forced to develop 63
you are forced to examine 96
you are forced to explain 44
you are forced to perform 50
you are forced to respond 51
you are forced to suppose 50
you are formed to inspire 62
you are greatly my superior 45
you are guilty as charged 123
you are guilty of perjury 75
you are guilty of towards 151
you are immune to rubella 199
you are inside or outside 358
you are intent on enlarging 65
you are killed or wounded 48
you are likely to achieve 532
you are likely to acquire 132
you are likely to attract 273
you are likely to believe 340
you are likely to benefit 285
you are likely to collect 89
you are likely to conduct 44
you are likely to confuse 149
you are likely to consume 74
you are likely to destroy 63
you are likely to develop 649
you are likely to discuss 68
you are likely to disturb 45
you are likely to express 63
you are likely to imagine 98
you are likely to improve 112
you are likely to include 146
you are likely to increase 175
you are likely to inherit 62
you are likely to mistake 67
you are likely to neglect 71
you are likely to obscure 59
you are likely to observe 268
you are likely to outlive 80
you are likely to perform 279
you are likely to possess 101
you are likely to present 66
you are likely to proceed 44
you are likely to produce 425
you are likely to provide 69
you are likely to qualify 68
you are likely to quickly 40
you are likely to receive 2458
you are likely to recover 72
you are likely to require 567
you are likely to respond 311
you are likely to stumble 160
you are likely to succeed 682
you are likely to succumb 42
you are likely to survive 52
you are likely to suspect 41
you are likely to uncover 102
you are likely to undergo 80
you are likely to witness 106
you are master of everything 61
you are measuring the voltage 96
you are online or offline 97
you are painting the picture 46
you are planning an addition 54
you are planning an outdoor 93
you are planning on attending 63
you are planning on traveling 64
you are planning to achieve 79
you are planning to acquire 55
you are planning to collect 78
you are planning to conduct 230
you are planning to connect 83
you are planning to convert 88
you are planning to deliver 109
you are planning to develop 257
you are planning to discuss 58
you are planning to explore 83
you are planning to include 208
you are planning to increase 82
you are planning to install 583
you are planning to migrate 67
you are planning to operate 102
you are planning to perform 139
you are planning to prepare 73
you are planning to present 155
you are planning to produce 142
you are planning to provide 97
you are planning to publish 212
you are planning to remodel 63
you are planning to replace 100
you are planning to support 56
you are planning to undergo 79
you are planning to upgrade 164
you are planning to venture 43
you are pleased to appoint 79
you are pleased to approve 153
you are pleased to ascribe 138
you are pleased to believe 90
you are pleased to command 310
you are pleased to commend 42
you are pleased to concern 65
you are pleased to confirm 70
you are pleased to consult 55
you are pleased to declare 42
you are pleased to destroy 40
you are pleased to dignify 89
you are pleased to express 1879
you are pleased to furnish 50
you are pleased to imagine 70
you are pleased to inquire 190
you are pleased to magnify 73
you are pleased to observe 349
you are pleased to profess 86
you are pleased to promise 99
you are pleased to propose 57
you are pleased to qualify 64
you are pleased to receive 129
you are pleased to request 89
you are pleased to require 340
you are pleased to signify 68
you are pleased to suggest 66
you are pleased to suppose 274
you are refusing the request 49
you are scheming to destroy 67
you are second in command 64
you are settling the question 53
you are shooting on location 64
you are spared the tragedy 42
you are spared the trouble 54
you are starting the process 49
you are starting to believe 74
you are starting to develop 61
you are striving to achieve 362
you are striving to develop 44
you are striving to educate 45
you are striving to improve 45
you are struck by lightning 133
you are studying the effects 157
you are studying the history 84
you are taller or shorter 58
you are taught to believe 301
you are therein to express 69
you are twelve or thirteen 52
you are unable at present 47
you are unable or unwilling 936
you are unable to account 172
you are unable to achieve 318
you are unable to acquire 120
you are unable to address 42
you are unable to believe 186
you are unable to collect 208
you are unable to conduct 75
you are unable to confirm 48
you are unable to connect 445
