yard grinning upon him with 86
years before adam and eve 62
years before there are any 118
years before there had not 89
years before there was any 1866
years before there was not 152
years before there was one 73
years before were now being 41
years before when she and 183
years before when she had 1185
years before when she was 987
years before when they had 525
years behind bars for his 41
years earlier when she and 163
years earlier when she had 752
years earlier when she was 996
years earlier when they both 70
years earlier when they had 463
years passed over her head 44
years passed over his head 154
years rolled back and they 46
years rolled over his head 59
years seemed unto him but 81
years through thick and thin 364
years waited more than six 50
years without ever going out 118
years without having had any 71
years without there being any 95
yoke depart from off them 459
young adults have not yet 44
young adults when they are 52
young couple meet and are 279
young english bull and cow 51
young english girl and her 40
young english girl who had 162
young english girl who was 99
young english lady who had 67
young english lady who was 69
young fellow away with his 55
young fellow come and sit 55
young fellow like you can 75
young fellow like you does 41
young fellow like you with 93
young fellow living with his 70
young fellow must sow his 55
young fellow whom she had 80
young fellow whom they had 45
young french girl who had 70
young french girl who was 53
young french lady who was 58
young friend home with him 156
young friend took his ease 54
young german girl who had 73
young german girl who was 54
young grouse among long heath 84
young hunter left her for 78
young jewish girl and her 68
young jewish girl who had 63
young jewish girl who was 112
young ladies said that you 41
young ladies were with him 58
young ladies when they are 59
young lawyer whom she had 51
young myself once and had 70
young nephew along with him 49
young peasant girl who had 46
young peasant girl who was 67
young person like this may 62
young person whom she had 108
young plants were set out 54
young plants when they are 102
young polish girl who had 52
young prince told him that 75
young ravens when they cry 3152
young russian girl who had 65
young russian girl who was 51
young sailor gave with this 51
young shoots when they are 75
young squire leading off now 106
young wolves grew fat and 51
your actions show that you 138
your actions speak for you 125
your actions when you are 120
your allies from going too 128
your allies into war and 83
your amiable young man can 195
your answer when you are 55
your assets when you die 126
your behalf when you are 106
your bowels torn out and 76
your brains will not get 58
your bright beams doth not 57
your brother been with you 89
your brother here was dead 125
your brother know that you 61
your brother like this out 58
your brother live with you 77
your brother more than you 68
your brother says that you 48
your brother tell you how 98
your brother tell you that 47
your brother told you that 101
your brother when you are 48
your brother whom you see 59
your brother will not hear 46
your butler ever ask you 75
your career when you are 78
your career when you can 48
your cattle also and for 87
your chance like any man 133
your chance when you get 59
your choice when you are 46
your client know that you 116
your clothes when they are 85
your clothes when you are 103
your clothes when you get 89
your clothes will not get 56
your coffee when you can 96
your coward heart can not 65
your credit card and ask 137
your credit card and our 496
your credit card and pay 197
your credit card and then 50
your credit card and you 87
your credit card does not 100
your credit card that you 62
your credit card with you 49
your deeper self for his 52
your doctor gave you for 238
your doctor know that you 259
your doctor know you are 72
your doctor says that you 125
your doctor says you are 129
your doctor says you can 143
your doctor says you may 66
your doctor tell you that 174
your doctor told you that 803
your doctor what you are 100
your doctor what you can 94
your doctor when you are 115
your doctor when you can 100
your doctor when you get 50
your doctor will ask you 374
your doctor will let you 80
your doctor will put you 40
your domain name for you 103
your duties when you are 91
your elbows when you are 48
your elders when you get 79
your elders will see that 233
your entire body and then 43
your entire life and that 47
your entire life and you 70
your entire life that you 63
your estate bare and low 165
your estate when you die 468
your family along with you 60
your family ever had any 110
your family here with you 62
your family know how you 65
your family know that you 329
your family know you are 114
your family live with you 63
your family living with you 116
your family more than you 77
your family there are two 54
your family what you are 61
your family when they are 57
your family when they had 50
your family when you are 256
your family when you die 95
your family when you get 109
your family will let you 45
your family will not get 69
your faults when you are 76
your feeble arms and weak 250
your feelings once for all 51
your feelings when you are 312
your feelings when you hear 78
your feelings when you read 66
your feelings when you saw 56
your feelings when you see 96
your flight when you are 98
your forged note one day 44
your friend along with you 45
your friend asks you for 43
your friend here has not 73
your friend know that you 351
your friend more than you 45
your friend tell you that 117
your friend told you that 209
your friend what you are 58
your friend what you hear 63
your friend when you are 175
your friend when you see 52
your ground till that was 76
your ground when things are 53
your ground when you are 47
your guests know that you 59
your guests leave you with 50
your guests take him for 132
your horses know who they 79
your horses when you are 41
your income from each area 43
your lawyer will ask you 45
your letter saying that you 217
your letter saying you are 46
your letter saying you had 65
your letter show her that 75
your letter stay for that 84
your letter when you say 45
your liquid rims and wet 287
your litter home with you 50
your little anne being put 61
your little boys with you 122
your little finger and you 56
your little finger than all 48
your little girl and you 47
your little girl does not 56
your little girl with you 121
your little hour and are 50
your little navy can now 135
your little ones and for 79
your little ones with you 47
your mangled body and long 56
your memory when you are 142
your memory when you get 54
your monthly high and low 124
your mortal body that you 233
your motions when they are 42
your office when you are 72
your office when you get 40
your opinion more than any 41
your opinion more than that 99
your opinion when you say 47
your palace just now with 49
your passion will not let 53
your pistol ready for him 42
your pocket when you are 140
your pocket when you get 47
your pocket when you hear 55
your policy will pay for 100
your profit when you buy 50
your public duty and yet 49
your reaction when you are 44
your reaction when you hear 57
your reaction when you read 76
your reaction when you saw 101
your reaction when you see 89
your readers know that you 112
your readers what you are 89
your readers what you mean 51
your readers will not see 45
your resume when you are 53
your rights when you are 65
your sacred word that you 42
your scales swinging and can 115
your screen when you are 115
your senses tell you that 196
your sighting iron and see 46
your simple ways and you 65
your sister know that you 56
your sister more than you 55
your sister tell you that 89
your sister told you that 43
your sister when she was 101
your solemn word that you 265
your speech when you are 58
your spirit when you are 52
your spirit will not let 43
your spouse know that you 235
your spouse know you are 48
your spouse when you are 109
your spouse when you die 96
your strength what you all 66
your strength when you are 69
your stupid heads that you 43
your system once and for 134
your system when you are 90
your system when you run 65
your teacher know that you 80
your teacher reads this poem 141
your teacher tell you that 52
your teacher told you that 193
your teacher when you are 62
your teacher will ask you 270
your teacher will let you 259
your teacher will read you 44
your temper when you are 119
your thought from this way 119
your tongues till you are 54
your troops were few and 47
your uncles have this day 75
your vermin along with you 46
your voices tell you that 74
your voices told you that 70
your weight from one leg 244
your weight from one ski 62
your weight onto one leg 52
your weight when you are 41
your wisdom been this day 217
your wishes when you are 67
youth looked once for his 140
youth passed away and her 60
