yak and the common cow 45
year ago it seemed that 112
year and it appears that 121
year and it seemed that 117
year and the amount due 63
year and the amount that 161
year and the budget for 80
year and the budget year 129
year and the building was 54
year and the county for 42
year and the demand for 144
year and the fiscal year 407
year and the income tax 128
year and the latter for 107
year and the number and 43
year and the number who 137
year and the poorer man 67
year and the public was 47
year and the reasons for 155
year and the result was 73
year and the school day 138
year and the second and 50
year and the second year 395
year and the seventh year 61
year and the target year 176
year and to ensure that 141
year each of biology and 48
year end of second year 61
year for the entire year 66
year for the estate can 41
year for the fiscal year 134
year for the former and 66
year for the middle east 43
year for the plague with 43
year for the second and 86
year for the second year 311
year goes by without any 48
year goes by without one 129
year may be better than 81
year may be greater than 94
year may be higher than 48
year off to travel and 54
year old is better than 54
year out of school and 103
year that he raised for 294
year that is greater than 129
year that the building was 57
year that the choice was 71
year that the church was 88
year that the matter was 47
year that the school was 93
year that the survey was 65
year that the system was 47
year was an exciting one 64
year was as bright and 46
year was no greater than 58
year was the second year 57
year was the signal for 65
year with the boston red 47
year with the number one 133
year with the result that 1528
yen for the fiscal year 135
yet all it needed was 45
yet apt to kindle with 56
yet are of greater use 55
yet are of opinion that 91
yet both the priest and 42
yet did he realize that 60
yet did we esteem him 41
yet does it follow that 46
yet each is loaded with 60
yet few in number and 102
yet for the moment she 72
yet for the moment they 73
yet got no farther than 57
yet got no further than 81
yet had no choice but 77
yet how it offset that 50
yet let me assure you 64
yet let me entreat you 44
yet let me lament with 41
yet let me remind you 40
yet may no mortal man 79
yet met the public eye 66
yet not be cramming him 58
yet not go through this 166
yet not so remote but 139
yet not so remote that 94
yet not so softly but 45
yet not to employ any 117
yet not to resent them 122
yet now it seemed that 163
yet out of fashion with 41
yet out of regard for 116
yet that he should not 265
yet that is better than 41
yet that it should not 241
yet that the measure was 48
yet that the nature and 92
yet that we should not 80
yet this in itself was 127
yet this is better than 55
yet this is clearly not 169
yet this is something that 228
yet this of virtue they 73
yet was it lawful for 80
yet was of opinion that 108
yet was the better for 66
yet was to escape being 67
yet who is greater than 52
yet with an energy that 100
yet with an excuse that 88
yet with the belief that 86
yet with the fewest men 69
yet with the result that 116
yet with the strength and 44
you act in accord with 100
you add or delete any 91
you add or remove any 45
you all my reasons for 157
you all the advice and 110
you all the advice that 56
you all the advice you 145
you all the basics you 66
you all the better for 1618
you all the better that 131
you all the clothes you 114
you all the credit for 157
you all the credit that 50
you all the credit you 146
you all the energy you 59
you all the esteem that 43
you all the fighting you 92
you all the honors that 87
you all the little things 92
you all the lovely things 44
you all the options you 114
you all the papers and 42
you all the papers that 60
you all the places you 49
you all the points you 43
you all the praise and 63
you all the pretty things 104
you all the proofs you 60
you all the reasons for 102
you all the reasons that 114
you all the reasons why 442
you all the reasons you 96
you all the riches you 47
you all the rights and 249
you all the skills you 87
you all the strength and 109
you all the strength you 156
you all the tongues and 40
you all the tricks and 48
you all the wonder and 55
you all to answer this 158
you all to beware how 57
you all to follow him 66
you all to myself and 124
you all to myself for 786
you all to myself now 47
you all to myself this 158
you all to pieces with 68
you all to realize that 251
you and do something for 43
you and he forget that 53
you and he should not 87
you and in return you 80
you and it should not 42
you and me except that 85
you and me should not 69
you and my brother and 78
you and my brother are 183
you and my brother had 41
you and my cousin are 42
you and my desire for 44
you and my family and 52
you and my little boy 43
you and my master and 53
you and my sister all 62
you and my sister and 103
you and my sister are 105
you and my sister for 58
you and no matter how 171
you and of course you 93
you and the artful for 46
you and the babies are 74
you and the better for 41
you and the breasts that 1064
you and the breasts you 86
you and the client and 113
you and the client are 557
you and the client can 405
you and the client may 117
you and the client that 54
you and the doctor and 80
you and the doctor are 234
you and the doctor can 94
you and the doctor had 43
you and the doctor may 50
you and the editor are 45
you and the elders are 41
you and the english are 326
you and the entire team 42
you and the family and 156
you and the family are 457
you and the family can 172
you and the family for 94
you and the family that 121
you and the friend you 48
you and the halter may 56
you and the ladies and 43
you and the little boy 189
you and the little guy 49
you and the little one 1305
you and the master are 44
you and the missus are 42
you and the object you 65
you and the person being 119
you and the person for 64
you and the person who 707
you and the person with 442
you and the person you 2278
you and the player are 98
you and the police are 107
you and the public are 67
you and the public that 209
you and the public with 52
you and the rector are 58
you and the school are 101
you and the school can 74
you and the seller are 233
you and the seller can 225
you and the seller may 115
you and the shapes you 126
you and the sooner you 56
you and the speaker are 98
you and the teacher are 164
you and the teacher can 166
you and the teacher may 58
you and the vendor are 41
you and the worlds and 53
you and to advise you 108
you and to answer any 65
you and to anyone who 53
you and to arrange for 53
you and to assist you 125
you and to assure you 235
you and to defend you 51
you and to ensure that 175
you and to follow you 90
you and to inform you 147
you and to invite you 80
you and to myself that 231
you and to punish you 42
you and to purify you 88
you and to realize that 41
you and to remind you 108
you and to render you 77
you and to rescue you 41
you and we expect you 64
you and we should say 130
you any the better for 146
you are an active and 107
you are an active man 60
you are an amiable and 65
you are an animal and 107
you are an artist and 541
you are an artist too 67
you are an artist who 153
you are an artist with 67
you are an artist you 197
you are an atheist and 113
you are an atheist you 85
you are an athenian and 85
you are an athlete and 98
you are an athlete who 104
you are an editor and 59
you are an english spy 45
you are an exacting man 54
you are an expert and 259
you are an expert who 41
you are an expert with 179
you are an expert you 62
you are an honest and 382
you are an honest boy 122
you are an honest lad 54
you are an honest man 4683
you are an office boy 47
you are an orphan and 51
you are an undone man 45
you are as honest and 66
you are as pleased with 92
you are at enmity with 159
you are at school and 168
you are at school with 49
you are at school you 82
you are by nature and 90
you are in accord with 455
you are in active way 58
you are in arrears with 57
you are in before you 55
you are in charge and 674
you are in charge now 79
you are in christ and 519
you are in christ you 67
you are in church and 59
you are in earnest and 323
you are in earnest for 41
you are in earnest with 72
you are in earnest you 158
you are in effect doing 71
you are in effect using 75
you are in england and 114
you are in england now 50
you are in england you 77
you are in europe and 45
