years an honored citizen of 73
years as general counsel to 52
years as general manager of 426
years as increasing numbers of 116
years as presiding officer of 48
years as spanish viceroy of 43
years at trinity college in 45
years at williams college in 58
years he allowed himself to 76
years he applied himself to 287
years he applies himself to 50
years he availed himself of 50
years he devoted himself to 3221
years he devotes himself to 54
years he resided chiefly at 87
years he resided chiefly in 40
years in advance because of 47
years in blatant violation of 106
years in certain sections of 48
years in protest against the 66
years is brittle wherein we 110
years is closely related to 165
years of arduous service in 169
years of bickering between the 80
years of british control of 59
years of careful research by 70
years of careful research in 52
years of careful research on 64
years of careful research to 41
years of chinese history in 41
years of college courses in 50
years of contact between the 232
years of crusading against the 40
years of devoted service as 377
years of devoted service at 42
years of devoted service he 51
years of devoted service in 255
years of devoted service to 1639
years of dialogue between the 44
years of dispute between the 100
years of division between the 46
years of european history in 49
years of faithful devotion to 86
years of faithful service as 1052
years of faithful service at 117
years of faithful service by 117
years of faithful service he 306
years of faithful service in 968
years of faithful service is 72
years of faithful service of 60
years of faithful service on 103
years of faithful service the 80
years of faithful service to 1871
years of foreign language in 146
years of foreign service in 44
years of friction between the 76
years of greatest increase in 44
years of history between the 51
years of history covered by 102
years of intense devotion to 65
years of intense research in 45
years of intense research on 48
years of marriage because he 57
years of marriage because of 108
years of medical service in 71
years of medical studies at 56
years of medical studies in 41
years of national service in 137
years of obscure poverty the 98
years of official service in 69
years of patient endeavor to 56
years of patient research by 74
years of patient research in 74
years of patient research on 53
years of patient research to 100
years of previous service in 40
years of primary schooling as 41
years of primary schooling by 83
years of primary schooling in 146
years of primary schooling is 52
years of primary schooling to 40
years of protest against the 123
years of regular service in 61
years of research carried on 43
years of research devoted to 123
years of research focused on 42
years of rivalry between the 107
years of schooling because of 45
years of schooling between the 122
years of service because he 77
years of service because of 113
years of service devoted to 53
years of service divided by 43
years of service subject to 50
years of service together in 49
years of silence between the 87
years of silence between us 78
years of spanish control of 42
years of spanish dominion in 56
years of suffering endured by 47
years of turmoil following the 55
years of warfare against the 444
years of warfare between the 302
years of wartime service in 86
years of western history in 47
years the average duration of 100
years the average increase in 93
years the balance between the 49
years the contest between the 46
years the devoted servant of 49
years the dispute between the 48
years the faithful servant of 66
years the following numbers of 43
years the general manager of 93
years the largest company in 131
years the national council of 76
years the presiding officer of 55
years the primary purpose of 45
years the relation between the 107
years the richest subject in 45
years the rivalry between the 59
years the ugliest features in 60
years to discuss matters of 57
years to perfect himself in 47
yell of pirates against the 45
young of certain species of 66
young of several species of 141
your ear pressed against the 47
youth he applied himself to 152
youth he devoted himself to 223
