yanking feet 67 yanking feet 97
yards more 53 yards been 63
yards away 90 yards wide 83
yards yard 857 yards feet 95
yards wide 49 yards feet 122
yards wide 106 yards feet 81
yards wide 152 yards drew 45
yearning away 51 yearns heart 188
yearns heart 132 yelling were 73
yeoman hand 53 yield been 141
yield lost 49 yours have 63
yours have 111 yours mine 1508
yours ours 103 yours bearing 60
yours ever 315 yours been 42
yours leading 47 yours been 47
youths have 48 youths were 62
youths till 89 youths find 56
youths have 130 youths know 52
youths been 168 youths were 43
