year husband for his daughter 46
year penalty for its possible 100
yet because they all narrowed 47
yet justice hath not suffered 92
yet stately ease and decorous 42
you account for its presence 56
you account for this apparent 141
you account for this attitude 59
you account for this condition 61
you account for this situation 119
you because you are beautiful 281
you because you are handsome 49
you because you are monsieur 49
you because you are pregnant 48
you because you are supposed 48
you believe all that nonsense 63
you believe all this nonsense 105
you believe that all children 58
you believe that all students 59
you believe that god pervades 45
you believe that she actually 53
you believe that this assertion 59
you believe that you yourself 54
you believe you are destined 45
you believe you are eligible 121
you believe you are entitled 352
you believe you are somewhat 58
you believe you are supposed 51
you believe you can continue 64
you between war and security 63
you dropped all that nonsense 55
you educate them and accustom 53
you everything that had happened 41
you everything that has happened 411
you everything you can possibly 58
you explain how this happened 54
you forgive they are forgiven 67
you imagine that any irishman 47
you imagine that this impudent 52
you install any new software 75
you married and had children 106
you proceed with all possible 49
you proceed with all severity 40
you proceed with this exercise 70
you suppose that you yourself 60
you suspect this has happened 41
you suspect you are allergic 52
you suspect you are pregnant 222
you trouble him with needless 68
