year use 168 yet art 41
yet put 139 yet let 110
yet get 73 yet use 80
yet was 70 yet was 173
yet thee 116 yet was 48
yet them 54 yet had 46
yet was 54 yet use 64
yet was 53 yet was 85
yet was 121 you son 90
you two 45 you earl 42
you man 131 you new 84
you real 60 you you 54
you are 65 you was 59
you her 51 you his 44
you two 69 you had 42
you you 80 you all 56
you may 47 you was 96
you one 46 you far 43
you you 58 you use 75
you had 116 you was 185
you was 203 you with 157
you and 109 you for 43
you them 150 you men 85
you any 52 you with 51
you not 54 you not 46
you deal 41 you man 45
you all 61 you being 65
you was 54 you with 58
you its 100 you that 227
you them 55 you this 289
you big 53 you things 65
you not 137 you that 230
you this 387 you not 55
you them 127 you her 149
you mean 319 you say 107
you her 763 you act 60
you all 193 you can 86
you has 46 you was 479
you two 73 you add 69
you deal 137 you get 332
you put 105 you read 407
you set 174 you use 3163
you are 45 you can 41
you them 56 you long 129
you all 90 you this 94
you now 85 you not 54
you can 85 you does 55
you had 51 you has 127
you was 157 you she 40
you they 42 you this 50
you you 1144 you all 59
you our 53 you this 134
you not 63 you can 85
you does 109 you has 117
you may 124 you was 621
you one 380 you not 129
you law 121 you man 98
you one 62 you real 57
you two 41 you way 53
you mean 265 you all 67
you are 914 you can 304
you not 200 you mean 58
you all 75 you not 126
you not 75 you mean 140
you are 62 you did 110
you does 47 you has 41
you was 40 you has 82
you was 209 you are 175
you can 146 you did 60
you had 65 you not 96
you this 45 you was 42
you was 86 you was 207
you job 41 you put 115
