years after infection with hiv 118
years since washington had met 72
years which followed his death 240
years which followed she was 83
years which followed this day 107
years which preceded her death 112
years which preceded his death 95
years would indicate that this 41
young adult children who are 53
young george washington and his 137
young huron prisoner had not 52
young naval officers who had 49
young people believed that they 52
young people complain that they 67
young people discover that they 60
young people indicate that they 55
young people reported that they 217
young queen isabella and her 49
young reader confirms his own 89
young staff officers who had 47
young swiss messenger with him 81
young widow answered him with 69
young woman admitted that she 43
young woman answered that she 40
young woman explains that she 43
young woman followed him out 198
young woman insisted that she 50
young woman pregnant with her 67
young woman reported that her 49
young woman reported that she 90
young women reported that they 153
your blood pressure and that 40
your blood pressure and you 48
your blood pressure does not 212
your blood pressure has not 53
your blood pressure was too 195
your brave officers and men 40
your child probably does not 52
your daily relations with each 65
your failing eyesight does not 55
your father discover that you 83
your father murdered was one 87
your father proposed for her 52
your father proposes that his 45
your first attempts are not 78
your guard wherever you hear 107
your horny hormones and yet 95
your horny hormones did not 91
your knees straight but not 75
your lives overflow with joy 73
your local bookshop and are 323
your local hospital and ask 180
your mother mentioned that you 45
your mural explaining how you 49
your right shoulder and arm 183
your right shoulder and then 74
your right shoulder and you 72
your royal goodness can not 60
your royal highness and his 54
your royal highness can not 105
your royal highness did not 48
your royal highness does not 234
your royal highness for not 40
your royal highness has not 178
your royal highness has too 55
your royal highness may long 176
your royal highness may not 52
your royal highness that this 80
your royal highness that you 95
your shawl straight for you 69
your state requires that you 41
your story explains why she 41
your total deduction for all 46
your undying affection for her 163
