yard were several old women 41
years next following his first 57
years these friends had mingled 40
years three hundred and fifty 44
years were peaceful and happy 43
young girl against his cheek 61
young girl clapped her hands 46
young lady adorned with every 86
young lady clapped her hands 43
young lady endowed with every 57
young lady herself had never 55
young lady perhaps they would 40
young lady repeated her order 67
young wife expecting her first 83
your body language and facial 205
your body language and voice 280
your down payment and closing 206
your ever complying with every 61
your evil thoughts and deeds 46
your feet together and either 63
your feet together and hands 69
your feet together and knees 70
your feet together and place 120
your feet together and stand 46
your fine schemes are melting 90
your firm decided that penny 53
your four hundred and fifty 44
your good careful head about 86
your good example may amend 40
your good fortune with others 143
your great justice that knows 50
your great motives and chief 176
your heart flooded with light 98
your heart forgive not every 59
your home address and phone 801
your lamp trimmed and burning 187
your legs against his sides 42
your mind perhaps may change 151
your most dutiful and loyal 57
your poor dressed with grace 43
your poor visitor and guest 47
your site quickly and easily 51
your three hundred and fifty 46
your three hundred and sixty 62
your very remorse that makes 51
your work quickly and easily 69
your work surface and place 134
your work surface with flour 106
youth making fertile its sandy 67
