yard by yard might well 72
yard in high water from 42
yard or other place during 97
yarn in your right hand 101
years as some others will 40
years as will repay such 48
years at hard labor plus 52
years at least above their 56
years at least would have 51
years at west point were 114
years he also found time 45
years he kept aloof from 53
years he kept pouring forth 46
years he must often have 51
years he will amend these 44
years he will change into 45
years in deep water were 54
years of early adult life 46
years of hard labor were 93
years of left front rule 118
years of life could have 88
years of life might have 66
years of life still ahead 61
years of life still left 98
years of life which have 94
years of life which were 165
years of life would have 98
years of living apart from 45
years of peace might have 42
years of peace which have 139
years of peace which were 83
years of peace would have 121
years of peace would make 43
years of single party rule 139
years of their adult life 196
years of their entry into 102
years of their exile from 92
years of their exile were 46
years of their happy union 47
years of their joint rule 46
years of their lives among 70
years of their lives away 41
years of their lives from 57
years of their lives have 216
years of their lives here 64
years of their lives into 114
years of their lives just 42
years of their lives living 77
years of their lives making 190
years of their lives there 419
years of their lives trying 193
years of their lives were 440
years of their lives when 165
years of their lives will 130
years of their reign from 49
years of their working life 366
years of toil which have 72
years of trial which left 63
years of what might have 41
years of work which have 41
years of work would have 115
years of your adult life 92
years of your working life 128
years or even fifty years 188
years or more after birth 61
years or more after their 397
years or more below their 64
years or more later when 70
years or more which have 99
years or more would have 130
years or over shall have 59
years or such later time 52
years or three lives from 94
years so many people have 83
years the city would have 89
years the four first acts 71
years the mark twain club 70
years the rich rocks have 72
years the south would have 48
years the wild beasts kill 59
years the young bride sent 43
years to come china will 58
years to come could have 63
years to come might have 48
years to come people will 271
years to come which will 45
years to come would give 54
years to come would have 235
years to come would make 78
years to come would show 40
years to reach adult size 79
years to think about what 187
years we have grown from 49
years we have lived here 278
years we have moved away 53
years we have moved from 314
years we have never been 82
years we have never seen 48
years we have often been 45
years we have often heard 45
years we have often seen 44
years we have spent here 78
years we have spent more 53
yell of rage broke from 60
yell of rage burst from 41
yoke of oxen could plow 173
yoke of oxen might plow 66
young as miss nancy here 111
young to have grown into 62
young to have known much 109
young to have known what 102
young to have taken part 395
young to know about love 58
young to know about such 430
young to know about these 79
young to know right from 110
young to think about such 255
youth as eyes could wish 49
youth in your sight only 79
youth of reading every word 49
youth of these times into 75
youth or early adult life 256
