years in western history there 107
years of british colonial rule 1008
years of careful research into 45
years of chinese history have 44
years of european colonial rule 68
years of european history from 43
years of european history have 83
years of faithful service have 59
years of faithful service were 67
years of general college work 131
years of happily married life 177
years of ottoman turkish rule 58
years of primary schooling were 60
years of regular college work 84
years of spanish colonial rule 1003
years of unhappy married life 93
years the revenue derived from 51
years the unhealthy surfeit brings 57
years to several hundred years 70
years to several thousand years 59
youth of catholic neutral tint 67
