yard peg she faced round 148
years ago and about which 50
years ago and again about 64
years ago and again today 85
years ago and ended about 851
years ago and lasting until 124
years ago and named after 74
years ago and never again 64
years ago and still lives 59
years ago and which still 132
years ago and which today 50
years ago are still alive 149
years ago are still fresh 57
years ago are still valid 156
years ago did nathan swain 66
years ago few people could 41
years ago few people would 90
years ago has given place 83
years ago one could count 47
years ago one could still 134
years ago she would never 79
years ago sir henry maine 54
years ago that house stood 48
years ago that people began 75
years ago that people would 62
years ago they would never 81
years ago this scene would 69
years ago was still alive 76
years ago you could count 70
years ago you could still 107
years ago you would never 134
years and are still alive 49
years and are still changing 56
years and are still growing 49
years and had grown quite 41
years and had never found 68
years and had never known 172
years and had never really 52
years and had never taken 71
years and its scrap value 47
years and not worry about 49
years and odd months since 69
years and one child later 58
years and six months after 1607
years and six months later 206
years and six months longer 46
years and six months older 73
years and six months since 191
years and ten months after 594
years and ten months later 138
years and ten months longer 55
years and ten months older 72
years and ten months since 53
years and two months after 1365
years and two months later 907
years and two months older 154
years and two months since 258
years and two months until 43
years and two months which 54
years and two weeks after 102
years and was still alive 56
years but had never found 64
years but had never really 79
years did they spend under 53
years for any given entry 45
years had not taken place 54
years has not taken place 65
years old and could easily 62
years old and could still 63
years old and eight months 79
years old and falling apart 42
years old and fully grown 111
years old and lived alone 133
years old and lives alone 230
years old and nearly blind 201
years old and seven months 106
years old and showing signs 53
years old and still alive 94
years old and still growing 183
years old and still learning 45
years old and still lived 77
years old and still lives 125
years old and still looking 42
years old and still looks 40
years old and still playing 100
years old and still quite 59
years old and still running 92
years old and still under 46
years old and still working 268
years old and still works 44
years old and thinking about 45
years old and would never 51
years old are often quite 50
years old her father began 42
years old his father began 66
years old his father moved 493
years old that could write 133
years she had dwelt under 58
years she had lived alone 315
years she had lived under 84
years she had never found 153
years she had never known 98
years she had spent working 51
years than had taken place 60
years than she could count 144
years that she could never 40
years that she lived after 80
years that she would never 54
years that they could never 40
years that they might spend 86
years that they would never 62
years they had grown apart 48
years they had lived apart 95
years they had lived under 113
years they had never known 45
years they had spent apart 109
years they had waxed tired 52
yolk sac and fetal liver 450
young and not fully grown 46
young and old alike could 50
young and old alike would 194
young and old people alike 493
young and old people would 50
young and old women alike 147
young and old would dress 47
young and old would gather 44
young and too happy either 50
young fry that gather about 44
young lad with rough brown 84
young man and older woman 54
young man and woman about 55
young man and woman could 76
young man and woman holding 44
young man and woman marry 41
young man and woman might 63
young man and woman seated 52
young man and woman sitting 127
young man and woman stand 41
young man and woman stood 72
young man and woman walking 65
young man and woman whose 72
young man and woman would 171
young man can carry about 86
young man had never liked 81
young man his father would 51
young man may light fires 65
young man not quite thirty 43
young man one morning stood 184
young man was fully aware 42
young man was never tired 40
young man was quite willing 51
young man was still alive 122
young man was still holding 47
young man was still looking 55
young man was still sitting 49
young man was still talking 48
young man was taken aback 177
young man was talking about 195
young man was thinking about 52
young man who asked about 40
young man who asked jesus 125
young man who could carry 50
young man who could easily 106
young man who could fancy 81
young man who could never 100
young man who could serve 46
young man who could write 223
young man who draws nearer 45
young man who knows where 47
young man who lived alone 84
young man who lived nearby 116
young man who looks after 65
young man who loved music 101
young man who makes dowry 90
young man who never drank 44
young man who never loses 40
young man who spoke about 40
young man who still stood 49
young man who stood alone 47
young man who stood waiting 63
young man who would later 238
young man who would marry 70
young man who would never 213
young man who would rather 100
young man who would serve 51
young man who would write 98
young man who wrote poetry 86
young man with black curly 169
young man with curly black 256
young man with curly blond 168
young man with curly brown 169
young man with healthy blood 72
young man with light brown 224
young man with short black 52
young man with short blond 63
young man with short brown 60
young man with short curly 49
young man with slick black 46
young man with white hands 67
young men and girls could 42
young men and girls dance 66
young men and girls dancing 68
young men and girls walking 41
young men and girls would 85
young men and older women 206
young men and seven girls 50
young men and women about 603
young men and women above 164
young men and women after 187
young men and women alike 722
young men and women apart 55
young men and women appear 92
young men and women began 471
young men and women begin 245
young men and women belong 46
young men and women below 83
young men and women broke 44
young men and women burst 40
young men and women chose 75
young men and women comes 48
young men and women could 1507
