yard for other matters of 90
years ago from nowhere in 59
years ago gave promise of 66
years ago great numbers of 53
years ago some friends of 92
years ago some members of 89
years ago some millions of 50
years ago there appeared an 154
years ago there appeared at 85
years ago there appeared in 923
years ago there appeared on 104
years ago there appeared the 104
years ago there appeared to 54
years ago there arrived in 83
years ago there existed an 44
years ago there existed in 222
years ago there resided in 72
years ago were capable of 60
years ago were limited to 42
years ago were similar to 59
years ago when members of 75
years and also because of 107
years and also because the 50
years and cost billions of 73
years and cost millions of 317
years and even decades in 111
years and even decades of 255
years and even decades to 175
years and have arrived at 48
years and have decided to 48
years and have enjoyed the 42
years and have managed to 105
years and have resided in 57
years and look forward to 167
years and many billions of 102
years and many millions of 405
years and more between the 97
years and more following the 74
years and over according to 68
years and over related to 82
years and their ability to 43
years and their effects on 56
years and their relation to 47
years and vast amounts of 43
years and were allowed to 47
years and were beginning to 87
years and were brought to 45
years and were married in 61
years and were members of 48
years and were subject to 99
years and will involve the 43
years and years because of 58
years are also subject to 53
years are just beginning to 85
years are more subject to 40
years are only beginning to 61
years are there between the 46
years are very similar to 61
years but also because of 80
years can pass between the 65
years does nothing against it 53
years for their ability to 60
years had been accused of 50
years had been agitating the 42
years had been allowed to 380
years had been applied to 43
years had been brought to 112
years had been brought up 135
years had been capable of 42
years had been carried on 614
years had been closest to 71
years had been clouded by 134
years had been content to 68
years had been devoted to 1293
years had been exposed to 156
years had been familiar to 62
years had been focused on 44
years had been granted to 128
years had been happier to 60
years had been haunted by 59
years had been hostile to 49
years had been limited to 116
years had been manager of 56
years had been married to 74
years had been members of 70
years had been obliged to 123
years had been opposed to 45
years had been plagued by 56
years had been preparing the 53
years had been present to 40
years had been reduced to 234
years had been settled in 69
years had been steeped in 52
years had been subject to 453
years had been trained in 47
years had been visited by 40
years had been written in 53
years had done everything in 46
years had made himself the 44
years had male members of 50
years has been adopted by 141
years has been adopted in 60
years has been against the 52
years has been allowed to 157
years has been applied to 160
years has been assumed to 40
years has been because of 60
years has been between the 76
years has been brought to 175
years has been carried on 756
years has been chiefly in 54
years has been devoted to 1846
years has been exposed to 141
years has been focused on 574
years has been founded on 56
years has been granted to 56
years has been hobbled by 506
years has been increasing at 73
years has been increasing in 52
years has been largely in 98
years has been largely the 84
years has been limited by 41
years has been limited to 180
years has been located at 67
years has been located in 83
years has been manager of 131
years has been matched by 120
years has been obliged to 85
years has been opposed to 89
years has been perhaps the 52
years has been plagued by 64
years has been reduced by 90
years has been reduced to 242
years has been related to 189
years has been repelling the 45
years has been similar to 81
years has been studied by 71
years has been studied in 69
years has been subject to 426
years has been towards an 50
years has been towards the 286
years has been written by 94
years has been written in 65
years long ever floated in 56
years may have reduced the 53
years may pass between the 283
years not only because of 250
years old coming towards us 76
years old were allowed to 118
years old were invited to 54
years old when brought by 72
years old when brought to 353
years old when charles ii 51
years old when elected to 122
years old will increase by 58
