year above ground with her 46
year after martial law was 55
year period before his death 163
year shall become due and 43
year would supply them with 354
yet again bursting with joy 328
yet ceased before that was 57
yet doubt whether any one 67
yet either nature and our 69
yet every member has its 56
yet every person who has 46
yet fully worked out and 48
yet fully worked out his 43
yet known whether they are 199
yet light enough for him 48
yet might choose our way 52
yet never before had she 64
yet never changes his own 91
yet prove better than they 40
yet quite enough for all 58
yet region enough for all 48
yet selling myself for any 74
yet still remain with him 87
yet still thought him too 56
yet strong enough for that 79
yet strong enough for them 41
yet strong enough for this 58
yet writing enough for two 91
you about something and you 53
you about something that has 326
you about something that may 61
you about something that was 80
you about something that you 115
you about something you did 62
you about whether you are 41
you again before too long 136
you again before you are 88
you anything better than that 142
you anything better than this 62
you begin anyway and you 91
you begin broiling things for 274
you begin drinking you are 91
you carry around with you 1129
you change places with any 47
you change places with him 53
you could almost hear her 140
you could almost hear him 313
you could almost hear his 159
you could almost hear them 418
you could almost say she 51
you could almost say that 922
you could almost say they 69
you could almost see and 45
you could almost see her 289
you could almost see him 335
you could almost see his 257
you could almost see that 248
you could almost see them 263
you could always ask for 40
you could always get them 53
you could always hear him 67
you could always hear them 47
you could always say that 173
you could always say you 63
you could always see him 52
you could always see that 182
you could always see them 43
you could answer that one 46
you could arrange for her 62
you could arrange for him 76
you could arrange for them 59
you could arrange that for 51
you could assume that you 49
you could barely hear her 48
you could barely hear him 158
you could barely hear them 47
you could barely see her 77
you could barely see him 85
you could barely see his 81
you could barely see out 50
you could barely see them 153
you could choose any job 66
you could choose any one 69
you could clearly see that 217
you could decide that you 163
you could expect that our 80
you could figure out how 595
you could figure out that 249
you could figure out who 112
you could figure out why 48
you could figure that out 361
you could figure them out 89
you could forget that you 93
you could handle this job 59
you could hardly act for 42
you could hardly ask for 108
you could hardly get him 84
you could hardly get near 40
you could hardly get out 100
you could hardly hear her 172
you could hardly hear him 291
you could hardly hear them 99
you could hardly put too 43
you could hardly say she 43
you could hardly say that 324
you could hardly say they 41
you could hardly see any 127
you could hardly see for 42
you could hardly see her 217
you could hardly see him 237
you could hardly see his 266
you could hardly see out 130
you could hardly see that 89
you could hardly see them 654
you could manage all that 141
you could mention that you 56
you could neither read nor 61
you could neither see nor 153
you could obtain but six 92
you could realize that you 44
you could remind him that 48
you could safely say that 324
you could scrape them off 42
you could simply say that 132
you covet something and can 58
you doubt whether they are 70
you doubt whether you are 128
you doubt whether you can 159
you drive nature out with 50
you every chance they get 205
you every excuse for thus 194
you every minute you are 68
you every moment that you 59
you feeling better than you 57
you first decide that you 70
you first learned that you 61
you first notice that you 127
you first realize that you 545
you first realize you had 61
you found someone who was 52
you found something that you 52
you fully realize that you 110
you gonna realize that them 97
you happy unless they can 49
you judge whether you are 61
you known anyone who has 92
you known anyone who was 55
you later decide that this 42
you later decide that you 608
you later realize that you 79
you later wished you had 56
you marry someone who has 70
you messing around with that 47
you might almost say her 48
you might almost say his 134
you might almost say she 46
you might almost say that 942
you might almost say they 46
you might answer that you 41
you might assume that all 93
you might assume that she 45
you might assume that they 155
you might assume that this 135
you might assume that you 325
you might decide that all 92
you might decide that one 152
you might decide that this 84
you might decide that you 1395
you might expect that they 114
you might expect that this 75
you might expect that you 101
you might fairly say that 92
you might figure out how 60
you might figure out that 100
you might forget that you 118
you might indeed say that 49
you might inform him that 40
you might inform them that 101
you might justly say you 55
you might mention that you 138
you might notice how one 79
you might notice that all 58
you might notice that now 106
you might notice that one 180
you might notice that they 102
you might notice that this 117
you might notice that you 325
you might praise god that 57
you might realize that you 375
you might recall that you 58
you might regret that you 47
you might remind her that 64
you might remind him that 275
you might remind them that 199
you might simply say that 89
you might wonder how that 40
you might wonder how they 56
you might wonder how this 93
you might wonder how you 232
you might wonder why any 42
you might wonder why they 103
you might wonder why this 98
you might wonder why you 667
you money without you ask 46
you never dreamed that you 52
you never dreamed you had 112
you never forget that you 121
you never strike any one 45
you never thanked him for 75
you never thought that you 199
you never thought you had 305
you never wished that you 69
you often blamed for things 116
you often enough that you 66
you often regret things you 126
you people realize that you 40
you quite enough for one 47
you quite simply that you 53
you really expect that you 97
you really should get out 172
you really should not ask 46
you really should not buy 52
you really should not get 65
you really should not let 140
you really should not put 63
you really should not say 111
you really should not try 109
you really should not use 151
you really should not wear 63
you really should read this 44
you really thought that you 52
you really thought this out 43
you really wanted was for 41
you really wanted was not 41
you running around with that 48
you shall answer for this 286
you shall bereave them both 42
you shall escape and not 49
you shall indeed see but 256
you shall retain they are 212
you shall seldom see them 58
you shall suffer all that 87
you shall suffer for this 191
you shall vainly ask for 118
you spend studying each day 75
you stand before god and 101
you start realizing that you 57
you start something you can 50
you still insist that this 45
you still insist that you 200
you still sleeping with her 43
you strong enough for that 60
you strong enough for this 67
you touch assail you with 54
you until another year had 50
you which nature hath not 61
you which settle all that 68
you would answer that you 51
you would arrange for this 64
you would assume that all 64
you would assume that they 72
you would assume that this 41
you would assume that you 49
you would assure him that 94
you would behold him now 70
you would burden him with 41
you would charge them with 41
you would choose and why 182
you would choose for each 59
you would choose for her 121
you would decide that you 55
you would expect for any 42
you would expect for each 114
you would expect for this 83
you would expect that all 41
you would expect that they 109
you would expect that this 72
you would expect that you 50
you would expect with any 51
you would figure out how 62
you would figure out that 43
you would figure that out 102
you would forget all that 108
you would forget that you 50
you would handle each one 41
you would hardly hear any 51
you would hardly say that 215
you would indeed say that 142
you would insist for any 48
you would notice that each 50
you would notice that she 48
you would notice that they 127
you would notice that this 48
you would notice that you 72
you would permit any man 40
you would prefer and why 56
you would prefer that all 53
you would prefer that she 53
you would prefer that they 156
you would prefer that this 40
you would realize that all 48
you would realize that she 51
you would realize that they 95
you would realize that this 158
you would realize that you 461
you would resent that you 122
you would return one day 47
you would shield this man 142
you would simply say that 40
you would sooner die than 50
you would surely say that 218
you would wonder how they 77
you would wonder how you 53
you would wonder why they 91
you would wonder why you 55
you write better than you 65
you write faster than any 40
you write something and you 48
you write something that you 56
