macadam for roads and 104
machine age which has 59
machine age which was 40
machine and asked for 56
machine and asked her 74
machine and asked him 87
machine and carry out 80
machine and check that 115
machine and comes out 266
machine and could not 372
machine and dryer and 94
machine and dryer are 167
machine and finds that 54
machine and found that 533
machine and headed for 137
machine and hence not 40
machine and human being 101
machine and mixed with 59
machine and power age 182
machine and sending out 78
machine and shook his 50
machine and tools are 48
machine and waiting for 65
machine and waits for 66
machine and which are 107
machine and which can 89
machine and would not 325
machine and yells out 64
machine are still not 65
machine are turning out 61
machine but could not 260
machine can carry out 405
machine can print out 45
machine day after day 300
machine for bending and 71
machine for breaking and 45
machine for cleaning and 133
machine for creating and 251
machine for cutting and 600
machine for cutting hay 52
machine for cutting ice 43
machine for cutting off 232
machine for cutting out 119
machine for cutting thin 67
machine for forcing one 50
machine for lifting and 92
machine for longer than 59
machine for nearly two 42
machine for opening and 51
machine for people who 57
machine for planing and 41
machine for raising and 111
machine for robbing and 91
machine for sending and 47
machine for setting and 45
machine for shaping and 49
machine for sorting and 59
machine for storing and 70
machine for turning and 88
machine for turning gun 45
machine for turning out 563
machine for washing and 55
machine for which they 322
machine for which this 82
machine for which you 172
machine for working out 98
machine got under way 133
machine gun belts and 48
machine gun burst and 50
machine gun could not 327
machine gun crews and 56
machine gun mount and 55
machine gun mowed them 42
machine gun nests and 2052
machine gun nests had 74
machine gun nests that 260
machine gun nests with 252
machine gun posts and 535
machine gun rather than 181
machine gun squad and 88
machine gun squad was 74
machine gun under his 345
machine gun units and 69
machine gun which had 746
machine gun which has 211
machine gun which they 179
machine gun which was 1117
machine gun would not 232
machine had begun its 49
machine had given him 69
machine had rather got 48
machine had slain its 50
machine had taken its 45
machine had taken off 90
machine has found its 43
machine has shown that 123
machine has taken its 50
machine his father had 62
machine nor imply that 41
machine she could hear 44
machine she could not 91
machine that blows air 40
machine that calls for 52
machine that comes with 59
machine that could add 227
machine that could both 55
machine that could bring 40
machine that could cut 156
machine that could fly 329
machine that could mix 44
machine that could not 612
machine that could put 46
machine that could read 182
machine that could run 150
machine that could see 52
machine that could sew 153
machine that could use 53
machine that gives out 43
machine that gives them 46
machine that gives you 205
machine that helps you 97
machine that human art 41
machine that knows how 45
machine that looks and 54
machine that makes one 105
machine that makes them 109
machine that makes things 96
machine that makes this 42
machine that makes use 77
machine that makes you 67
machine that might not 42
machine that never goes 49
machine that pumps air 42
machine that rolls and 50
machine that sells for 98
machine that sends out 67
machine that spews out 57
machine that spits out 107
machine that takes you 43
machine that talks and 44
machine that tells you 100
machine that turns out 378
machine that winds its 73
machine that works and 44
machine that works for 67
machine that works with 164
machine that would add 91
machine that would both 59
machine that would bring 108
machine that would cut 291
machine that would fit 41
machine that would fly 476
machine that would let 64
machine that would not 709
machine that would put 70
