magic wooden horses like 46
major allied powers were 51
major auction houses have 50
major biliary injury during 107
major career changes during 42
major changes result from 43
major changes through time 62
major cities across north 83
major cities suffer from 64
major design changes were 88
major energy source during 153
major ethical issues facing 64
major factor behind many 44
major factor behind such 61
major factor behind their 146
major factor behind these 102
major factor entering into 43
major factor limiting crop 89
major factor limiting their 124
major family events such 64
major findings emerge from 148
major findings emerging from 127
major german cities were 90
major global issues such 65
major global public health 155
major issues emerge from 67
major issues emerging from 61
major issues raised during 82
major issues raised were 57
major lesson learned from 327
major limiting factor when 53
major monkey wrench into 41
major muscle arises from 165
major muscle groups during 50
major muscle groups from 50
major muscle groups used 98
major muscle groups will 40
major nuclear powers have 196
major nuclear powers were 63
major nuclear powers will 53
major points emerge from 366
major points emerging from 77
major policy changes during 50
major policy changes have 155
major policy changes such 74
major policy changes were 347
major policy changes will 63
major policy issues facing 186
major policy issues from 67
major policy issues have 71
major policy issues such 154
major policy issues were 135
major policy issues will 42
major policy options open 121
major public debate over 114
major public events such 73
major public events were 41
major public issues into 69
major public opinion poll 62
major public policy areas 54
major record labels have 137
major record labels were 100
major retail chains have 50
major retail chains such 49
major rivers draining into 127
major rivers emptying into 72
major sporting events from 86
major sporting events have 48
major sporting events like 215
major sporting events such 567
major sporting events were 151
major sports events like 55
major sports events such 115
major sports events were 40
major sports leagues have 53
major trends emerge from 53
major trends emerging from 42
major united states bank 46
major united states city 318
makes another attack upon 42
makes another person feel 280
makes credit shrink even 87
makes fiscal policy less 42
makes fiscal policy more 49
makes humans unique among 56
makes itself clearly felt 283
makes itself deeply felt 123
makes itself keenly felt 136
makes little demand upon 317
makes little impact upon 63
makes mental disease such 55
makes modern nations what 46
makes opposing forces loom 93
makes public something other 77
males emerging earlier from 41
mangoes reached england from 70
march toward mexico city 408
marks simply another step 83
maybe someone should have 59
meanings should become clear 42
median annual income among 49
median annual income from 71
median family income among 277
median family income data 71
median family income during 100
median family income fell 184
median family income from 278
median family income grew 267
median family income less 92
median family income more 50
median family income only 45
median family income over 166
median family income rose 496
median family income went 45
median family income were 143
median family income when 49
median family income will 107
meeting evenings before anne 61
meeting formed itself into 42
meets hector issues from 68
mercy standing widely open 45
merit special mention here 400
merit special notice here 42
metal cations called type 58
metal object shaped like 52
metal spikes driven into 42
metal stakes driven into 148
meteor blazed scarce four 52
meteor shower occurs when 62
meter indoor swimming pool 55
method became widely used 185
method formed something like 105
method public static void 1510
method relies heavily upon 77
method should depend upon 82
method should return null 54
method should return true 214
method worked fairly well 117
might accept something like 43
might affect family life 44
might affect public health 54
might affect someone else 143
might almost better have 135
might almost expect some 40
might always depend upon 238
might always insist upon 142
might always reckon upon 108
might always remain open 40
might answer something like 87
might attach something like 69
might attain something like 40
might become another tito 48
might become better able 75
might become bogged down 309
might become clearer when 45
might become little more 312
might become locked into 58
might become someone else 86
might become something else 208
might become something like 127
might become something more 522
might become something other 100
might become something very 52
might become vacant during 64
might betray christ unto 62
might better answer their 46
might better devote their 49
might better direct their 67
might better manage their 44
might borrow something from 59
might borrow something worth 75
might choose someone else 119
might choose something else 154
might choose something like 73
might christ become like 105
might cruise twenty years 47
might decide whether their 126
might decide whether there 70
might demand something more 242
might derive profit from 98
might derive strength from 119
might detach itself from 111
might differ greatly from 527
might differ little from 107
might differ widely from 322
might divide itself into 67
might elapse before such 270
might elapse before their 43
might elapse before there 68
might elapse before these 40
might escape notice even 44
might escape notice from 49
might esteem itself rich 52
might excite regret when 44
might excuse myself from 53
might exempt england from 84
might expect something from 79
might expect something like 651
might expect something more 276
might expect something very 56
might fairly enough have 149
might fairly expect from 138
might fairly reckon upon 65
might farther extend their 62
might freely choose their 59
might further reduce their 55
might gladly travel three 63
