macerating four ounces of 53
machined from blocks of 48
machines best suited to 109
machines duly draped in 109
machines ever created by 42
machines fast enough to 68
machines have access to 104
machines have become an 111
machines have become so 439
machines have become the 202
machines have changed the 115
machines have failed to 71
machines have helped to 77
machines have learned to 46
machines have opened up 58
machines have proved to 126
machines have proven to 78
machines have reached the 48
machines have tended to 138
machines having output of 119
machines just inside the 44
machines left behind by 52
machines most likely to 48
machines must always be 143
machines vary greatly in 115
machines vary widely in 94
machines well enough to 46
machines were already in 234
machines were appearing in 51
machines were bought by 103
machines were bought in 72
machines were broken or 45
machines were broken up 58
machines were common in 85
machines were created to 60
machines were driven by 659
machines were engaged in 97
machines were forced to 122
machines were hooked up 47
machines were housed in 118
machines were likely to 113
machines were linked to 57
machines were manned by 59
machines were needed in 42
machines were needed to 233
machines were placed at 51
machines were placed in 1122
machines were placed on 289
machines were priced at 43
machines were pulled by 50
machines were seized by 44
machines were starting to 57
machines were tended by 73
machines were tested by 45
machines were tested in 53
machines were thought of 42
machines were thought to 49
machines were turned by 71
machines were turned on 179
machines were unable to 200
machines were unheard of 60
machines were valued at 48
machines were worked at 60
machines were worked by 354
machines will always be 165
machines will become as 47
machines will become the 79
machines will depend on 207
machines will divide the 54
machines will enable the 48
machines will enable us 43
machines will permit the 43
machines will reduce the 116
machines will remain in 52
machines will result in 151
mackerel were caught in 44
magazine just before the 104
magazine most likely to 41
magazine once called the 75
magazine rack beside the 91
magazine reading habits of 108
magazine took notice of 40
magazine will always be 152
magicians ever dreamed of 50
magicians were turned to 61
magicians were unable to 207
magnates were engaged in 44
magnates were forced to 79
magnates were likely to 43
magnates were unable to 45
magnetic axes pointing in 47
magnetic bearing should be 41
magnetic coil around the 52
magnetic core inside the 47
magnetic core memory in 106
magnetic core memory is 173
magnetic core memory of 128
magnetic core memory to 43
magnetic disk instead of 43
magnetic flow through the 50
magnetic flux across an 88
magnetic flux across the 912
magnetic flux around it 58
magnetic flux around the 421
magnetic flux begins to 122
magnetic flux behind the 42
magnetic flux caused by 297
magnetic flux causes the 54
magnetic flux changes in 81
magnetic flux created by 259
magnetic flux created in 50
magnetic flux crossing the 213
magnetic flux entering the 193
magnetic flux enters the 132
magnetic flux exists in 93
magnetic flux inside the 594
magnetic flux linked by 228
magnetic flux normal to 65
magnetic flux should be 111
magnetic flux through an 333
magnetic flux through it 935
magnetic flux through the 10929
magnetic form factor in 63
magnetic form factor is 166
magnetic form factor of 459
magnetic free energy is 53
magnetic free energy of 76
magnetic media should be 138
magnetic north instead of 45
magnetic pole around the 173
magnetic pole becoming the 45
magnetic pole placed at 908
magnetic pole placed in 338
magnetic pole strength is 102
magnetic pole strength of 66
magnetic pole through the 47
magnetic pull toward the 109
magnetic tape copies of 117
magnetic tape drives in 40
magnetic tape drives or 63
magnetic tape housed in 86
magnetic tape instead of 294
magnetic tape output of 49
magnetic tape record is 67
magnetic tape record of 174
magnetic tape should be 164
magnetic tape system is 104
magnetic tape through the 145
magnetic tape version of 149
magnetic when placed in 52
magnifying into matter of 88
magnifying lens should be 108
magnifying their office on 70
mainland from mexico to 93
mainland just across the 222
mainland were forced to 101
maintain body weight at 1286
maintain body weight by 46
maintain body weight in 310
maintain body weight is 87
maintain body weight of 42
maintain body weight on 54
maintain body weight or 155
maintain crop yields at 42
maintain during periods of 67
maintain farm income at 79
maintain farm prices at 123
maintain flow through the 192
maintain food prices at 49
maintain free access to 287
maintain full access to 41
maintain good grades in 92
maintain good habits of 59
maintain good levels of 138
maintain good standing in 287
maintain great bodies of 58
maintain high degree of 53
maintain high levels in 54
maintain high levels of 12143
maintain high morale in 121
maintain high prices at 48
maintain high prices by 67
maintain high prices in 237
maintain high prices is 40
maintain high prices of 68
maintain high prices on 140
maintain high prices to 47
maintain high strength at 41
maintain high values of 57
maintain high yields of 71
maintain life through the 44
maintain life without the 48
maintain open access to 130
maintain past levels of 121
maintain peace amongst the 47
maintain peace around the 47
maintain peace through the 94
maintain prior levels of 47
maintain ready access to 107
maintain safe levels of 80
maintain some access to 47
maintain some amount of 190
maintain some aspect of 132
maintain some belief in 43
maintain some degree of 8845
maintain some forces in 45
maintain some margin of 58
maintain some measure of 1663
maintain some portion of 146
maintain some record of 106
maintain some shadow of 49
maintain some system of 102
maintain some version of 107
maintain such forces as 275
maintain such forces in 42
maintain such levels of 103
maintain such notice in 43
maintain such number of 63
maintain such person to 102
maintain such troops as 74
maintain their access to 655
maintain their armies in 88
maintain their belief in 847
maintain their bodies at 114
maintain their bodies in 168
maintain their center of 62
maintain their charge of 60
maintain their christ by 116
maintain their claims by 88
maintain their claims in 51
maintain their claims on 43
maintain their claims to 432
maintain their course at 77
maintain their course in 44
maintain their credit by 69
maintain their credit in 121
maintain their degree of 95
maintain their desire to 94
maintain their empire in 77
maintain their facade of 63
maintain their family in 62
maintain their feelings of 212
maintain their forces at 84
maintain their forces in 171
maintain their forces on 55
maintain their ground as 410
maintain their ground at 303
maintain their ground by 292
maintain their ground if 60
maintain their ground in 1046
maintain their ground on 148
maintain their ground or 61
maintain their ground to 73
maintain their holdings in 66
maintain their holdings of 61
maintain their horses at 74
maintain their houses in 91
