magic skirts a thousand 68
mains through a variable 105
makes almost a premium 136
makes always a stronger 65
makes itself a passage 51
makes shopping a pleasure 56
makes winter a torture 44
males showed a decrease 46
males showed a similar 59
males without a history 49
march across a country 102
march across a hostile 44
march through a catholic 59
march through a country 2316
march through a densely 46
march through a hostile 826
march through a pleasant 91
march through a village 109
marks around a passage 80
marry before a certain 69
marry without a fortune 72
marry without a guardian 76
marry without a license 81
marry without a marriage 76
match played a hundred 60
meanings through a process 128
meeting across a crowded 158
meeting became a regular 62
meeting before a decision 50
meeting proved a failure 79
meeting proved a success 65
meeting without a license 61
mercy became a monarch 46
mercy through a mediator 85
merit beyond a certain 45
metal carrying a current 127
metal exerting a modifying 60
method allows a certain 56
method allows a company 60
method allows a precise 66
method offers a reliable 43
method offers a solution 99
method places a premium 62
method proved a failure 92
method yields a product 85
method yields a smaller 47
method yields a solution 92
might accept a certain 45
might accept a position 114
might affect a certain 40
might affect a company 168
might affect a country 68
might affect a decision 124
might affect a patient 213
might affect a project 60
might affect a student 102
might affect a subject 43
might affect a veteran 149
might afford a certain 51
might afford a gainful 40
might afford a glimpse 40
might afford a passage 97
might afford a pretext 355
might afford a revenue 135
might afford a shelter 139
might afford a solution 122
might afford a subject 72
might allege a variety 139
might answer a question 379
might arouse a certain 81
might arrange a marriage 111
might assume a certain 142
might assume a hostile 40
might assume a position 149
might assume a similar 95
might assume a tangible 47
might assume a variety 63
might attain a certain 71
might attain a position 105
might attend a concert 75
might attend a general 88
might attend a lecture 42
might attend a private 46
might become a baptist 40
might become a barrier 148
might become a british 164
might become a builder 43
might become a bulwark 53
might become a captain 69
might become a catholic 450
might become a central 166
might become a champion 56
might become a channel 95
might become a chronic 53
might become a citizen 302
might become a classic 196
might become a college 69
might become a concert 59
might become a convert 201
might become a country 67
might become a creative 54
might become a european 109
might become a failure 40
might become a faithful 112
might become a foreman 53
might become a freeman 59
might become a function 42
might become a general 698
might become a genuine 199
might become a glorious 52
might become a hostage 43
might become a husband 87
might become a medical 73
might become a monster 40
might become a musician 125
might become a national 444
might become a natural 149
might become a neutral 55
might become a nucleus 80
might become a painter 255
might become a partner 279
might become a pattern 101
might become a perfect 180
might become a popular 255
might become a preacher 420
might become a pretext 112
might become a primary 79
might become a private 103
might become a problem 2858
might become a prophet 131
might become a prudent 46
might become a question 517
might become a rational 82
might become a regional 41
might become a regular 423
might become a revenue 115
might become a routine 132
might become a scholar 159
might become a science 218
might become a senator 70
might become a servant 144
might become a settled 275
might become a shelter 156
might become a similar 59
might become a soldier 202
might become a stranger 72
might become a stronger 59
might become a student 139
might become a stumbling 263
might become a subject 799
might become a success 66
might become a superior 119
might become a suspect 68
might become a takeover 40
might become a tourist 56
might become a vehicle 353
might become a virtual 72
might become a welcome 50
might become a witness 85
might choose a certain 68
might choose a husband 164
might choose a liberal 62
might choose a neutral 51
might choose a partner 49
might choose a position 46
might choose a smaller 46
might choose a subject 123
might commit a mistake 44
might commit a similar 62
might confer a benefit 73
might convey a certain 44
might convey a message 138
might define a function 98
might demand a revision 72
might demand a similar 56
might derive a benefit 82
might derive a certain 95
might derive a revenue 40
might derive a specious 87
might derive a tribute 105
might design a machine 51
might design a product 57
might design a program 87
might desire a cottage 90
