magma came from detailed 60
maids have been regarded 73
maids have done execution 64
maids made their impudent 52
mails have been received 82
mains have been extended 63
maize from north american 46
maize grow were fashioned 119
maize have been obtained 85
maize have been produced 46
maize have been reported 167
major bile duct injuries 115
major bond rating agencies 140
major bond rating services 47
major book club selection 49
major break from tradition 61
major cash flow problems 120
major cell type expressing 57
major cell type involved 94
major health care decisions 73
major health care delivery 62
major health care expenses 44
major health care facility 79
major health care problems 212
major health care programs 139
major health care provider 188
major news wire services 128
major peaks were observed 93
major peaks were obtained 54
major race riots occurred 84
major south asian languages 60
major wars have occurred 52
major wild food resource 41
maker must also consider 62
makes clear what happened 153
makes even more apparent 121
makes even more dramatic 116
makes even more emphatic 130
makes even more explicit 994
makes even more poignant 62
makes food more appetizing 59
makes free will possible 53
makes health care decisions 86
makes land more valuable 89
makes last till doomsday 373
makes life more agreeable 79
makes life more beautiful 119
makes life more dangerous 61
makes life more satisfying 118
makes life more valuable 41
makes life worth possessing 288
makes many dogs valuable 134
makes many more mistakes 41
makes much more economic 72
makes much more explicit 138
makes much more frequent 41
makes only slow progress 170
makes some other provision 158
makes some very judicious 138
makes some very sagacious 43
makes some very sensible 134
makes some very specific 103
makes some very valuable 88
makes such acts possible 45
makes such rich provision 41
makes such slow progress 175
makes such work possible 84
makes their work possible 49
makes three great divisions 57
makes very good business 45
makes very good economic 101
makes very slow progress 574
makes wise unto salvation 242
makes your best security 72
makes your eyes lovelier 161
males from other colonies 46
males have been affected 63
males have been examined 47
males have been expected 41
males have been involved 57
males have been observed 1164
males have been obtained 49
males have been produced 122
males have been recorded 493
males have been rendered 77
males have been reported 723
males have been selected 147
males have been sexually 61
males were also observed 62
males were more abundant 52
males were more affected 145
males were more commonly 127
males were more frequent 44
males were more inclined 206
males were more involved 105
males were more numerous 192
males were more positive 46
males were more sexually 64
males were only slightly 46
mapping have been proposed 49
march back into scotland 48
march from fort washington 328
march from north carolina 205
march from south carolina 54
march from their barracks 55
march from their homeland 95
march from their quarters 138
march into north carolina 888
march into south carolina 500
march into their villages 184
march into west flanders 45
march north from savannah 274
marks also some affection 135
marks down those wrinkled 52
marks have been assigned 93
marks have been detected 41
marks have been employed 70
marks have been expended 49
marks have been included 71
marks have been inserted 191
marks have been observed 299
marks have been obtained 49
marks have been recorded 216
marks have been replaced 73
marks have been reported 99
marks have been retained 71
marks have been selected 44
marks have been supplied 180
marks upon their churches 47
