made all existing battleships 112
made all needed arrangements 43
made all proper arrangements 47
made and broken alternately 63
made and firmly established 166
made and passed unanimously 43
made and policy interpreted 120
made and remade continually 74
made and unmade governments 521
made and widely distributed 140
made any direct contribution 147
made any further conversation 57
made any further development 46
made any serious contribution 146
made any serious preparations 95
made any special arrangements 128
made any special contribution 70
made any special preparations 55
made any useful contribution 85
made but little advancement 155
made but little contribution 79
made but little disturbance 102
made but little improvement 230
made but little proficiency 67
made but slight contribution 57
made each parish responsible 169
made far greater preparations 52
made for adopting conciliatory 41
made for better understanding 387
made for further development 199
made for further improvement 123
made for further particulars 187
made for future conferences 76
made for future construction 46
made for future development 192
made for future installation 43
made for future subsistence 93
made for greater convenience 73
made for greater flexibility 138
made for greater understanding 54
made for initial differences 70
made for lively conversation 64
made for mutual convenience 60
made for mutual understanding 114
made for proper maintenance 43
made for public distribution 53
made for public intervention 45
made for retail distribution 101
made for slaves emancipated 42
made for slight differences 63
made for special applications 374
made for various combinations 107
made her almost indifferent 51
made her covering dispositions 40
made her little preparations 83
made her travel arrangements 42
made her wholly inattentive 59
made him almost comfortable 62
made him almost independent 118
made him almost indifferent 78
made him almost universally 76
made him fairly comfortable 64
made him highly susceptible 83
made him keenly appreciative 65
made him solely responsible 67
made him suffer frightfully 46
made his famous contribution 49
made his famous discoveries 131
made his famous experiments 166
made his famous observations 82
made his famous proclamation 132
made his finest contribution 58
made his guards accomplices 53
made his guests comfortable 55
made his humble arrangements 82
made his initial contribution 72
made his initial observations 75
made his office independent 42
made his policy subservient 124
made his revenge subservient 80
made his second contribution 93
made his simple preparations 97
made his special compliments 52
made his special contribution 114
made his travel arrangements 110
made his unique contribution 169
made his winter headquarters 89
made its modest contribution 87
made its proper contribution 69
made its special contribution 184
made its unique contribution 140
made one further contribution 50
made one person responsible 56
made our little arrangements 46
made our modern civilization 95
made our simple preparations 52
made our travel arrangements 47
made real estate investments 92
made that narrow thoroughfare 46
made that speech principally 99
made them almost impregnable 44
made them almost independent 172
made them almost universally 56
made them behave differently 54
made them highly competitive 61
made them highly susceptible 148
made them readily identifiable 105
made them serious competitors 59
made them useful instruments 44
made two further observations 73
made two special observations 43
made use almost exclusively 108
made using various combinations 47
made with better instruments 46
made with drafting instruments 89
made with little consultation 55
made with little understanding 74
made with malice aforethought 133
made with mature deliberation 155
made with mental reservations 58
made with proper deliberation 45
made with simple microscopes 46
made with sodium bicarbonate 45
made with special instruments 55
made with strict impartiality 90
made with various combinations 392
made with various instruments 85
made yet another contribution 156
make all coaching superfluous 87
make all further arrangements 63
make all proper arrangements 133
make all travel arrangements 97
make and record measurements 71
make and record observations 1134
make and report observations 45
make and retain investments 53
make and unmake governments 2131
make any active contribution 48
make any direct comparisons 175
make any direct contribution 331
make any direct measurements 42
make any direct observations 96
make any farther discoveries 60
make any farther observations 73
make any formal commitments 48
make any further acquisitions 75
make any further adjustments 314
make any further applications 65
make any further appropriation 120
make any further arrangements 146
make any further commitments 129
make any further comparisons 64
make any further contribution 397
make any further conveyances 57
make any further disclosures 43
make any further discoveries 181
make any further distinctions 62
make any further distribution 55
make any further disturbance 67
make any further experiments 157
make any further explanations 121
make any further explorations 51
make any further improvement 95
make any further investments 181
make any further observations 533
make any further significant 62
make any marked contribution 46
make any marked improvement 65
make any needed adjustments 696
make any public declarations 65
make any public improvement 62
make any serious commitments 49
make any serious contribution 288
make any serious preparations 61
make any slight adjustments 44
make any special adjustments 71
make any special arrangements 550
make any special contribution 131
make any special observations 65
make any special preparations 239
make any travel arrangements 71
make any unique contribution 49
make any useful comparisons 67
make any useful contribution 494
make any useful observations 168
make but little contribution 127
make but little improvement 86
make each person responsible 71
make far better friendships 58
make for better citizenship 196
make for better coordination 73
make for better performance 83
make for better understanding 1277
make for clearer understanding 40
make for greater consistency 104
make for greater convenience 68
make for greater differences 48
make for greater flexibility 499
make for greater instability 51
make for greater satisfaction 55
make for greater understanding 262
make for higher civilization 48
make for mutual understanding 311
make her family comfortable 70
make her formal compliments 53
make her friend comfortable 135
make her guests comfortable 168
make her humble contribution 46
make her proper contribution 52
make her travel arrangements 41
make him always intolerable 53
make him behave differently 51
make him solely responsible 116
make him submit contentedly 50
make him wholly responsible 40
make his family comfortable 224
make his friend comfortable 51
make his genius subservient 53
make his guests comfortable 325
make his guests intoxicated 46
make his modest contribution 46
make his points effectively 58
make his proper contribution 123
make his special contribution 110
make his travel arrangements 88
make his unique contribution 341
make its humble contribution 42
make its initial disclosures 472
make its modest contribution 109
make its proper contribution 594
make its special contribution 185
make its unique contribution 350
make new travel arrangements 82
make one further modification 45
make one person responsible 302
make our actions praiseworthy 54
make our common supplication 81
make our guests comfortable 99
make our humble contribution 66
make our little arrangements 66
make our little observations 95
make our merely experienced 47
make our modest contribution 71
make our native commodities 42
make our proper contribution 67
make our special contribution 68
make our travel arrangements 62
make our unique contribution 69
make our utmost contribution 91
make real estate investments 218
make real estate transactions 49
make that person responsible 48
make them almost impregnable 43
make them almost independent 43
make them behave differently 186
make them fairly comfortable 91
make them highly competitive 103
make them highly susceptible 234
make them readily identifiable 279
make them serious competitors 49
make them shrink indignantly 61
make them useful instruments 55
make them wholly independent 45
make them wholly professional 40
make them zealous protestants 102
make things happen differently 82
make this clause restrictive 218
make this volume immeasurably 59
make two further distinctions 62
make two further observations 246
make two simple observations 48
make use almost exclusively 146
make war without congressional 60
make yet another contribution 83
make you another appointment 49
make you fairly comfortable 54
making and building construction 58
making and career development 120
making and english romanticism 337
making and managing investments 62
making and policy coordination 166
making and policy development 884
making and policy enforcement 50
making and reality construction 106
making and school improvement 55
making and unmaking governments 817
making any curious discoveries 45
making any direct contribution 172
making any further adjustments 60
making any further arrangements 63
making any further commitments 70
making any further contribution 88
making any further disclosures 66
making any further discoveries 124
making any further disturbance 51
making any further experiments 59
making any further observations 261
making any needed adjustments 109
making any public improvement 54
making any serious contribution 116
making any special arrangements 109
making any special preparations 51
making any useful contribution 104
making but feeble preparations 43
making each parish responsible 57
making each person responsible 55
making for better understanding 70
making for greater flexibility 58
making her friend comfortable 51
making her guests comfortable 72
making her little preparations 163
