man an equal opportunity 197
man at every opportunity 191
man he holds responsible 76
man in black experienced 62
man in blood relationship 175
man in every conceivable 194
man in social intercourse 140
man in whose conversation 238
man in whose countenance 103
man in whose personality 51
man in whose preservation 83
man in whose understanding 163
man is alone responsible 84
man is first regenerated 147
man is fully responsible 151
man is often accompanied 60
man is often represented 61
man is often transported 71
man is quite independent 55
man is really responsible 96
man is still imperfectly 63
man is still responsible 90
man is truly independent 46
man no longer experiences 159
man no longer understands 122
man of acute discernment 46
man of acute sensibility 202
man of acute understanding 87
man of amazing versatility 124
man of broad humanitarian 98
man of broad scholarship 157
man of broad understanding 108
man of engaging personality 362
man of every denomination 58
man of fiery temperament 295
man of folly contributed 74
man of frail constitution 41
man of genial personality 163
man of genial temperament 207
man of grave countenance 55
man of healthy constitution 48
man of large attainments 134
man of large benevolence 101
man of large expectations 58
man of large independent 92
man of large understanding 64
man of lower civilization 62
man of noble countenance 167
man of plain understanding 1577
man of pleasing conversation 75
man of pleasing countenance 150
man of pleasing personality 605
man of poetic sensibility 103
man of poetic temperament 312
man of quick apprehension 288
man of quick discernment 138
man of quick sensibility 375
man of quick understanding 155
man of quiet temperament 105
man of rather distinguished 41
man of rather prepossessing 48
man of right understanding 163
man of rigid uprightness 62
man of ruddy countenance 66
man of small consequence 196
man of small contrivance 87
man of small independent 105
man of small understanding 117
man of sober understanding 131
man of solid achievement 51
man of solid attainments 115
man of solid understanding 169
man of sound commonsense 69
man of sound constitution 126
man of sound scholarship 110
man of sound understanding 2717
man of stern countenance 73
man of strong attachments 80
man of strong commonsense 45
man of strong constitution 459
man of strong friendships 81
man of strong humanitarian 60
man of strong imaginative 43
man of strong personality 5924
man of strong sensibility 58
man of strong speculative 42
man of strong temperament 91
man of strong understanding 684
man of vivid personality 83
man of weaker personality 50
man of whose antecedents 88
man of whose personality 60
man of winning personality 207
man on board alternately 41
man or woman communicating 129
man or woman contemplating 90
man or woman distinguished 57
man or woman experienced 43
man or woman experiences 240
man or woman responsible 144
man or woman understands 69
man the newly established 47
man to catch advantageous 85
man to social sufficiency 42
man to whose personality 40
map of human chromosomes 142
map of human development 64
map of world distribution 42
map the genes responsible 127
may at times approximate 148
may at times communicate 54
may at times demonstrate 89
may at times necessitate 144
may at times participate 51
may at times predominate 51
may be about mathematical 171
may be about particulars 252
may be acute inflammation 117
may be added alternately 62
may be added desperately 52
may be added dynamically 48
may be added graphically 114
may be added innumerable 66
may be added occasionally 196
may be added periodically 80
may be added sequentially 66
may be added temporarily 81
may be again appropriated 43
may be again distinguished 127
may be again established 108
may be again illustrated 100
may be again interrupted 55
may be again reluctantly 108
may be again transferred 67
may be again transformed 77
may be alone responsible 49
may be ample opportunity 135
may be amply compensated 101
may be amply illustrated 171
may be aptly denominated 54
may be aptly illustrated 526
may be aptly interpreted 76
may be aptly represented 68
may be asked hypothetical 55
may be asked occasionally 61
may be atrial fibrillation 121
may be badly remunerated 204
may be based exclusively 128
may be based principally 52
may be basic differences 96
may be below atmospheric 54
may be bound apprentices 51
may be built underground 149
may be causing significant 114
may be causing unnecessary 55
may be class differences 67
may be close substitutes 268
may be coded differently 87
may be creating unnecessary 67
may be dated tentatively 68
may be drawn arbitrarily 85
may be drawn corresponding 79
may be drawn differently 185
may be drawn graphically 57
may be drawn tentatively 45
may be dried artificially 46
may be easier politically 47
may be easily anticipated 1137
may be easily apprehended 260
may be easily ascertained 7199
may be easily assimilated 195
may be easily categorized 40
may be easily compensated 153
may be easily compromised 96
may be easily conjectured 3519
may be easily constructed 1772
may be easily discernible 94
may be easily discouraged 289
may be easily disinfected 66
may be easily disregarded 61
may be easily distinguished 18688
may be easily distributed 110
may be easily embarrassed 42
may be easily established 889
may be easily exaggerated 1182
may be easily exemplified 117
may be easily generalized 1037
may be easily identifiable 178
may be easily illustrated 1573
may be easily implemented 468
may be easily intercepted 49
may be easily interchanged 95
may be easily interpreted 622
may be easily intimidated 116
may be easily manipulated 443
may be easily misdiagnosed 104
may be easily neutralized 44
may be easily obliterated 50
may be easily overwhelmed 229
may be easily rationalized 55
may be easily recollected 53
may be easily represented 317
may be easily substituted 305
may be easily susceptible 61
may be easily transferred 1109
may be easily transformed 519
may be easily transmitted 228
may be easily transported 567
may be easily traumatized 63
may be either accelerated 439
may be either accentuated 87
may be either accompanied 200
may be either advantageous 258
may be either affirmative 1671
may be either alternative 78
may be either anticipated 100
may be either appurtenant 126
may be either artificially 54
may be either capitalized 119
may be either categorical 125
may be either centralized 240
may be either centrifugal 87
may be either commercially 40
may be either communicating 99
may be either compensated 103
may be either competitive 169
may be either compressive 169
may be either conjunctive 46
may be either constipation 122
may be either constructed 116
may be either continental 44
may be either contractual 94
may be either conventional 163
may be either cooperative 100
may be either crystalline 356
may be either cylindrical 454
may be either declarative 44
may be either descriptive 379
may be either destructive 195
may be either determinate 97
may be either detrimental 113
may be either dichotomous 43
may be either disciplined 146
may be either disregarded 104
may be either distributed 1452
may be either documentary 44
may be either established 107
may be either exaggerated 294
may be either excessively 71
may be either exclusively 46
may be either explanatory 41
may be either exploratory 45
may be either facilitated 273
may be either generalized 345
may be either genetically 123
may be either geographical 59
may be either grammatical 44
may be either handwritten 119
may be either hemorrhagic 63
may be either herbivorous 47
may be either hypothetical 50
may be either impractical 75
may be either incremental 43
may be either independent 910
may be either indifferent 87
may be either individuals 393
may be either ineffective 113
may be either informative 52
may be either instinctive 86
may be either intensified 56
may be either intermediate 78
may be either interpreted 159
may be either interrupted 166
may be either interstitial 58
may be either involuntary 131
may be either irregularly 77
may be either irrevocable 40
may be either legislative 84
may be either longitudinal 388
may be either macroscopic 46
may be either mathematical 42
may be either microscopic 87
may be either momentarily 47
may be either monarchical 67
may be either nonexistent 84
may be either nonspecific 92
may be either objectively 51
may be either obstructive 77
may be either oscillatory 48
may be either participating 81
may be either particulate 86
may be either pathological 43
may be either permanently 207
may be either practically 57
may be either preliminary 161
may be either prepositions 44
may be either professional 78
may be either progressive 326
may be either proportional 86
may be either proprietary 59
may be either prospective 111
may be either psychogenic 62
may be either qualitative 823
may be either questionable 44
may be either reciprocating 141
may be either represented 129
may be either restrictive 353
may be either saprophytic 78
may be either sedimentary 91
may be either significant 48
may be either simultaneous 325
may be either speculative 61
may be either statistical 72
may be either stimulatory 279
may be either subcutaneous 82
may be either substantive 165
may be either substitutes 86
may be either symmetrical 529
may be either symptomatic 223
may be either synchronous 320
may be either synergistic 77
may be either temporarily 167
may be either transferred 125
may be either translucent 76
may be either transmitted 375
may be either transparent 283
may be either typewritten 130
may be either unavailable 129
may be either underground 48
may be either unicellular 150
may be either unnecessary 100
may be either ventricular 118
may be either voluntarily 167
may be ended prematurely 59
may be ethnic differences 141
may be fatty degeneration 255
may be fatty infiltration 52
may be feeling discouraged 106
may be feeling embarrassed 42
may be feeling overwhelmed 646
may be fewer differences 53
may be filed numerically 117
may be filed voluntarily 134
may be first accelerated 43
may be first distinguished 52
may be first encountered 55
may be first established 49
may be first illustrated 78
may be first transformed 93
may be fitly denominated 193
may be fitly illustrated 79
may be fitly represented 245
may be fixed arbitrarily 419
may be fixed permanently 187
may be fixed temporarily 53
may be found accompanied 57
may be found advantageous 1531
may be found bilaterally 69
may be found conformable 53
may be found corresponding 171
may be found descriptions 102
may be found differences 49
may be found distributed 262
may be found empirically 169
may be found established 62
may be found excellently 47
may be found exclusively 155
may be found exemplified 132
may be found extensively 96
may be found graphically 1743
may be found illustrated 244
may be found incompetent 171
may be found independent 71
may be found individuals 175
may be found infiltrated 51
may be found innumerable 87
