man during prolonged exercise 51
man into sentient activity 40
man like benjamin franklin 110
man more tenderly attached 145
man most directly involved 43
man must entirely suppress 42
man those brilliant messages 64
man very sedately answered 77
man whom everyone believed 47
man whom religious education 154
man will probably continue 85
may also alleviate symptoms 49
may also consider developing 42
may also consider evidence 63
may also consider purchasing 52
may also delegate authority 40
may also directly activate 177
may also directly interact 50
may also directly regulate 49
may also directly suppress 40
may also distract attention 46
may also entirely disappear 40
may also generate conflict 47
may also generate negative 76
may also generate positive 43
may also generate problems 50
may also identify patients 83
may also identify potential 53
may also identify problems 63
may also identify specific 71
may also indicate emotional 43
may also indicate financial 141
may also indicate increased 71
may also indicate infection 117
may also indicate possible 107
may also indicate potential 52
may also indicate problems 111
may also indicate specific 68
may also indicate underlying 63
may also interact directly 144
may also manifest symptoms 55
may also motivate students 52
may also severely restrict 44
may also transact business 49
may also transmit infection 73
may call physical education 41
may draw unwanted attention 85
may even consider yourself 47
may even convince yourself 63
may even disappear entirely 465
may even entirely disappear 187
may even inwardly reproach 105
may even remotely consider 46
may even surprise yourself 117
may face criminal liability 70
may face financial problems 41
may face personal liability 81
may feel enormous pressure 44
may feel increased pressure 75
may feel somewhat confused 105
may feel somewhat isolated 108
may feel somewhat reassured 40
may feel somewhat threatened 70
may feel yourself entitled 51
may find abundant argument 48
may find abundant evidence 98
may find abundant examples 46
may find abundant materials 100
may find criminal intention 68
may find curiously verified 43
may find numerous examples 112
may find yourself actually 122
may find yourself attempting 43
may find yourself confused 124
may find yourself developing 151
may find yourself discussing 63
may find yourself entangled 69
may find yourself explaining 77
may find yourself expressing 42
may find yourself forgetting 72
may find yourself involved 454
may find yourself mentally 45
may find yourself mistaken 104
may find yourself negotiating 70
may find yourself organizing 71
may find yourself performing 63
may find yourself questioning 159
may find yourself responding 119
may find yourself scrambling 47
may find yourself somewhat 55
may find yourself stranded 165
may find yourself struggling 327
may find yourself suddenly 253
may gain valuable insights 191
may give indirect evidence 91
may give positive evidence 67
may give valuable evidence 151
may give valuable insights 116
may have academic problems 54
may have acquired concerning 44
may have acquired immunity 62
may have acquired infection 58
may have acquired personal 40
may have acquired property 200
may have acquired valuable 40
may have actually achieved 41
may have actually affected 70
may have actually believed 271
may have actually declined 257
may have actually decreased 184
may have actually enhanced 113
may have actually exceeded 44
may have actually happened 524
may have actually hindered 94
may have actually improved 154
may have actually increased 979
may have actually intended 88
