macro instructions are used 59
major achievement had been 146
major achievement has been 652
major adjustments are made 98
major advancement has been 40
major advertisers and their 56
major applications for these 53
major breakthroughs that have 49
major civilization has been 48
major commitments are made 86
major competitors and their 134
major competitors and what 44
major competitors had been 57
major complication has been 83
major consequence has been 331
major constraints that have 66
major construction has been 44
major contribution being made 47
major contribution had been 161
major contribution has been 1680
major contribution has come 97
major contribution may have 54
major contribution not only 352
major contribution was also 40
major contribution was from 53
major contribution was made 861
major contributor has been 81
major controversy for some 47
major controversy has been 121
major controversy was over 137
major corporations and even 46
major corporations and many 65
major corporations and other 239
major corporations and their 338
major corporations for their 46
major corporations had been 49
major corporations has been 58
major corporations now have 75
major corporations that have 281
major corporations that were 104
major corporations who have 98
major corporations who were 51
major corporations with their 53
major departments and their 56
major determinant not only 48
major development had been 62
major development has been 1416
major development that took 67
major development that will 62
major differences are also 41
major differences are seen 114
major differences are there 43
major differences are those 65
major differences not only 76
major differences that have 108
major differences that were 41
major differences that will 45
major differences with other 80
major discoveries are made 86
major discoveries had been 93
major discoveries that have 94
major expenditure for many 47
major expenditure for most 153
major explanations for these 43
major explanations that have 70
major implications for food 42
major implications for health 451
major implications for land 136
major implications for many 135
major implications for other 181
major implications for such 41
major implications for their 410
major implications for these 57
major implications for those 162
major implications for what 286
major implications for your 70
major implications not just 43
major implications not only 289
major improvement had been 45
major improvement has been 276
major improvement was made 202
major institutions and their 176
major institutions but also 41
major institutions has been 53
major institutions that have 141
major institutions that make 71
major institutions that were 48
major investments are made 198
major investments had been 43
major involvement has been 47
major manufacturing and mining 79
major modification has been 60
major modification was made 107
major opportunity for cost 108
major opportunity for many 46
major opportunity for such 43
major opportunity was lost 63
major preoccupation for many 172
major preoccupation for most 195
major preoccupation for some 51
major preoccupation had been 49
major preoccupation has been 272
major presidential and vice 233
major propositions are three 137
major propositions that have 62
major publications that have 51
major requirement for good 43
major requirement for such 101
major requirement for their 45
major requirement for these 46
major tournaments are held 76
makes arrangements for coming 41
makes arrangements for such 65
makes arrangements for their 193
makes arrangements with other 48
makes comparisons with other 441
makes friendships with boys 47
makes hospitality and good 43
makes organization and union 47
manly benevolence and love 62
marsh perpetuates his kind 79
match illuminated his face 41
match individuals with jobs 42
mates represented with such 46
maybe flexibility for some 63
meager compensation for their 46
meanings hereinafter set forth 104
medial hypothalamus and food 54
meeting occasionally with such 53
melting temperature and good 40
melting temperature and high 184
melting temperature has been 334
merry christmases and your 58
metal construction has been 84
metal underground gas piping 60
meter measurements are made 130
method development has been 40
method encompasses not only 46
method presupposes that there 57
might accommodate you even 95
might acknowledge his sins 41
might acknowledge that some 69
might acknowledge that there 91
might assassinate for three 129
might collaborate with other 55
might communicate this news 53
might communicate with other 99
might communicate with some 54
might communicate with their 131
might communicate with those 56
might conceivably get into 54
might conceivably not have 312
might concentrate all their 55
might concentrate his mind 47
might concentrate too much 129
might confederate for their 172
might congratulate each other 64
might counterfeit this their 41
might demonstrate that there 88
might effectually bar their 92
might establishes and liking 54
might exterminate each other 74
might immortalize his name 49
might incorporate them into 137
might manufacture and sell 98
might nevertheless not have 73
might noiselessly lay away 45
might occasionally run into 80
might precipitate her into 69
might precipitate him into 149
might precipitate them into 284
minds unfurnished with ideas 245
minds unfurnished with these 102
mingled apprehension and hope 190
mingled graciousness and self 44
mingled inseparably with their 88
mingled supplication and love 43
minor adjustments are made 572
minor adjustments being made 98
minor adjustments had been 78
minor adjustments may have 75
