macro economic stability and 124
magic supplies primitive man 63
major academic interests are 46
major activity associated with 69
major agencies concerned with 112
major american companies and 120
major american companies are 87
major american companies had 61
major american companies that 114
major american magazines and 61
major american newspaper and 71
major benefits associated with 180
major business interests and 84
major business interests are 41
major business magazines and 55
major business processes and 76
major cellular substrate for 53
major challenge associated with 156
major chemical companies and 95
major chemical companies are 107
major clinical indication for 134
major clinical syndromes are 98
major computer companies and 77
major computer companies are 58
major concepts associated with 242
major concerns associated with 289
major concerns throughout his 61
major continuing irrigation and 75
major creditor countries and 58
major cultural traditions and 72
major decisions associated with 52
major developing countries and 82
major developing countries are 74
major developing countries that 105
major developing countries with 61
major drawback associated with 266
major economic depression and 278
major economic depression that 162
major economic incentive for 64
major economic interests and 157
major economic interests are 128
major economic resources and 88
major economic resources for 43
major elements associated with 83
major elements necessary for 129
major emphasis throughout this 73
major expenses associated with 126
major financial resources and 65
major flotation mechanism both 134
major functions associated with 181
major hardware platforms and 50
major interest throughout his 50
major japanese companies and 81
major japanese companies are 131
major japanese companies had 44
major japanese offensive was 51
major military campaigns and 73
major military exercises and 80
major military movements and 122
major military operations and 100
major military operations are 45
major organizing principle for 188
major pathogens associated with 66
major physical processes that 58
major pitfalls associated with 74
major policies associated with 50
major problems associated with 7257
major problems concerned with 105
major problems confronting all 45
major problems confronting any 61
major problems confronting both 47
major problems confronting him 45
major problems confronting his 47
major problems confronting our 121
major problems confronting them 121
major problems confronting this 76
major problems connected with 863
major projects associated with 57
major projects concerned with 42
major proteins associated with 89
major publishing companies and 65
major questions addressed are 59
major questions associated with 101
major questions connected with 59
major religious festivals and 91
major religious festivals are 60
major religious traditions and 334
major religious traditions are 180
major religious traditions that 213
major software companies and 41
major software companies are 83
major surgical operations and 93
major surgical operations are 78
major surgical procedure and 399
major surgical procedure can 44
major surgical procedure for 107
major surgical procedure may 60
major surgical procedure that 340
major surgical procedure was 56
major surgical procedure with 197
major symphony orchestra and 57
major symptoms associated with 242
major toxicity associated with 151
major variables associated with 215
makes adequate allowance for 309
makes adequate provisions for 175
makes analysis difficult and 66
makes beautiful furniture and 47
makes concrete proposals for 80
makes detailed proposals for 78
makes detailed provisions for 283
makes diagnosis difficult and 179
makes explicit allowance for 301
makes explicit provisions for 148
makes frequent excursions with 70
makes generous allowance for 65
makes industry energetic and 102
makes movement difficult and 127
makes possible effective use 54
makes possible intuitions that 50
makes possible prediction and 40
makes progress difficult and 42
makes separate provisions for 87
makes specific allowance for 65
makes specific proposals for 106
makes specific provisions for 650
makes swallowing difficult and 97
makes synaptic connection with 107
makes treatment difficult and 114
makes vicarious atonement for 59
manic episodes alternate with 48
manic episodes associated with 179
manly judgment convinced him 137
manse inferred compliance with 42
meadow curiously beautified with 44
meager economic resources and 54
meager evidence indicates that 67
meager financial resources and 196
meanings commonly associated with 173
meanings normally associated with 50
