made against professor henry 44
made between countries where 46
made between countries which 68
made between different forms 284
made between different kinds 1106
made between different modes 62
made between different parts 256
made between different people 52
made between different social 65
made between different sorts 121
made between different types 1629
made between identical twins 118
made between metaphors which 43
made between situations where 120
made careful inquiries about 351
made cautious inquiries about 110
made certain assertions which 44
made certain inquiries about 54
made certain inquiries which 43
made certain proposals which 184
made eminent political sense 91
made frantic telephone calls 94
made harassing telephone calls 99
made himself especially odious 98
made himself extremely drunk 45
made himself extremely merry 87
made himself favorably known 89
made himself generally hated 58
made himself generally known 82
made himself thoroughly hated 160
made himself thoroughly odious 58
made obscene telephone calls 208
made perfect political sense 66
made pleasure excursions rather 42
made pointed inquiries about 44
made repeated inquiries about 96
made repeated inquiries after 102
made repeated telephone calls 233
made sanction possession which 57
made several additional trips 68
made several campaigns under 106
made several centuries later 174
made several different kinds 92
made several different types 46
made several extensive tours 44
made several extensive trips 50
made several important moves 40
made several important rulings 41
made several important steps 65
made several inquiries about 389
made several inquiries after 43
made several inspection trips 71
made several missionary tours 99
made several missionary trips 43
made several parachute jumps 44
made several proposals aimed 41
made several proposals which 91
made several telephone calls 1657
made similar arguments about 434
made similar assertions about 74
made similar inquiries about 44
made similar judgments about 46
made threatening telephone calls 116
made towards arbitrary power 52
made towards sovereign power 76
main albanian political party 43
main effects described above 117
main features described above 47
main research interests cover 85
main research interests focus 303
make aesthetic judgments about 169
make between different kinds 117
make between different types 41
make blanket assertions about 43
make blanket judgments about 49
make careful inquiries about 169
make careful judgments about 130
make certain assertions about 104
make certain copulation takes 259
make certain deductions about 237
make certain hypotheses about 63
make certain inquiries about 84
make certain judgments about 372
make certain movements which 43
make complex judgments about 118
make correct judgments about 401
make general assertions about 166
make general inquiries about 65
make general judgments about 91
make general standards either 136
make herself miserable about 50
make herself outwardly known 48
make himself generally known 74
make himself miserable about 55
make instant judgments about 70
make logical deductions about 75
make meaningful assertions about 52
make meaningful judgments about 173
make obscene telephone calls 227
make overall judgments about 63
make precise judgments about 65
make prudent judgments about 61
make quality judgments about 55
make rational judgments about 385
make reasoned judgments about 811
make reasoned judgments based 47
make regular telephone calls 47
make reliable estimates about 48
make reliable judgments about 404
make repeated telephone calls 46
make service providers liable 174
make several different kinds 230
make several different types 267
make several judgments about 55
make several telephone calls 270
make similar arguments about 279
make similar assertions about 81
make similar judgments about 292
make summary judgments about 52
making aesthetic judgments about 72
making certain assertions about 61
making certain inquiries about 44
making certain judgments about 51
making certain proposals which 68
making correct judgments about 81
making endless telephone calls 96
