machined after heat treatment 104
machines could not possibly 90
machines owned and operated 76
machines which are commonly 44
machines which are designed 479
machines which are employed 159
machines which are equipped 102
machines which are expected 42
machines which are intended 75
machines which are operated 213
machines which are produced 70
machines which are provided 61
machines which are required 178
machines which are specially 48
machines which are suitable 51
machines which are supposed 59
machines which are utilized 41
machines which they believed 114
machines which they operated 42
magazine could not possibly 56
magazine editing and publishing 123
magazine since its inception 226
magnetic cores and magnetic 45
magnetic discs and magnetic 43
magnetic disks and magnetic 282
magnetic drums and magnetic 164
magnetic field and armature 47
magnetic field and chemical 133
magnetic field and constant 59
magnetic field and critical 47
magnetic field and currents 57
magnetic field and decreases 58
magnetic field and detected 78
magnetic field and direction 86
magnetic field and electric 1421
magnetic field and electron 671
magnetic field and generate 138
magnetic field and generating 40
magnetic field and gradient 134
magnetic field and increases 75
magnetic field and induction 92
magnetic field and magnetic 640
magnetic field and observed 166
magnetic field and obtained 47
magnetic field and parallel 279
magnetic field and particle 212
magnetic field and potential 134
magnetic field and pressure 343
magnetic field and produces 162
magnetic field and recorded 45
magnetic field and therefore 826
magnetic field and variations 54
magnetic field and velocity 409
magnetic field are adjusted 52
magnetic field are collinear 137
magnetic field are constant 59
magnetic field are detected 41
magnetic field are directed 60
magnetic field are included 71
magnetic field are mutually 61
magnetic field are observed 117
magnetic field are obtained 111
magnetic field are parallel 464
magnetic field are possible 56
magnetic field are produced 67
magnetic field are recorded 79
magnetic field are referred 44
magnetic field are reported 46
magnetic field are required 106
magnetic field are reversed 43
magnetic field are therefore 68
magnetic field being inclined 124
magnetic field being parallel 121
magnetic field being produced 101
magnetic field can actually 42
magnetic field can generate 103
magnetic field can interact 48
magnetic field can therefore 66
magnetic field for deflecting 55
magnetic field for magnetic 50
magnetic field had reversed 152
magnetic field has decreased 74
magnetic field has recently 42
magnetic field has remained 46
magnetic field has reversed 678
magnetic field may therefore 63
magnetic field now decreases 43
magnetic field that attracts 147
magnetic field that confines 82
magnetic field that contains 40
magnetic field that controls 43
magnetic field that decreases 45
magnetic field that deflects 174
magnetic field that increases 343
magnetic field that permeates 55
magnetic field that produced 69
magnetic field that produces 272
magnetic field that protects 54
magnetic field that provides 64
magnetic field that reverses 44
magnetic field thus produced 125
magnetic field was adjusted 142
magnetic field was constant 73
magnetic field was detected 163
magnetic field was directed 157
magnetic field was employed 55
magnetic field was entirely 77
magnetic field was examined 50
magnetic field was increased 336
magnetic field was observed 390
magnetic field was obtained 213
magnetic field was oriented 143
magnetic field was parallel 319
magnetic field was produced 605
magnetic field was proposed 64
magnetic field was provided 138
magnetic field was recorded 107
magnetic field was reported 71
magnetic field was required 55
magnetic field was reversed 388
magnetic field was supplied 80
magnetic field was switched 159
magnetic field with altitude 69
magnetic field with circular 60
magnetic field with constant 97
magnetic field with distance 93
magnetic field with induction 365
magnetic field with magnetic 143
magnetic field with opposite 60
magnetic field with velocity 159
magnetic force and electric 141
magnetic force and induction 84
magnetic force and magnetic 218
magnetic force are parallel 85
magnetic force are produced 41
magnetic force that attracts 115
magnetic mines and torpedoes 70
magnetic poles and electric 112
magnetic poles and magnetic 54
magnetic poles are produced 103
magnetic poles are reversed 96
magnetic poles are situated 85
magnetic rather than electric 150
magnetic tapes and computer 72
magnetic tapes and magnetic 331
magnetic tapes for computer 144
magnetic tapes for processing 124
magnifying glass and examined 420
magnifying glass and tweezers 252
magnifying glass that enlarges 118
magnifying power was increased 40
magnifying power was obtained 83
magnifying power was probably 55
mainland china and indonesia 53
mainland china has increased 50
maintain civil and religious 87
maintain close and constant 191
maintain close and continuing 137
maintain close and frequent 120
maintain close and friendly 577
maintain close and intimate 103
maintain equal air pressure 71
maintain ethnic and religious 60
maintain focus and attention 54
maintain focus and direction 45
maintain healthy and vigorous 43
maintain homes and families 43
maintain naval and military 81
maintain order and authority 177
maintain order and dispense 57
maintain order and exercise 42
maintain order and fairness 66
maintain order and internal 45
maintain order and morality 43
maintain order and practice 277
maintain order and preserve 416
maintain order and progress 48
maintain order and regulate 81
maintain order and security 2775
maintain order and suppress 436
maintain power and authority 152
maintain power and prestige 79
maintain rather than challenge 115
maintain roads and highways 43
maintain roads and railways 70
maintain rules and authority 148
maintain social and cultural 313
maintain social and economic 563
maintain social and personal 46
maintain social and physical 50
maintain social and religious 57
maintain speed and accuracy 42
maintain suits for injuries 43
maintain wives and children 51
maintain women and children 51
majestic beauty and grandeur 47
majestic domes and corinthian 46
majority black and hispanic 46
majority could not possibly 117
majority finds that preventing 90
majority group and minority 273
majority leader and chairman 443
majority leader and majority 200
majority leader and minority 484
majority party and minority 157
majority power and minority 110
majority rather than minority 164
majority sunni and minority 54
majority which had rejected 108
majority which was required 42
majority women and children 154
majority would not consider 49
majority would not tolerate 95
malicious calms and currents 61
malicious which are recorded 48
mammalian cells and evidence 45
mammalian cells and therefore 61
mammalian cells that untwists 65
mammalian cells with chemical 106
mammalian hosts and microbial 48
mammalian order that includes 82
managers build and maintain 41
managers could not possibly 79
managers create and maintain 54
managers first and foremost 98
managers working for japanese 165
managers would not consider 62
manfully share his disgrace 41
manifest error hath happened 157
manifest first and foremost 133
manifest signs and symptoms 1074
manifest social and economic 91
manifold social and cultural 99
manifold social and economic 530
manpower needs for economic 104
marginal costs and benefits 6912
marginal costs and marginal 3144
marginal costs and revenues 737
marginal costs and therefore 135
marginal costs are affected 48
marginal costs are constant 1755
marginal costs are positive 208
marginal costs are relevant 67
marginal costs with marginal 285
marginal notes and additions 93
marginal notes and comments 444
marginal notes and regulate 43
marginal notes are included 46
marginal readings and parallel 51
marginal social and cultural 46
marginal social and economic 282
marginal social and marginal 245
marginal social net products 732
marginal value and marginal 229
maritime claim for purposes 52
maritime power and commerce 132
maritime towns and counties 108
maritime towns and villages 108
maritime towns was required 67
maritime trade and commerce 371
markedly lower than expected 55
marketed goods and services 1634
marriages where both partners 328
marriages which are actually 56
marriages which are declared 51
marriages which are regarded 41
marriages which may hereafter 54
massacre which had occurred 79
massacre women and children 355
massacring women and children 309
materials costs are assigned 51
materials could not possibly 69
materials found and provided 85
materials growth and processing 100
materials price and quantity 529
materials rather than finished 418
materials rather than imported 40
materials rather than materials 41
materials rather than recycled 83
materials testing and analysis 64
materials under this contract 54
materials which are absorbed 183
materials which are abundant 95
materials which are actually 182
materials which are affected 79
materials which are believed 66
materials which are combined 81
materials which are commonly 419
materials which are composed 111
materials which are consumed 244
materials which are conveyed 42
materials which are designed 316
materials which are destined 59
materials which are directly 148
materials which are disposed 68
materials which are employed 437
materials which are entirely 76
materials which are essential 718
materials which are expected 110
materials which are exported 68
materials which are imported 232
materials which are included 227
materials which are initially 52
materials which are intended 250
materials which are involved 114
materials which are normally 488
materials which are obtained 167
materials which are obviously 64
materials which are otherwise 122
materials which are oxidized 59
materials which are partially 50
materials which are permeable 48
materials which are possible 75
materials which are potential 42
materials which are prepared 251
materials which are probably 76
materials which are produced 700
materials which are provided 272
materials which are received 49
materials which are recycled 42
materials which are referred 64
materials which are regarded 71
materials which are relevant 295
materials which are required 967
materials which are selected 92
materials which are somewhat 155
materials which are specially 61
materials which are suitable 708
materials which are supplied 273
materials which are supposed 131
materials which are unstable 57
materials which are utilized 140
materials which are valuable 106
materials which can withstand 332
materials which each organism 40
materials which had formerly 73
materials which his industry 42
materials which may otherwise 40
materials which may possibly 44
materials which she required 77
materials which they consider 48
materials which they employed 171
materials which they produced 52
materials which they required 55
maternal blood and placenta 97
maternal liver and excreted 83
maternal pride and affection 101
maternal pride and fondness 53
maternal rather than paternal 1074
maternal rather than sisterly 42
maternal signs and symptoms 83
maternal smoking and increased 54
maternal thinking and practice 237
maternal uncle and maternal 119
maternal uncle and paternal 186
maternal warmth and affection 107
matrices which are functions 41
matrices which are obtained 52
mattered first and foremost 84
maturity dates and interest 208
maturity model for software 255
maximize gains and minimize 573
maximize growth and minimize 47
maximize learning and minimize 76
maximize rather than minimize 314
maximize rather than optimize 51
maximize sales and minimize 94
maximize social and economic 111
maximize speed and minimize 64
maximize total net benefits 82
maximize value and minimize 73
maximize winning and minimize 86
maximize yield and minimize 86
maximizing gains and minimizing 324
maximizing price and quantity 1440
maximizing rather than minimizing 243
maximizing sales and minimizing 60
maximizing social and economic 92
maximums rather than minimums 45
mechanic plies his ceaseless 49
medicine could not possibly 58
medicine rather than curative 51
medicine shows and circuses 40
medicine since its inception 64
medicine which was supposed 103
medieval craft and merchant 40
medieval epics and romances 94
medieval islam and medieval 40
medieval italy and flanders 48
medieval latin and sixteenth 166
medieval popes and emperors 49
medieval social and cultural 58
medieval social and economic 397
medieval social and religious 81
medieval spain and portugal 266
medieval times and probably 43
medieval towns and villages 262
medieval trade and commerce 48
medieval trade and industry 44
membrane above and parallel 43
membrane binding and receptor 102
membrane bound and secreted 77
membrane lined with columnar 154
membrane pumps and channels 47
membrane where they interact 51
membrane which are attached 43
membrane which are involved 41
memorials which are intended 57
memories which are recalled 45
memorize facts and formulas 53
memorizing facts and formulas 56
memorizing poetry and nonsense 157
mentally alert and vigorous 52
mentally healthy and mentally 132
mentally unfit for military 193
mentioned above and consider 98
mentioned above and elicited 43
mentioned above and included 42
mentioned above and includes 120
mentioned above and possibly 136
mentioned above and probably 172
mentioned above and provided 86
mentioned above and provides 73
mentioned above and therefore 402
mentioned above are accepted 114
mentioned above are achieved 46
mentioned above are actually 388
mentioned above are adequate 84
mentioned above are affected 48
mentioned above are apparent 90
mentioned above are believed 158
mentioned above are combined 291
mentioned above are commonly 216
mentioned above are compared 200
mentioned above are composed 132
mentioned above are confined 40
mentioned above are designed 285
mentioned above are directed 83
mentioned above are directly 210
mentioned above are employed 222
mentioned above are entirely 129
mentioned above are entitled 86
mentioned above are essential 353
mentioned above are examined 70
mentioned above are examples 679
mentioned above are excluded 116
mentioned above are expected 102
mentioned above are followed 105
mentioned above are included 860
mentioned above are intended 232
mentioned above are involved 213
mentioned above are normally 114
mentioned above are observed 138
mentioned above are obtained 337
mentioned above are obviously 236
mentioned above are overcome 96
mentioned above are possible 214
mentioned above are probably 471
mentioned above are produced 232
mentioned above are provided 103
mentioned above are recorded 119
mentioned above are referred 195
mentioned above are regarded 184
mentioned above are relevant 341
mentioned above are replaced 48
mentioned above are reported 63
mentioned above are required 306
mentioned above are situated 154
mentioned above are somewhat 141
mentioned above are standard 60
mentioned above are strictly 109
mentioned above are suitable 284
mentioned above are supposed 67
mentioned above are therefore 185
mentioned above are utilized 40
mentioned above has recently 46
mentioned above has resulted 60
mentioned above may indicate 132
mentioned above may possibly 40
mentioned above may therefore 59
mentioned above was actually 51
mentioned above was designed 85
mentioned above was followed 82
mentioned above was included 64
mentioned above was intended 75
mentioned above was observed 65
mentioned above was obtained 78
mentioned above was prepared 56
mentioned above was probably 201
mentioned above was reported 41
mentioned could not possibly 50
mentioned first and foremost 365
mentioned goods and chattels 138
mentioned lands and premises 62
mentioned rules are complied 55
mentioned signs and symptoms 237
mentioned social and economic 64
mentioned under this category 63
merchant banking and financial 96
merchant banks and discount 429
merchant banks and financial 119
merchant banks are required 51
merchant could not possibly 55
merchant fleet has increased 109
merchant fleet was expanded 41
merchant looks for fidelity 104
merchant seamen and merchant 53
merchant seamen and officers 169
merchant ships and aircraft 100
merchant ships and captured 47
merchant ships and colliers 42
merchant ships and frigates 65
merchant ships and merchant 56
merchant ships and passenger 311
merchant ships and warships 1746
merchant ships with impunity 60
mercuric iodide and mercuric 76
mercuric iodide and metallic 123
mercuric oxide and graphite 125
mercuric oxide and mercuric 43
merriest quips and conceits 188
messages about new products 43
messages given and received 197
messages which are conveyed 121
messages which are exchanged 127
messages which are intended 83
messages which are received 169
messages which are relevant 42
messages which she received 71
messages which they received 40
messages which they transmit 142
messenger about his business 41
metallic bases and hydrogen 49
metallic money for internal 90
metallic salts are powerful 42
metaphor draws our attention 52
metaphor rather than metonymy 122
methylene azure and methylene 69
