maces danced before him 273
magic circle around her 84
magic circle around him 61
magic circle around them 82
magic shadow shapes that 66
magic trance manual for 79
mails meekly through this 59
maize plants treated with 45
major access points for 50
major allied powers had 55
major animal groups are 71
major auction houses and 87
major auction houses are 71
major breeding ground for 371
major building blocks and 73
major building blocks are 113
major building blocks for 336
major building blocks that 139
major carbon source for 192
major cardiac events and 47
major cardiac events was 49
major causal factor for 158
major changes before they 54
major changes except for 41
major changes should not 66
major cities showed that 151
major credit bureaus and 159
major credit bureaus are 91
major credit bureaus that 109
major deciding factor for 173
major design changes and 89
major design changes are 95
major design changes that 106
major design factor for 41
major design issues and 47
major design issues are 46
major design issues for 58
major design issues that 46
major device number and 71
major eastern cities and 69
major energy source and 199
major energy source for 1828
major energy source that 114
major energy source was 47
major ethical issues and 58
major ethical issues are 60
major ethical issues for 49
major ethical issues that 348
major ethical theories and 87
major ethical theories that 101
major export center for 42
major export market and 102
major export market for 652
major factor behind his 76
major factor behind its 110
major factor behind this 704
major factor limiting its 81
major factor limiting long 40
major findings showed that 91
major forces behind this 200
major french cities and 55
major german cities and 140
major german cities had 47
major global issues and 44
major income source for 269
major island groups and 47
major issues before they 53
major issues raised and 65
major italian cities and 148
major lesson learned was 72
major limiting factor and 91
major limiting factor for 1563
major limiting factor has 42
major limiting factor that 101
major limiting factor was 124
major limiting factor with 117
major market center for 133
major market outlet for 79
major middle eastern and 53
major middle eastern oil 212
major motive behind this 68
major muscle groups and 949
major muscle groups are 371
major muscle groups can 96
major muscle groups for 131
major muscle groups that 444
major muscle groups two 54
major muscle groups with 77
major nuclear powers and 137
major nuclear powers are 159
major nuclear powers had 51
major office building and 74
major policy changes and 372
major policy changes are 416
major policy changes but 52
major policy changes can 68
major policy changes for 62
major policy changes may 43
major policy changes that 844
major policy changes with 68
major policy issues and 848
major policy issues are 326
major policy issues but 53
major policy issues for 207
major policy issues had 40
major policy issues that 1194
major policy issues with 105
major policy options and 44
major policy options are 41
major policy options for 74
major policy options that 113
major policy shifts and 101
major policy shifts are 60
major policy shifts that 131
major powers agreed that 119
major powers should not 97
major profit center for 210
major public building was 48
major public events and 108
major public events that 90
major public figure and 64
major public figure who 64
major public issues and 112
major public issues are 42
major public issues that 43
major public policy and 81
major public policy for 40
major public school and 42
major rallying points for 50
major reasons behind this 155
major record labels and 355
major record labels are 126
major record labels had 94
major record labels that 112
major reform effort was 67
major retail chains and 105
major retail outlet for 83
major retail stores and 87
major russian cities and 100
major second higher than 158
major section begins with 98
major shipping center for 166
major shipping routes and 78
major shopping center and 130
major shopping center for 131
major shopping center was 40
major shopping center with 68
major source regions for 94
major soviet cities and 76
major spawning ground for 151
major speech before his 44
major sporting events and 833
major sporting events are 358
major sporting events can 44
major sporting events for 65
major sporting events that 111
major sports events and 262
major sports events are 107
major sports leagues and 61
major starting points for 131
major sticking points was 41
major stress factor for 84
major summer resort area 45
major supply center for 240
major supply source for 99
major target groups for 74
major target market for 71
major target organs are 61
major target organs for 150
major target tissue for 71
major training center for 310
major training ground for 449
major training school for 42
major tribal groups and 73
major tribal groups are 78
major united states air 51
major united states and 302
major united states oil 90
major version number and 149
makes annual awards for 58
makes another outcry for 59
makes better coffee than 138
makes curious swoops and 66
makes enough stuffing for 53
makes greater claims for 51
makes humans unique and 41
makes itself ground for 47
makes itself humble and 48
makes itself suffer out 82
makes larger claims for 41
makes little demand for 119
makes little direct use 61
makes little headway with 90
makes neither profit nor 79
makes public policy and 40
makes someone better off 442
makes something happen that 46
makes sounds louder and 40
makes strange noises and 42
makes twenty fables with 193
makes virtue hideous and 59
males almost always are 46
males mature earlier than 48
males scored higher than 431
mamma should detect him 58
manly little fellow and 51
march across europe and 234
march across france and 131
march further without his 40
march further without them 43
march through england and 96
march through europe and 154
march through forest and 157
march through france and 220
march through france with 44
march through hungary and 160
march through poland and 78
march through swamps and 225
march toward greater and 85
march without carrying any 131
marks placed before and 57
marry another person and 60
marry another person who 84
marry another person with 45
marry another without his 40
marry anyone unless she 49
marry anyone unless you 89
marry someone younger than 43
match burned itself out 110
maxim amongst states and 67
maybe another newton may 55
mayst obtain pardon for 86
meadow opened before them 78
meanly sexual emotion this 51
medial border second rib 120
median annual income for 1291
median annual income per 50
median annual income was 304
median annual salary for 945
median annual salary was 109
median family income and 1641
median family income are 208
median family income did 51
median family income does 67
median family income for 4340
median family income had 281
median family income has 570
median family income per 68
median family income than 158
median family income that 369
median family income was 3344
median family income with 59
median income higher than 49
median income levels and 75
median income levels are 45
median income levels for 72
median monthly income for 101
median monthly income was 97
median sacral artery and 182
median starting salary for 590
median weekly income for 87
median weekly income was 46
median weekly salary for 94
meeting another person for 52
meeting clearly showed that 42
meeting closed without any 71
meeting future demand for 75
meeting lasted almost two 55
meeting market demand for 51
meeting public demand for 169
meeting should ensure that 42
meeting showed clearly that 47
meets another person who 48
melting points greater than 61
melting points higher than 488
merit neither praise nor 277
merit special mention and 121
merit special mention are 194
merit special mention for 384
merit system should not 49
merry little fellow who 42
metal barrel filled with 48
metal basket filled with 102
metal bucket filled with 159
metal collar around her 54
metal collar around his 211
metal plates coated with 275
metal sleeve coated with 60
metal sphere filled with 140
metal spikes sticking out 58
metal trough filled with 46
metal vessel filled with 211
metal window frames and 527
metal window frames are 99
meteor shower reaches its 186
method always begins with 46
method always starts with 49
method appears useful for 40
method better suited for 60
method bishop butler has 74
method ideally suited for 98
method itself should not 46
method proved useful for 83
method public static int 124
method should ensure that 234
method worked better than 78
method yields values for 66
method yields values that 48
methyl groups needed for 57
might accept without any 47
might accord better with 64
might affect demand for 71
might afford ground for 374
might afford matter for 236
might almost affirm that 415
might almost assert that 534
might almost assume that 376
might almost expect that 240
might almost forget that 309
might almost regard him 91
might almost regard them 49
might almost wonder that 134
might always choose men 46
might always oppose any 87
might always remain with 65
might answer better than 45
might arrive before his 58
might arrive before she 40
might arrive before they 71
might arrive earlier than 41
might arrive sooner than 77
might assert itself and 70
might assume further that 43
might assume instead that 103
might assure myself that 96
might attend school and 47
might attend school for 46
might become active and 66
might become allied with 48
might become anxious and 119
might become better and 252
might become better off 44
might become better than 59
might become clearer and 80
might become coarse and 62
might become coated with 190
might become engaged with 41
might become famous and 66
might become famous for 73
might become filled with 179
might become fitted for 145
might become gentle and 41
might become greater than 168
might become imbued with 160
might become jealous and 101
might become larger and 61
might become larger than 83
might become models for 64
might become obvious that 61
might become public and 118
might become richer and 49
might become rimmed with 133
might become serious and 57
might become something that 41
might become united with 56
might become useful and 138
might become useful for 124
might become violent and 129
might better accord with 85
might better assume that 88
might better attend his 215
might better direct and 47
might better employ his 56
might better enable them 55
might better enable you 131
might better realize that 44
might choose another way 63
might choose someone who 43
might choose whether they 112
might circle around and 46
might commit murder for 63
might commit murder with 49
might debate whether this 59
might decide whether they 169
might decide whether you 45
might defend myself with 135
might divert myself with 109
might elapse before any 177
might elapse before his 159
might elapse before she 85
might elapse before that 64
might elapse before they 316
might elapse before this 125
might elapse without any 46
might employ itself and 43
might escape through his 66
might escape through them 46
might escape without any 50
might escape without being 40
might excite regret that 43
might expect almost any 41
might expect better things 172
might expect should they 131
