macro levels of society 337
madly across the country 42
madly through the country 40
madly through the streets 684
madly through the vaulted 40
madly through the village 66
madly toward the village 112
magic beyond the duration 60
magic chains the listening 41
magic circle of hellish 48
magic circle or mandala 134
magic number of nucleons 89
magic number of protons 174
magic powers of certain 49
magic realism of gabriel 55
magic seemed to proceed 47
magma reached the surface 462
magma reaches the surface 1008
magma toward the surface 119
maids should be allowed 46
mails should be carried 291
mails should be removed 167
mains should be avoided 46
mains through the streets 135
maize plants in relation 107
maize should be planted 182
major abuses of animals 60
major actions of insulin 79
major allies in western 43
major artery of traffic 40
major aspect of african 61
major aspect of british 59
major aspect of chinese 95
major aspect of culture 150
major aspect of current 78
major aspect of european 67
major aspect of foreign 74
major aspect of language 163
major aspect of marketing 47
major aspect of national 129
major aspect of popular 69
major aspect of quality 110
major aspect of research 103
major aspect of society 58
major attack on america 69
major attack on poverty 73
major attack on western 46
major avenue of research 85
major battle in vietnam 128
major blocks of material 376
major bodies of research 75
major branch of physics 80
major branch of research 45
major branch of science 228
major burden of defense 47
major burden of financing 378
major burden of preparing 51
major burden of providing 179
major burden of support 74
major burden of taxation 149
major causes of absence 41
major causes of anxiety 111
major causes of behavior 45
major causes of burnout 50
major causes of chronic 412
major causes of concern 242
major causes of deafness 130
major causes of decline 143
major causes of declining 50
major causes of defects 53
major causes of delayed 98
major causes of dementia 246
major causes of diseases 89
major causes of dispute 63
major causes of divorce 238
major causes of failure 1193
major causes of fatigue 144
major causes of friction 215
major causes of illness 784
major causes of increasing 60
major causes of insomnia 59
major causes of marital 149
major causes of neonatal 194
major causes of obesity 179
major causes of popular 46
major causes of poverty 1018
major causes of present 42
major causes of primary 61
major causes of project 101
major causes of quality 58
major causes of reduced 212
major causes of species 60
major causes of strikes 145
major causes of student 104
major causes of suffering 142
major causes of suicide 107
major causes of traffic 94
major causes of trouble 109
major causes of urinary 46
major causes of variation 185
major causes of violence 162
major causes of vitamin 40
major center of african 40
major center of british 87
major center of chinese 144
major center of culture 155
major center of european 243
major center of finance 80
major center of foreign 66
major center of islamic 269
major center of medical 92
major center of national 40
major center of research 216
major center of spanish 137
major center of textile 50
major center of tourism 86
major changes in african 63
major changes in america 134
major changes in average 49
major changes in behavior 561
major changes in beliefs 50
major changes in britain 111
major changes in british 544
major changes in canadian 137
major changes in capital 271
major changes in catholic 44
major changes in central 205
major changes in certain 83
major changes in channel 87
major changes in chinese 156
major changes in climate 618
major changes in colonial 43
major changes in company 198
major changes in concept 49
major changes in content 426
major changes in control 131
major changes in culture 155
major changes in current 312
major changes in defense 152
major changes in density 61
major changes in dietary 105
major changes in economy 60
major changes in european 331
