major arms control treaty 169
major birth defects after 124
major early infarct signs 62
major health concern after 68
major health problem today 109
major health problem which 69
major news stories about 78
major risk factors which 71
major side effects noted 42
major side effects occur 102
major south african ports 52
major step forward since 100
major step forward which 55
major step forward would 158
major step towards creating 93
major step towards solving 87
major wars between israel 46
makes clear several times 43
makes even cowards brave 150
makes even enemies civil 227
makes good logical sense 81
makes good marketing sense 267
makes good medical sense 180
makes good musical sense 59
makes more logical sense 145
makes only limited sense 188
makes some comment about 178
makes some decision about 46
makes some logical sense 54
makes some remarks about 413
makes some remarks which 369
makes some smaller child 43
makes such perfect sense 136
makes their conduct still 118
makes these remarks about 69
makes your conduct worse 74
makes your passive frame 44
makes your praises worse 279
makes your program easier 124
makes your stomach churn 116
males over females which 55
mapping from variable names 43
march five hundred miles 172
march four hundred miles 119
march from atlanta began 60
march from milford haven 96
march into northern italy 48
march some fifteen miles 47
march their fifteen miles 49
march three hundred miles 285
march upon general grant 75
march your company round 49
marks into punched holes 173
marry early produce within 47
marry free believing women 98
marry some dreadful woman 62
marry some heretic either 41
marry their deceased wives 140
masking their designs under 54
masts were painted white 74
masts were visible above 278
match your previous grief 53
mates less exalted above 50
maybe even several times 85
maybe five hundred miles 65
maybe five hundred people 143
maybe five hundred times 89
maybe five hundred yards 136
maybe five minutes after 89
maybe five minutes later 146
maybe five thousand people 91
maybe four hundred miles 65
maybe four hundred people 67
maybe four hundred yards 137
maybe have stopped burning 46
maybe three hundred miles 66
maybe three hundred people 147
maybe three hundred yards 337
maybe three thousand people 72
maybe your husband would 56
maybe your parents would 53
meanings from context clues 105
meeting even familiar faces 56
meeting held shortly after 651
meeting held thursday evening 49
meeting last thursday evening 110
meeting next thursday evening 97
meeting next thursday night 54
meeting next tuesday night 111
meeting their capital needs 96
meeting their current needs 52
meeting their material needs 341
meeting their medical needs 42
meeting their operating costs 51
meeting their protein needs 43
meeting their welfare needs 42
meeting these criteria could 42
meeting these criteria would 187
meeting these demands would 124
meeting when maxwell spoke 41
meeting your protein needs 47
meets their current needs 83
meets your current needs 135
meets your present needs 61
meets your research needs 104
merit more careful study 100
merit very careful study 45
merry hour together while 43
merry made merrier still 42
metal banging against metal 101
metal into precious metal 135
method gave results which 199
method more cautious still 50
method once adopted shall 54
method uses present value 49
method were pursued which 105
midst cast ghostly gleams 53
might also depress wages 46
might also include items 40
might also include people 45
might also include under 64
might also inquire about 529
might also provide clues 142
might also qualify under 70
might also receive eight 49
might come between eight 51
might come together again 311
might come together under 51
might deem himself lucky 40
might dine together alone 44
might down stretch below 162
might even persist after 58
might feel awkward about 104
might feel happier about 50
might feel himself bound 133
might feel himself fully 64
might feel himself quite 42
might feel jealousy while 76
might feel nervous about 67
might feel strongly about 158
might feel worried about 47
might fill several pages 161
might find herself alone 293
might find herself drawn 49
might find herself faced 71
might find herself sitting 42
might find herself under 217
might find himself again 85
might find himself alone 143
might find himself bound 68
might find himself drawn 99
might find himself faced 147
might find himself given 43
might find himself holding 40
might find himself liable 139
might find himself looking 71
might find himself moved 46
might find himself playing 70
might find himself quite 60
might find himself short 50
might find himself sitting 78
might find himself thinking 65
might find himself under 593
might find himself working 144
might find shelter under 311
might give results which 47
might have accrued under 44
might have adopted either 45
might have adopted would 65
might have against others 49
might have appeared about 73
might have appeared after 140
might have appeared either 62
might have appeared first 64
might have appeared harsh 41
might have appeared queer 56
might have appeared quite 197
might have appeared rather 193
might have appeared under 148
might have appeared within 42
might have appeared worthy 41
might have arrayed nearly 131
might have arrived after 74
might have arrived while 65
might have assumed under 42
might have assumed would 128
might have avoided falling 41
might have avoided getting 145
might have avoided meeting 101
might have baffled every 44
might have behaved badly 48
might have behaved quite 53
might have behaved under 50
might have belonged either 145
might have blindly risen 40
might have boasted about 64
