made absolute lord of 54
made accurate maps of 95
made advances during the 112
made advances into the 114
made advances over the 50
made advances upon it 51
made advances upon the 140
made annually during the 136
made annually from the 256
made anywhere along the 184
made anywhere else in 815
made anywhere else on 46
made apparent during the 304
made apparent early in 57
made apparent even in 41
made apparent even to 161
made apparent from the 679
made apparent only by 218
made apparent only in 45
made apparent some of 47
made apparent when he 123
made apparent when it 165
made apparent when the 483
made apparent when we 224
made articles such as 262
made assaults upon the 166
made attempts during the 50
made attempts upon the 340
made australia what it 69
made barriers such as 262
made baseball bats in 40
made beautiful from the 55
made beautiful love to 44
made beautiful only by 58
made brutally clear by 82
made brutally clear in 111
made brutally clear to 93
made centered over the 112
made channels into the 47
made coherent only by 64
made comments along the 85
made comments during the 247
made comments like the 111
made comments such as 4485
made comments upon it 48
made comments upon the 257
made complete among us 371
made complete from the 82
made complete only by 453
made complete sets of 45
made complete when he 87
made complete when the 200
made complete when we 40
made concepts such as 104
made concerning some of 239
made concerning ways in 43
made concerning what is 208
made concerning what the 103
made concerning what to 134
made concrete only by 40
made concrete only in 42
made concrete when the 41
made conjuror from the 69
made conscious during the 338
made conscious only by 58
made contacts among the 79
made contingent upon an 597
made contingent upon it 73
made contingent upon the 11485
made converts among the 1655
made converts even in 49
made converts from the 101
made convincing only by 45
made credible only by 96
made criminal only by 53
made cultures from the 195
made dangerous only by 67
made decisions during the 199
made decisions from the 90
made decisions over the 40
made decisions such as 150
made defection from the 95
made definite only by 89
made depended upon the 92
made descents into the 40
made descents upon the 1894
made desolate amid the 228
made desolate even by 80
made detailed maps of 222
made deviations from the 65
made differed from the 45
made directly along the 77
made directly down the 52
made directly down to 91
made directly during the 72
made directly from an 262
made directly from it 255
made directly from the 29009
made directly into an 51
made directly into the 2509
made directly onto the 279
made directly over it 205
made directly over the 5649
made directly upon it 173
made directly upon the 1158
made disaster such as 155
made distinct from the 850
made divinity into an 56
made domestic life the 48
made dominant over the 52
made downward from the 112
made dramatic cuts in 51
made education free in 104
made elements such as 205
made elizabeth think of 53
made elizabeth want to 68
made enormous sums by 82
made enormous sums of 270
made entirely clear by 377
made entirely clear in 365
made entirely clear the 69
made entirely clear to 297
made entirely free of 126
made entirely free to 85
made entirely from the 1575
made entirely over to 40
made entirely upon the 159
made entrance into the 542
made entrance upon the 44
made everyone eager to 113
made everyone else do 59
made everyone else in 437
made everyone fall in 91
made everyone feel as 247
made everyone feel at 733
made everyone feel so 89
made everyone feel the 109
made everyone leave the 118
made everyone look at 356
made everyone look up 315
made everyone think he 213
made everyone think of 84
made everyone turn to 83
made everyone want to 923
made excerpts from it 95
made excerpts from the 210
made explicit during the 447
made explicit early in 98
made explicit early on 74
made explicit even in 52
made explicit from the 562
made explicit here by 50
made explicit here in 52
made explicit here is 94
made explicit many of 127
made explicit note of 59
made explicit only at 53
made explicit only by 166
made explicit only in 1054
made explicit prior to 85
made explicit some of 275
made explicit there is 48
made explicit what he 151
made explicit what in 48
made explicit what is 239
made explicit what it 69
made explicit what the 348
made explicit when he 322
made explicit when it 84
made explicit when the 658
made explicit when we 141
made extracts from it 389
made extracts from the 1932
made forthcoming when it 53
made fortunes during the 673
made fortunes from it 107
made fortunes from the 1370
made frequent note of 48
made fruitful from the 85
made fruitful only by 94
made furiously angry by 46
made garments from the 63
made garments such as 42
made governor over the 250
made grimaces like the 80
made habitats such as 286
made harmless only by 40
made headlines back in 50
made headlines during the 599
made headlines over the 87
made headlines when he 2074
made headlines when it 835
made headlines when the 331
made hereafter will be 69
made homeless during the 158
made homeless when the 63
made humanity what it 86
made incisions into the 119
made initially from the 57
made integral part of 237
made involves making an 55
made jeroboam their king 368
made journeys among the 58
made journeys into the 328
made landfall along the 181
made landfall north of 41
made landfall over the 72
made landfall south of 69
made lengthwise along the 51
made literate during the 98
made machines such as 98
made manifest also by 89
made manifest also in 263
made manifest among the 171
made manifest among us 506
made manifest during the 562
made manifest even by 113
made manifest even in 171
made manifest even to 215
made manifest from the 1207
made manifest only by 580
made manifest only in 714
made manifest only to 206
made manifest over the 76
made manifest unto me 125
made manifest unto the 190
made manifest unto us 205
made manifest upon the 328
made manifest what is 64
made manifest what we 679
made manifest when he 181
made manifest when it 133
made manifest when the 642
made manifest when we 213
made margaret look at 57
made margaret think of 68
made materials such as 1237
made materials used in 102
made materials used to 93
made metaphor seem to 43
made missteps along the 96
made mistakes along the 921
made mistakes during the 336
made mistakes early in 42
made mistakes even in 119
made mistakes from the 56
made mistakes just as 91
made mistakes like the 40
made mistakes over the 115
made mistakes such as 211
made mistakes when he 143
made mistakes when it 87
made mistakes when the 59
made mistakes when we 58
made obsolete many of 173
made obsolete most of 69
made obsolete much of 181
made obsolete some of 88
made obsolete when the 58
made patently clear by 97
made patently clear in 117
made patently clear to 93
made patterns upon the 45
made payments during the 66
