mad design concerning me 51
man almost answered my 47
man almost entirely by 41
man already advanced in 326
man already believes in 52
man already dominant to 47
man already mentioned as 257
man already mentioned in 71
man already referred to 215
man always inclined to 53
man always insisted on 105
man always referred to 57
man always suppress the 60
man athirst supposes to 52
man became absorbed in 76
man became addicted to 54
man became attached to 116
man became conscious of 1091
man became divested of 88
man became enamored of 43
man became entitled to 72
man became involved in 399
man become conscious of 396
man become entangled in 43
man become involved in 49
man becoming conscious of 221
man before attempting to 118
man before proceeding to 48
man before referred to 101
man begins seriously to 58
man belongs entirely to 49
man better deserved it 47
man better deserved the 82
man better deserved to 58
man better entitled to 155
man better equipped to 273
man busily employed in 89
man called attention to 147
man deemed essential to 49
man deeply absorbed in 81
man deeply affected by 106
man deeply attached to 189
man deeply conscious of 114
man deeply engrossed in 71
man deeply immersed in 378
man deeply involved in 560
man deeply troubled by 97
man engaged earnestly to 59
man enters business or 59
man failed entirely on 49
man farther advanced in 42
man firmly attached to 83
man firmly believes in 44
man firmly resolved to 60
man gladly accepted the 94
man glance curiously at 66
man greatly advanced in 42
man greatly esteemed by 100
man greatly esteemed in 67
man hardly professing to 43
man heavily involved in 58
man highly esteemed by 463
man highly esteemed in 320
man highly obnoxious to 60
man highly regarded by 150
man highly regarded in 115
man indeed deserves the 200
man justly complain of 47
man killed hereafter is 56
man little inclined to 147
man looked anxiously at 70
man looked curiously at 206
man looked directly at 375
man looked dubiously at 52
man looked earnestly at 96
man looked fiercely at 43
man looked intently at 156
man looked ruefully in 123
man looked shrewdly at 63
man looked sideways at 94
man looked silently at 43
man looked squarely at 46
man looked straight at 349
man looked strangely at 46
man merely regarded the 45
man passes judgment on 49
man rarely succeeds in 45
man readily accepted the 61
man readily promised to 43
man scarce suffices to 44
man seemed absorbed in 137
man seemed actually to 49
man seemed destined to 113
man seemed disposed to 207
man seemed hesitating on 42
man seemed inclined to 331
man seemed oblivious to 223
man seemed prepared to 74
man seemed relieved to 103
man seemed resolved to 114
man seemed scarcely to 65
man seemed startled by 48
man seemed suddenly to 254
man seldom receives in 43
man should actually be 88
man should actually do 87
man should approach the 177
man should approach to 442
man should arrogate to 48
man should challenge me 63
man should complain of 94
man should complete the 44
man should conceive of 242
man should conceive so 50
man should consider as 111
man should consider it 120
man should consider the 512
man should continue in 177
man should continue to 740
man should discover the 69
man should disprove to 53
man should dominate the 52
man should exercise the 137
man should hesitate to 251
man should likewise be 51
man should maintain an 40
man should maintain the 59
man should meditate on 170
man should minister to 88
man should overcome the 57
man should perceive the 45
man should preserve the 50
man should properly be 75
man should publicly in 41
man should remember the 144
man should renounce the 110
man should restrain the 47
man should struggle to 49
man should therefore be 190
man showed evidence of 49
man showed interest in 102
man showed symptoms of 87
man spends lavishly on 225
man spends whatever he 156
man standing alongside of 65
man standing alongside the 105
man standing directly in 204
man standing opposite me 62
man standing opposite the 70
man standing opposite to 163
man standing outlined in 49
man stared directly at 41
man stared intently at 110
man stared silently at 59
man stared straight at 69
man taught otherwise in 65
man turned abruptly to 72
man turned fiercely to 115
man turned sideways in 87
man turned slightly to 70
man unless cornered or 47
man walked directly to 57
man walked straight to 123
man walked straight up 290
man warmly attached to 57
man wholly absorbed in 136
man wholly deprived of 51
man wholly ignorant of 150
man wholly immersed in 44
man widely believed to 179
man widely regarded as 962
man without attempting to 61
man without children is 192
man without children of 55
man without children or 45
man without children to 43
man without consulting the 49
man without destroying the 99
man without education is 109
man without education or 141
man without elegance of 104
man without evidence of 143
man without exception is 76
man without exception to 55
man without interest in 52
man without machines or 48
man without property in 54
man without property is 99
man without property or 58
man without recourse to 102
man without scruples or 54
man without solidity of 53
map already referred to 148
map before referred to 40
map series produced by 48
map should indicate the 78
map should therefore be 50
math skills required to 51
may accept delivery of 318
may accept deposits of 83
may accept donations of 48
may accept evidence of 94
may accept property in 300
may accept referral of 41
may accrue directly to 72
may accrue therefrom to 68
may adduce evidence in 140
may adduce evidence of 176
may adduce evidence to 137
may adhere strictly to 133
may advise concerning the 109
may advise patients to 43
may affect accuracy of 93
may affect business in 67
may affect children as 58
may affect children in 104
may affect children of 101
may affect children or 60
may affect decisions in 60
may affect decisions on 80
may affect decisions to 99
may affect directly or 134
may affect directly the 249
may affect education in 48
may affect everyone in 48
may affect evidence of 216
may affect exposure to 44
may affect formation of 43
may affect functioning in 89
may affect hundreds of 103
may affect hundreds or 41
may affect markedly the 83
may affect operation of 59
may affect outcomes in 59
may affect outcomes of 52
may affect patients of 125
may affect patterns of 342
may affect progress in 49
may affect property of 175
may affect questions of 43
may affect response to 233
may affect selection of 113
may affect seriously the 190
may affect slightly the 54
may affect somewhat the 94
may affect students in 70
may affect survival of 88
may affect thousands of 159
may affect thousands or 65
may affirm publicly the 43
may afford evidence as 146
may afford evidence of 927
may afford interest to 66
may allude directly to 54
may almost challenge the 43
may almost consider it 127
may almost consider the 171
may almost describe as 137
may almost disappear in 89
may almost entirely be 76
may already indicate the 52
may already perceive the 67
may always alleviate the 109
may always approach the 44
may always consider the 169
may always continue as 45
may always continue in 153
may always continue so 114
may always continue the 43
