mad royalist howled and 55
man abruptly turned and 47
man acquires through his 85
man actually thought her 57
man actually thought that 98
man advanced toward her 41
man advanced toward him 57
man advanced toward them 52
man believes something for 42
man collecting bricks and 54
man conquers nature and 98
man crouched beside her 58
man crouched beside him 83
man deserved better than 60
man deserves better than 66
man deserves credit for 92
man deserves praise for 46
man diffuses around him 71
man directly behind her 99
man directly behind him 184
man earnestly adjuring you 44
man educated beyond his 112
man equipped merely with 66
man everyone thought was 57
man followed behind her 63
man mentioned earlier who 62
man muttered something and 213
man obviously marked out 46
man otherwise shrewd and 51
man possessing talent with 65
man probably thought she 52
man probably thought that 172
man proceeds toward his 64
man produces reality and 66
man punished without any 45
man receives through his 42
man remained silent and 172
man remained silent for 356
man remained standing and 59
man remained standing for 40
man reserves something for 104
man righteous before god 240
man scarcely opened his 82
man secretly wished that 57
man singularly fitted for 115
man slightly marked with 41
man slightly taller than 74
man slightly younger than 100
man somewhat absurd than 189
man somewhat taller than 113
man somewhat younger than 190
man specially fitted for 45
man squatted beside him 44
man straight before him 1220
man struggling upward and 76
man suddenly appears and 51
man suddenly called out 73
man suddenly changed his 56
man suddenly darted out 45
man suddenly jumped out 46
man suddenly lifted his 64
man suddenly opened his 124
man suddenly pulled out 44
man suddenly raised his 164
man suddenly rushed out 114
man suddenly struck with 179
man suddenly turned and 149
man suddenly turned his 77
man suggesting solemn and 81
man therefore should ask 64
man therefore should not 40
man whistled through his 105
map attached hereto and 84
map connecting places with 59
map connecting points that 41
may actively resist any 50
may actually become ill 45
may actually coexist with 45
may actually exceed that 523
may actually happen that 182
may actually hinder its 76
may actually hinder our 47
may actually prefer that 117
may actually prefer this 44
may actually reduce his 49
may actually reduce its 81
may actually reduce our 54
may advocate sudden and 89
may allocate income and 48
may approach calmly and 76
may approach without fear 54
may assemble around his 120
may associate freely with 65
may associate itself with 314
may authorize cities and 46
may bitterly regret that 53
may casually mention that 59
may commence without any 45
may conceive better than 67
may conceive strewn with 61
may conclude almost with 57
