madly brought itself into 50
magic differs widely from 50
magic lantern slides were 53
major adverse events were 69
major battles fought during 66
major canadian cities have 51
major chinese cities such 52
major coastal cities such 74
major colonial powers were 113
major european cities during 69
major european cities from 44
major european cities have 95
major european cities such 97
major european cities were 68
major european cities will 60
major european nations have 71
major european nations were 129
major european powers came 40
major european powers during 68
major european powers from 82
major european powers have 65
major european powers into 102
major european powers such 57
major european powers were 847
major european states have 55
major european states were 173
major factors behind their 49
major factors behind these 48
major factors entering into 103
major federal actions having 177
major foreign policy aims 46
major foreign policy coup 62
major foreign policy goal 411
major foreign policy move 159
major foreign policy task 52
major foreign policy tool 55
major impetus behind these 40
major insight gained from 46
major language groups have 50
major language groups were 62
major lessons emerge from 58
major lessons learned during 57
major lessons learned from 388
major national debate over 42
major national events such 55
major national issues such 57
major national mental health 41
major national public health 51
major parties became more 149
major problem arises from 592
major problem arises when 521
major problem exists when 55
major problem occurs when 250
major problem stemming from 87
major product formed from 62
major question arises from 46
major regional powers such 54
major research effort into 79
major research effort will 42
major research findings from 46
major research grants from 107
major research methods used 113
major stumbling blocks have 45
major stumbling blocks were 98
major subject matter areas 179
major surgery should have 60
major welfare reform bill 99
major western nations have 68
major western nations were 60
major western powers have 181
major western powers were 207
makes certain claims upon 475
makes everything depend upon 114
makes friends without half 245
makes himself humble like 47
makes himself scarce when 56
makes ireland depend upon 178
makes several passes over 153
makes several points clear 85
makes trained horses draw 41
manly outdoor sports such 105
manor extends itself over 103
march phantom armies along 54
masts erectly poised upon 60
maybe someday someone will 68
meanings differing greatly from 53
meeting quickly turned into 228
meeting resolve itself into 53
melting together quartz sand 46
metal collars around their 41
method betrays itself along 222
method depends heavily upon 46
method depends mainly upon 110
method depends partly upon 51
method differs greatly from 93
method differs little from 149
method finally agreed upon 41
methyl mercury through fish 137
might absolve states from 115
might address issues such 72
might attempt something like 53
might believe something else 42
might benefit greatly from 392
might commend itself even 42
might contain something like 96
might contain something more 57
might contain something worth 41
might convert itself into 82
might develop itself into 59
might endanger public health 226
might equally result from 72
might examine whether there 114
might examine whether those 80
might execute before there 86
might express myself much 126
might finally settle down 136
might himself obtain from 53
might include actions such 53
might include issues such 117
might include something like 283
might include topics such 137
might inflict injury upon 40
might inquire further into 49
might inquire whether there 95
might inspire horror into 42
might involve little more 82
might involve something like 85
might involve something more 72
might jointly pursue what 92
might largely depend upon 55
might meantime arrive from 42
might naively expect from 41
might perhaps afford some 62
might perhaps already have 73
might perhaps better call 110
might perhaps better have 608
might perhaps depend upon 67
might perhaps derive from 56
might perhaps derive some 43
might perhaps differ from 72
might perhaps expect from 157
might perhaps expect some 59
might perhaps induce some 44
might perhaps induce young 94
might perhaps obtain from 43
