mad monk rasputin . 41
man among children . 47
man crew survived . 152
man died suddenly . 106
man during exercise . 225
man ever achieved . 276
man ever approved . 51
man ever imagined . 75
man ever invented . 234
man ever produced . 93
man ever received . 208
man ever returned . 66
man ever suffered . 51
man facing execution . 59
man fell backward . 104
man find salvation . 46
man from anywhere . 46
man from arkansas . 122
man from australia . 138
man from barbados . 49
man from birmingham . 131
man from brooklyn . 143
man from calcutta . 47
man from colorado . 63
man from cornwall . 88
man from damnation . 71
man from disaster . 45
man from dishonor . 81
man from eternity . 145
man from execution . 68
man from illinois . 364
man from kentucky . 126
man from louisiana . 183
man from macedonia . 108
man from maryland . 61
man from michigan . 122
man from missouri . 740
man from nebraska . 86
man from oklahoma . 112
man from palmella . 43
man from paradise . 594
man from politics . 116
man from provence . 42
man from salvation . 49
man from scotland . 89
man from sickness . 41
man from trinidad . 57
man from upstairs . 51
man from washington . 276
man gets restless . 47
man having authority . 64
man here american . 44
man into activity . 302
man into confusion . 42
man into darkness . 42
man into eternity . 214
man into superman . 81
man just mentioned . 118
man just shrugged . 113
man last employed . 40
man like beethoven . 73
man like bismarck . 46
man like buchanan . 54
man like falkland ? 42
man like lawrence . 53
man like nostromo . 74
man like socrates . 59
man like voltaire . 50
man like washington . 163
man like yourself ! 1893
man live nowadays ? 51
man living deserves . 40
man lost interest . 55
man lost patience . 62
man made manifest . 153
man made materials . 44
man means business . 145
man meant business . 240
man more directly . 92
man more ignominy . 40
man more mistaken . 110
man must consider . 42
man must disappear . 76
man must overcome . 67
man must struggle . 59
man only excepted . 90
man only shrugged . 102
man react normally ? 50
man said abruptly . 182
man said accusingly . 55
man said admiringly . 59
man said agreeably . 43
man said anxiously . 60
man said bitterly . 343
man said brightly . 87
man said casually . 148
man said cheerily . 49
man said defiantly . 95
man said dubiously . 58
man said earnestly . 226
man said fiercely . 77
man said gloomily . 69
man said grudgingly . 56
man said grumpily . 44
man said hoarsely . 195
man said modestly . 46
man said politely . 268
man said promptly . 65
man said seriously . 215
man said severely . 43
man said solemnly . 178
