major cell type responsible 44
major dams were constructed 45
major health care institutions 122
major health care organization 50
makes even more problematic 42
makes even more significant 186
makes good these declarations 80
makes life less complicated 174
makes life more comfortable 659
makes life more complicated 522
makes life more predictable 60
makes life very complicated 69
makes some fine distinctions 45
makes some good observations 91
makes some just observations 41
makes some very significant 69
makes such hazy terminology 43
makes very clear distinctions 59
males from other communities 110
males from their territories 65
males having been continually 128
males were more intelligent 41
males were more susceptible 148
mapping from aerial photographs 772
mapping from aerial photography 101
march from their headquarters 54
march into their territories 40
marks have been capitalized 52
marks have been established 195
marks have been obliterated 214
marks have been transferred 62
marks upon some conspicuous 72
marks were soon obliterated 44
marts have been effectively 104
maybe even more effectively 44
maybe even more importantly 360
maybe even more significant 57
meanings from their experiences 85
meanings have been constructed 78
meanings have been established 154
mercy over these unfortunate 108
merge into their environment 50
metal from room temperature 62
method bears some resemblance 122
method have been established 132
method have been extensively 128
method have been implemented 121
method have been recommended 60
method used most extensively 62
method when once established 79
might also have anticipated 101
might also have applications 44
might also have constituted 66
might also have contributed 1772
might also have discouraged 83
might also have encountered 110
might also have established 66
might also have experienced 152
might also have facilitated 93
might also have illustrated 71
might also have implications 283
might also have interpreted 40
might also have occasionally 40
might also have recommended 45
might also have represented 181
might also have significant 134
might also make arrangements 45
might break your instruments 49
might call forth observations 67
might come from differences 44
might cope more effectively 62
might curb your magnanimity 421
might deem most advantageous 140
might even feel intimidated 44
might even have anticipated 94
might even have contributed 245
might even have discouraged 40
might even have entertained 66
might even have established 55
might even have experienced 84
might even have forestalled 43
might even have represented 63
might ever have entertained 62
might fall into unauthorized 57
might feel less comfortable 67
might feel less constrained 54
might feel more comfortable 3097
might feel most comfortable 137
might feel very comfortable 63
might feel very differently 248
might find many explanations 43
might find more comfortable 49
might find more satisfaction 73
might find most advantageous 44
might find some awkwardness 60
might find some compensation 73
might find some confirmation 46
might find some countenance 63
might find some differences 57
might find some opportunity 225
might find some satisfaction 105
might gain some perspective 48
might gain some understanding 257
might give full satisfaction 56
might give great satisfaction 41
might give some countenance 90
might give some satisfaction 78
might hare been anticipated 43
might have also contributed 564
might have been accelerated 624
might have been accentuated 150
might have been accompanied 1162
might have been accomplices 40
might have been accountable 47
might have been accumulated 630
might have been acknowledging 53
might have been additionally 64
might have been adjudicated 106
might have been administering 45
might have been adulterated 124
might have been advantageous 1305
might have been affectionate 59
might have been affirmative 45
might have been alternative 56
might have been amalgamated 109
might have been annihilated 902
might have been anticipated 50800
might have been apprehended 2007
might have been apprenticed 104
might have been appropriated 571
might have been arbitrarily 95
might have been articulated 197
might have been artificially 296
might have been ascertained 1253
might have been assimilated 316
might have been beneficially 141
might have been blackmailed 82
might have been brainwashed 59
might have been businessmen 41
might have been camouflaged 48
might have been capitalized 43
might have been categorized 142
might have been coincidence 345
might have been collaborating 44
might have been comfortable 561
might have been comfortably 241
might have been commendable 189
might have been commercially 74
might have been commissioned 537
might have been commonplace 321
might have been communicating 78
might have been compensated 490
might have been compensation 47
might have been competitive 76
might have been competitors 58
might have been complicated 201
might have been compromised 1839
might have been conceivable 340
might have been conceivably 59
might have been concentrating 65
might have been conciliatory 49
might have been confederate 45
might have been confidently 704
might have been confiscated 228
might have been congratulating 62
might have been conjectured 942
might have been conscripted 42
might have been consecrated 185
might have been considerate 70
might have been conspicuous 108
might have been constituted 606
might have been constrained 461
might have been constructed 4090
might have been consummated 266
might have been contemplating 523
might have been continually 76
might have been contributed 380
might have been conventional 66
might have been coordinated 63
might have been decapitated 74
might have been demonstrating 68
might have been denominated 262
might have been depopulated 85
might have been descendants 182
might have been desperately 48
might have been destructive 221
might have been detrimental 631
might have been differences 314
might have been differently 1205
might have been disagreeable 470
might have been disappointing 137
might have been disapproval 59
might have been disapproved 42
might have been discernible 128
might have been disciplined 180
might have been discomfited 45
might have been disconcerting 344
might have been discouraged 1311
might have been discredited 165
might have been disheartened 154
might have been disinclined 89
might have been disinterred 75
might have been disputatious 54
might have been disregarded 651
might have been distasteful 196
might have been distinctive 40
might have been distinguished 1072
might have been distributed 1121
might have been diversified 47
might have been drastically 195
might have been effectively 625
might have been effectually 841
might have been emancipated 127
might have been embarrassed 1904
might have been embellished 173
might have been embroidered 89
might have been encompassed 51
might have been encountered 1122
might have been enlightened 457
might have been entertained 2804
might have been established 6189
might have been exacerbated 281
might have been exaggerated 2760
might have been exasperated 88
might have been excessively 113
might have been exclusively 107
might have been exculpatory 98
might have been exemplified 166
might have been experienced 1456
might have been experimenting 94
might have been explainable 45
might have been extensively 84
might have been extravagant 88
might have been facilitated 673
might have been forerunners 42
might have been forestalled 643
might have been functionally 59
might have been generalized 138
might have been genetically 104
might have been hallucinating 160
might have been handicapped 206
might have been highlighted 62
might have been hypothesized 126
might have been identifiable 58
might have been illuminated 109
might have been illustrated 692
might have been immeasurably 94
might have been immobilized 47
might have been imperfectly 51
might have been impersonating 47
might have been impertinent 95
might have been implemented 597
