machine spray machine thrashing 44
managed local affairs through 43
mankind would destroy itself 42
mankind would forever remain 45
marines under captain miller 118
marines under colonel robert 154
marriage treaty between edward 47
marriage treaty between england 62
marriage treaty between prince 56
married george herbert palmer 55
married major francis wright 47
married women between twenty 123
married women certain rights 111
married women teachers should 54
marshal shall deposit public 44
massive urban renewal effort 43
material change between periods 65
material social process itself 62
material under repeated stress 109
material under tensile stress 151
material which appeared softer 42
material which extends beyond 44
material which filters through 43
material which follows should 54
material which offered itself 42
material whose tensile strength 46
material within certain limits 59
matrons whose courage needed 47
matters under preceding reigns 48
matters which closely affect 72
matters which concern myself 72
matters which concern nobody 87
matters which concern solely 56
matters which deserve special 41
matters which princes should 45
matters which require further 320
matters which require genius 40
matters which require special 145
matters which require thought 45
matters which vitally affect 323
mawkish about attending muster 48
maximum blood alcohol levels 57
maximum gross vehicle weight 289
maximum working tensile stress 42
measured about fifteen inches 78
measured after passage through 67
measured blood glucose levels 66
measured social desires instead 68
measures about fifteen inches 218
measures about sixteen inches 109
measures about thirteen inches 53
measures blood glucose levels 121
measures shall finally assume 55
measures taken against german 173
measures taken against jewish 45
measures which congress deemed 50
medical books printed before 54
medical child support orders 702
medical social service worker 177
medical staff members should 48
members share certain common 44
members share certain values 52
members share similar values 211
members trace descent through 58
members working together toward 68
message after message before 237
message passing between agents 50
message which mahatma gandhi 44
migrating adult sockeye salmon 62
migrating birds avoided crossing 78
minimum basic research amount 168
minimum daily caloric intake 322
minimum daily calorie intake 140
minimum daily protein intake 82
minimum funding waivers should 49
minimum spark ignition energy 75
minimum working capital levels 64
minutes after alcohol ingestion 68
minutes after glucose ingestion 91
minutes after official sunset 44
minutes eight hundred english 41
minutes fifty thousand lights 40
minutes later sergeant parker 52
minutes under fifteen pounds 49
minutes until desired effect 66
minutes until lightly golden 259
minutes which elapsed before 252
misrule would quickly follow 58
missile which science itself 67
moments which elapsed before 61
monarch could possess little 44
monarch found himself unable 74
monitor blood glucose levels 3034
monitor liver function before 50
monitor serum calcium levels 108
monitor serum glucose levels 158
motives which induced another 43
motives which induced cedric 83
motives which induced prince 123
mounted yeoman pressed through 53
murdering eight student nurses 91
musical sound becomes broken 89
mutation which reduces enzyme 149
