made acclamations of joy 71
made accountable to any 54
made accountable to god 83
made accountable to its 48
made accountable to new 60
made accountable to them 133
made adjustments in her 61
made adjustments in his 126
made adjustments in its 104
made adjustments in our 48
made adjustments so that 142
made adjustments to her 91
made adjustments to his 192
made adjustments to its 76
made adjustments to our 49
made adjustments to this 58
made applications to her 89
made applications to him 49
made applications to his 56
made arrangements at his 44
made arrangements at this 40
made arrangements in his 242
made arrangements of his 151
made arrangements of this 66
made arrangements on his 48
made arrangements so that 1769
made arrangements to act 64
made arrangements to add 64
made arrangements to bring 1915
made arrangements to buy 2111
made arrangements to cut 120
made arrangements to deal 90
made arrangements to fly 2336
made arrangements to get 4378
made arrangements to head 58
made arrangements to hear 55
made arrangements to lay 45
made arrangements to lead 51
made arrangements to let 87
made arrangements to pay 2482
made arrangements to put 499
made arrangements to read 65
made arrangements to run 377
made arrangements to see 1481
made arrangements to set 345
made arrangements to sit 57
made arrangements to that 183
made arrangements to this 177
made arrangements to try 92
made arrangements to use 688
made artificially by man 66
made artificially of earth 48
made calculations in his 65
made calculations of this 143
made collapsible so that 87
made combinations of one 40
made comfortable by being 44
made comfortable by her 87
made comfortable by his 131
made comfortable in any 45
made comfortable in bed 517
made comfortable in her 115
made comfortable in his 239
made comfortable in one 124
made comfortable on his 90
made comfortable so that 43
made comfortable to her 140
made commercially by this 93
made commercially in this 97
made commitments in this 45
made commitments to buy 63
made commitments to each 78
made commitments to them 45
made commodities it can 187
made commodities of all 232
made comparisons of this 81
made compensation to him 55
made comptroller of his 96
made confidantes of them 41
made conformable to and 64
made conformable to god 90
made conformable to him 231
made conformable to his 3186
made conformable to our 86
made conformable to that 135
made conformable to this 114
made conspicuous by being 143
made conspicuous by her 61
made conspicuous by his 217
made conspicuous by its 961
made conspicuous by this 51
made conspicuous in his 49
made conspicuous to all 110
made continuation of this 67
made contribution to this 40
made corresponding to each 43
made corresponding to that 93
made declarations of war 84
made declarations to that 57
made declarations to this 67
made destructive of them 106
made discoveries in this 84
made discoveries of his 57
made discoveries of new 76
made dispositions of his 89
