mace taken from the 125
made about dining me 143
made about five or 154
made about four in 40
made about four or 143
made about half an 359
made about half as 214
made about half of 267
made about half the 473
made about having to 59
made about jews by 65
made about jews in 52
made about lack of 124
made about life in 153
made about many of 497
made about most of 567
made about much of 111
made about noon on 44
made about once in 93
made about some of 959
made about such an 156
made about those in 41
made about those of 57
made about three or 175
made about three to 45
made about trying to 48
made about ways in 92
made about ways of 89
made about ways to 116
made about what he 230
made about what is 1913
made about what it 277
made about what the 1343
made about what to 2273
made about what we 237
made about when it 44
made about when the 157
made about when to 345
made about whom or 41
made about whom to 223
made above from the 256
made above must be 301
made above seem to 69
made above three or 69
made above upon the 219
made above will be 442
made after coming to 71
made after date of 133
made after filing of 70
made after four or 275
made after giving the 99
made after hearing of 42
made after hearing the 244
made after leaving the 266
made after making the 42
made after many of 40
made after most of 142
made after moving to 86
made after reading an 44
made after reading the 380
made after seeing the 197
made after some of 87
made after such an 143
made after such as 51
made after suit is 46
made after taking the 162
made after those of 71
made after three or 86
made after years of 329
made again during the 164
made again from the 92
made again what it 40
made again when the 181
made alice think of 59
made alice want to 46
made alive from the 275
made amply clear by 664
made amply clear in 783
made amply clear the 90
made amply clear to 238
made annie think of 117
made annie want to 48
made anything clear it 42
made anything from the 224
made anything like an 183
made anything like as 185
made anything like it 121
made anything like so 70
made anything like the 1123
made apart from an 57
made apart from the 2033
made appeal from the 46
made appear from the 114
made appear unto us 51
made apply also to 140
made apply only to 151
made arising from the 101
made arose from the 79
made aside from the 121
made avail able to 116
made aware also of 89
made aware during the 77
made aware early in 56
made aware early on 43
made aware from the 364
made aware only by 103
made aware only of 88
made aware prior to 66
made aware what the 46
made aware when he 40
made aware when the 69
made based more on 63
made based only on 398
made based upon an 185
made based upon the 6433
made below will be 81
made billy want to 48
made binding only by 41
made binding upon me 58
made binding upon the 2959
made binding upon us 49
made blake feel the 61
made blood flow in 53
made blood rush to 58
made books must be 103
made breaking into the 59
made brief note of 46
made brief work of 184
made broad bars of 57
made broad jest of 46
made calling upon the 44
made calls from the 106
made calls upon the 130
made canoes from the 135
made change from the 109
made chief among the 120
made chief over the 49
made china part of 45
made china what it 56
made claim upon the 136
made close along the 49
made close upon the 40
made clothing from the 480
made clothing such as 40
made comes down to 41
made comes from the 481
made cooking pots in 42
made could also be 237
made could have no 57
made could only be 614
made could well be 41
made daily during the 496
made daily from the 521
made daily into the 46
made daily life in 53
made daily over the 89
made daily runs to 66
made daily when the 85
made david their king 178
made david think of 259
made david want to 69
made easier during the 56
made easier from the 128
made easier once the 60
made easier only by 59
made easier over the 60
made easier when an 47
made easier when he 176
made easier when it 144
made easier when the 1540
made easier when we 266
made easily from the 233
made easily when the 48
made egypt part of 43
made egypt what it 70
made either along the 73
made either during or 162
made either during the 515
made either flat or 93
made either from an 164
made either from the 3884
made either full or 54
made either good or 153
made either here or 154
made either high or 50
made either into the 250
made either late in 69
made either more or 166
made either over the 92
made either prior to 208
made either side of 78
made either single or 120
made either singly or 88
made either there or 62
made either true or 44
made either upon an 85
made either upon the 444
made either when the 362
made ellen think of 56
made emily want to 76
made entry into the 2476
made entry upon the 115
made equal only by 52
made equal unto the 111
made esther take up 43
made every atom of 117
made every bone in 107
made every cell in 95
made every cent of 116
made every drop of 119
made every five or 221
made every five to 40
made every foot of 105
made every form of 158
made every four or 385
made every four to 74
made every good thing 42
made every hair on 214
made every heart in 87
made every hour at 47
made every hour in 56
made every hour of 305
made every hour on 53
made every hour or 74
made every inch of 417
made every kind of 1437
made every line of 40
made every living thing 377
made every month by 62
made every month in 116
made every month or 90
made every month to 78
made every move in 54
made every once in 43
made every other thing 74
made every page of 64
made every part of 1092
made every shew of 83
made every show of 177
made every sign of 121
made every single thing 55
made every sort of 584
made every soul of 131
made every step an 143
made every step in 48
made every step of 473
made every third or 231
made every three or 404
made every three to 182
made every time an 146
made every time he 152
made every time it 186
made every time the 1339
made every time to 41
made every time we 98
made every town in 72
made every trip to 62
made every type of 104
made every vote of 83
made every week by 98
made every week in 97
made every week or 206
made every week to 67
made every whit as 243
made every word he 83
made every word of 123
made extra cash by 70
made extra heavy to 69
made extra thick to 42
made extra wide to 55
made faces back at 149
made faces into the 41
made faces over it 46
made films during the 84
made films like the 55
made films such as 429
made fires along the 175
made fires during the 119
made first along the 55
made first among the 59
made first duke of 91
made first during the 53
made first film the 44
made first from the 849
made first lord of 4628
made first trip to 53
made first upon the 111
made first when the 62
made flesh among us 193
made flesh from the 127
made flour from the 139
made folks think it 44
made folks want to 56
made foods such as 116
made frank think of 55
made fresh from the 148
made fresh prior to 61
made front page in 130
made front page of 64
made fully clear by 116
made fully clear in 170
made fully clear the 58
made fully clear to 174
made fully paid up 55
made gains among the 94
made gains during the 226
made gains from the 123
made gains over the 122
made george think of 86
made getting into the 71
made gifts during the 68
made gives rise to 79
made goods during the 107
made goods from the 514
made goods into the 293
made goods must be 206
made goods sold in 119
made goods such as 470
made goods used in 56
made goods used to 44
made goods will be 164
made grand duke of 514
made happy from the 47
made happy only by 170
made happy when he 77
made happy when the 49
made harry think of 64
made harry want to 49
made haste along the 159
made haste away to 76
made haste back to 1413
made haste down the 431
made haste down to 105
made haste from the 71
made haste home to 382
made haste into the 625
made haste over the 43
made haste unto the 69
made havoc among the 2226
made helen want to 46
made henry ford the 67
made henry think of 64
made henry viii the 42
made holes along the 41
made homes along the 117
made human beings as 113
made human beings in 862
made human beings of 98
made human beings on 89
made human beings so 75
made human beings the 162
made human beings to 374
made israel what it 66
made items from the 53
made items such as 748
made japan what it 116
made jelly from the 160
made jenny skip to 82
made jesus into the 47
made jesus lord of 120
made jesus what he 71
made jokes when he 44
made judah also to 131
made julie want to 41
made known along the 44
made known also by 56
made known also to 73
made known among the 656
made known among us 76
made known during the 536
made known early in 141
made known even in 70
made known even to 379
made known from the 731
made known many of 89
made known only as 353
made known only at 70
made known only by 1889
made known only in 380
made known only to 2861
made known over the 122
made known part of 43
made known prior to 146
made known some of 280
made known there by 109
made known till the 181
made known unto me 2206
made known unto the 2630
made known unto us 9173
made known upon the 135
made known well in 69
made known what he 459
made known what is 136
made known what it 51
made known what the 265
made known what we 56
made known when he 130
made known when the 516
made lamps good in 53
made large areas of 306
made large cuts in 159
made large gaps in 75
made large sums as 43
made large sums by 490
made large sums in 115
made large sums of 1987
made later during the 154
made later from the 175
made later when he 59
made later when the 341
made later will be 60
made laura want to 75
made leather from the 41
made legal only by 40
made liable only to 55
made liable upon the 113
made liens upon the 72
made light even of 54
made light upon the 97
made light work of 991
made lines fast to 44
made loans during the 53
made loans from the 168
made loans only on 93
made loans only to 141
made lower down in 116
made lower down on 54
made lower down the 339
made lowly wise the 50
made major cuts in 172
made marks upon the 76
made merry among the 53
made merry during the 71
made merry over it 630
made merry over my 113
made merry over the 2991
made merry till the 100
made merry upon the 57
made might also be 93
made might have to 42
made might well be 131
made money during the 1963
made money even in 46
made money from it 783
made money from my 60
made money from the 4895
made money only to 54
made money over the 284
made money were the 63
made money when he 109
made money when the 229
made months ahead of 83
made moral good the 44
made music among the 98
made music from the 100
made music like the 90
made music such as 59
made music when the 45
made nearly half of 131
made nearly half the 83
made never more to 98
made noise when he 140
made notes along the 48
made notes during the 579
made notes from it 202
made notes from the 281
made notes upon it 100
made notes upon the 177
made odious love to 72
made offer unto us 59
made often during the 142
made opening into the 41
made others feel at 42
made others feel it 200
made others feel so 83
made others feel the 95
made others take my 43
made others think he 83
made others think it 45
made others want to 433
made paper from the 420
made paris what it 105
made parts such as 40
made pedro play an 42
made people able to 52
made people come to 203
made people dream of 69
made people eager to 378
made people fall in 270
made people feel as 413
made people feel at 457
made people feel he 70
made people feel it 103
made people feel so 176
made people feel the 296
made people fond of 52
made people from the 44
made people give up 134
made people like me 180
made people like the 141
made people like to 101
made people live in 51
made people look at 1029
