madly flinging overboard the 42
magic make ourselves as 207
magic will generally be 83
maids were forbidden to 52
mailing list available to 3695
mailing list consisted of 66
mailing list dedicated to 467
mails from alexandria to 57
mails from liverpool to 65
mails were delivered to 52
mains were installed in 73
major areas addressed by 51
major areas addressed in 48
major areas discussed in 115
major areas throughout the 51
major arms shipments to 40
major arms suppliers to 185
major arts festivals in 42
major asian countries in 63
major auto companies in 73
major auto companies to 48
major book published in 54
major cell population in 64
major cell processes of 73
major city newspaper to 55
major city throughout the 197
major coal producers in 50
major cost advantage in 47
major cost advantage of 43
major cost component in 159
major cost component is 86
major cost component of 282
major cost reductions in 104
major crop throughout the 70
major drug companies in 62
major drug companies to 93
major early influence on 117
major film companies in 100
major film companies to 88
major film festivals in 49
major film producers in 42
major fire destroyed the 91
major food companies in 70
major food producers in 88
major food retailers in 74
major food shortages in 57
major from chemistry to 136
major gene influence on 78
major goal throughout the 63
major gold discovery in 120
major home appliances in 64
major host countries in 48
major ideas contained in 120
major ideas developed in 110
major ideas discussed in 90
major ideas expressed in 62
major ideas presented in 401
major land engagement of 79
major land offensive in 56
major male character in 82
major mass movements of 83
major means available to 95
major media companies in 71
major mining companies in 99
major mining districts in 59
major mining districts of 54
major mining operations in 77
major part consisted of 139
major rift developed in 66
major risk exposures to 202
major role especially in 71
major role performed by 67
major role throughout the 522
major single influence on 68
major solo exhibition at 91
major solo exhibition in 80
major solo exhibition of 67
major step backwards in 66
major task confronting the 349
major task performed by 77
major theme developed by 65
major theme developed in 95
major theme throughout the 662
major took advantage of 85
major tool available to 128
major tour operators in 90
major work completed by 40
major work consisted of 92
major work published by 69
major work published in 265
major work stoppages in 91
maker must determine the 152
makes body tributary to 99
makes bulk purchases of 60
makes cash available to 49
makes clear elsewhere in 314
makes clear reference to 1395
makes clear throughout the 280
makes code difficult to 47
makes data available to 366
makes faith difficult at 63
makes food available to 88
makes food necessary to 601
makes full confession of 162
makes heavy purchases of 72
makes land available to 45
makes less difficult the 47
makes less important the 153
makes less impression on 132
makes less necessary the 73
makes less plausible the 41
makes less reference to 41
makes life desirable or 79
makes life desirable to 259
makes life difficult at 44
makes life difficult in 99
makes life difficult is 72
makes life difficult to 56
makes life endurable in 43
makes life endurable to 47
makes life interesting is 103
makes life interesting to 62
makes life tolerable in 48
makes life tolerable is 65
makes life tolerable to 168
makes life unbearable to 54
makes life worthwhile is 87
makes life worthwhile to 85
makes mass production of 41
makes more beneficial to 75
makes more difficult an 135
makes more difficult the 6278
makes more difficult to 317
makes more effective the 527
makes more efficient the 279
makes more important the 275
makes more impression on 534
makes more interesting the 74
makes more manageable the 59
makes more necessary the 56
makes more palatable the 49
makes more plausible the 789
makes more prominent the 198
makes more reasonable the 112
makes more reference to 42
makes more tolerable the 41
makes more wonderful the 54
makes most difficult the 68
makes most impression on 154
makes much advantage of 66
makes much impression on 1203
makes much reference to 279
makes open confession of 175
makes open profession of 188
makes open reference to 55
makes peace overtures to 79
makes some allowance in 41
makes some alteration in 93
makes some concession to 324
makes some criticism of 56
makes some discussion of 46
makes some diversity of 58
makes some exceptions to 110
makes some impression on 216
makes some knowledge of 112
makes some objections to 82
makes some pretension to 56
makes some reference to 1590
makes some sacrifice of 95
makes such assertions as 51
makes such movements of 68
makes teeth resistant to 53
makes text difficult to 99
makes their appearance in 109
makes their relevance to 46
makes these arguments in 63
makes these assertions in 63
makes these available to 267
makes these difficult to 124
makes these phenomena so 101
makes three arguments in 41
makes three exceptions to 51
makes three varieties of 64
makes time available to 54
makes truth dependent on 83
makes very difficult the 690
makes very difficult to 342
makes what happiness we 121
makes when enveloped in 1793
makes will determine the 89
makes your boyfriend or 42
makes your ingratitude to 76
males aged seventeen to 107
males feel compelled to 49
males find themselves in 62
males from childhood to 50
males from seventeen to 107
males have attempted to 51
males have continued to 90
males have dominated the 94
males take advantage of 76
males take possession of 43
males took advantage of 64
males were appointed to 58
males were attracted by 57
males were attracted to 422
males were available to 47
males were castrated at 59
males were collected at 90
males were collected in 154
males were collected on 73
males were commanded to 50
males were committed to 40
males were compelled to 70
males were convicted of 87
males were described as 290
males were estimated to 82
males were forbidden to 65
males were obligated to 48
males were perceived as 232
males were perceived to 49
males were permitted to 382
males were portrayed as 247
males were preferred to 116
males were qualified to 90
males were reluctant to 62
males were sentenced to 93
males were subjected to 219
males when addressed by 52
mamma took possession of 43
manly mind disdained to 157
mapping from semantics to 198
mapping from sequences of 44
mapping from situations to 129
march from alexandria to 652
march from allahabad to 127
march from annapolis to 108
march from auschwitz to 249
march from barbarism to 135
march from barcelona to 55
march from brunswick to 43
march from california to 51
march from cambridge to 164
march from chihuahua to 72
march from desolation to 98
march from edinburgh to 280
march from frederick to 158
march from jerusalem to 139
march from nashville to 316
march from newcastle to 206
march from princeton to 117
march from salisbury to 100
march from springfield to 141
march from tennessee to 188
march from vicksburg to 236
march from waterford to 90
march from worcester to 108
march into captivity in 41
march over carcasses of 65
march their companies to 70
march their regiments to 52
march were alleviated by 100
marking their residence by 55
marking their transition to 45
marks more especially the 106
marks were allocated to 56
marks were difficult to 47
marks were impressed on 54
marks were necessary to 57
marks were permitted to 43
marks will generally be 85
marls were deposited in 112
marry among themselves or 171
marry only daughters of 54
marry their daughters as 522
marry their daughters at 312
marry their daughters in 314
marry their daughters or 165
marry their daughters to 2674
marry their sovereign to 45
marry till possessed of 54
marry your daughters to 143
masts were shortened at 45
masts were supported by 66
match more precisely the 40
match their abilities to 49
match their conception of 59
match their interests to 94
match their knowledge of 129
match their movements to 118
match their opponents in 104
match their perception of 171
match their production to 45
match their resources to 65
match their responses to 91
match those available in 226
match those available to 84
match those contained in 99
match those described by 173
match those described in 361
match those discussed in 84
match those generated by 101
match those indicated in 41
match those predicted by 386
match those presented in 105
match those specified by 89
match those specified in 218
match those suggested by 53
match your abilities to 41
match your interests to 59
match your perception of 117
mates were presented as 45
matte film lamination by 52
mauls were necessary to 102
maxim been neglected as 70
maybe best described as 85
maybe even necessary to 43
maybe more difficult to 144
maybe more effective in 60
maybe more important in 67
maybe more important to 68
maybe more sensitive to 53
maybe most important of 259
maybe take advantage of 54
maybe very difficult to 74
meager data available on 115
meager data available to 41
meager time available in 48
meanings made available by 46
meanings made available to 45
meanings were expressed by 56
meanings were expressed in 47
meanly take advantage of 74
meanly taking advantage of 75
meanly took advantage of 71
medal were presented to 54
medial axis transform is 93
medial axis transform of 137
medial wall separates the 49
median fins supported by 72
median line principle in 70
median line principle is 55
median will generally be 48
meeting also addressed the 105
meeting also authorized the 96
meeting also condemned the 151
meeting also confirmed the 52
meeting also discussed the 943
meeting among ourselves to 150
meeting among themselves in 44
meeting among themselves to 248
meeting during discussion of 50
meeting ever assembled in 153
meeting from edinburgh to 52
meeting held yesterday at 43
meeting held yesterday in 177
meeting high standards of 562
meeting room overlooking the 85
meeting some frenchman in 40
meeting some necessity of 46
meeting such objections as 44
meeting their objective of 50
meeting their obligation to 272
meeting their opponents in 51
meeting their standards of 132
