maces borne before him 67
madly rushing through all 41
magic stream before him 90
magic title beside them 58
magic which sweeps out 121
maids stood around her 56
mains power supply and 80
mains water supply and 116
maize dwarf mosaic and 181
maize roots treated with 59
major banking crisis and 41
major blood groups and 83
major blood groups are 126
major blood supply and 42
major blood supply for 94
major blood vessel and 133
major blood vessel has 42
major blood vessel may 65
major blood vessel that 314
major brain center for 47
major brain regions and 44
major chain stores and 93
major change occurs with 45
major civil rights act 278
major civil rights and 198
major civil rights law 166
major driving factor for 69
major driving forces and 47
major driving forces are 60
major driving forces for 1193
major driving forces that 213
major dumping ground for 69
major enemy forces and 57
major entry points for 105
major ethnic groups and 972
major ethnic groups are 982
major ethnic groups can 55
major ethnic groups for 60
major ethnic groups had 79
major ethnic groups has 110
major ethnic groups that 713
major ethnic groups was 110
major ethnic groups who 122
major ethnic groups with 119
major fishing ground for 51
major focal points for 288
major force behind all 52
major force behind his 60
major force behind its 86
major force behind this 477
major funding agency for 162
major funding source for 710
major growth factor for 224
major growth market for 123
major growth sector for 47
major hotel chains and 92
major hotel chains are 153
major human rights and 88
major indian cities and 103
major issue raised was 47
major label record deal 77
major league career and 162
major league career had 58
major league career that 435
major league career was 348
major league career with 991
major league hockey team 44
major league owners and 104
major league owners had 75
major league player and 185
major league player for 54
major league player has 54
major league player was 84
major league player who 115
major league player with 50
major league record and 46
major league record for 2395
major league record set 239
major league record that 458
major league record was 74
major league record with 663
major league roster and 81
major league roster for 110
major league salary was 60
major league scouts and 53
major league scouts who 45
major league seasons and 112
major league seasons with 128
major league soccer team 50
major league sports and 109
major league sports are 57
major league sports team 252
major league status and 43
major league status for 53
major learning theories and 109
major legal issues are 48
major legal issues that 235
major meeting places for 50
major model system for 40
major movie studios and 117
major naval battle was 81
major naval powers and 96
major naval powers had 55
major nerve trunks and 74
major nerve trunks are 84
major nesting ground for 41
major opera houses and 166
major party leaders and 93
major party leaders are 46
major plant groups and 65
major plant groups are 46
major power plants and 77
major power plants are 70
major power source for 163
major power status and 110
major proving ground for 108
major racial groups and 86
major racial groups are 135
major racial groups that 99
major reason behind his 74
major reason behind this 379
major relay center for 63
major relay station for 218
major river basins and 328
major river basins are 128
major river basins with 43
major river system and 65
major river system that 115
major sales outlet for 47
major scale except that 54
major search engines and 910
major search engines are 243
major search engines can 70
major search engines for 110
major search engines now 54
major search engines that 135
major search engines with 49
major selling points and 46
major selling points are 99
major selling points for 144
major sense organs and 115
major sense organs are 105
major social center for 55
major social changes and 353
major social changes are 234
major social changes can 43
major social changes for 45
major social changes that 1094
major social events and 117
major social events for 88
major social events that 114
major social forces and 113
major social forces are 41
major social forces that 423
major social groups and 341
major social groups are 139
major social groups that 171
major social issues and 333
major social issues are 79
major social issues that 340
major social outlet for 40
major social reform and 52
major social reform was 44
major social trends and 151
major social trends that 169
major social unrest and 45
major social values and 40
major staging ground for 141
major steel plants are 67
major steps toward this 46
major study showed that 249
major testing ground for 505
major thrust faults and 81
major thrust faults are 51
major trade center and 98
major trade center for 228
major trade routes and 506
major trade routes for 61
major trade routes had 42
major trade routes that 334
major trading center and 161
major trading center for 472
major trading center with 65
major trading houses and 41
major trading nations and 266
major trading nations are 187
major trading nations had 91
major trading nations met 46
major trading nations that 53
major trading nations was 42
major trading routes and 41
major trunk routes and 59
major turning points and 220
major turning points are 152
major turning points for 146
major turning points that 216
major urban center and 265
major urban center for 77
major urban center that 152
major urban center was 59
major urban center with 141
major urban regions and 116
major water bodies and 57
major water masses and 48
major water source for 250
major water supply and 82
major water supply for 112
major world center for 105
major world cities and 51
major world cities are 42
major world events and 98
major world events that 123
major world issues and 64
major world market for 85
major world powers and 392
major world powers are 124
major world powers for 47
major world powers had 78
major world powers that 104
major world powers with 61
major world regions and 148
major world regions are 58
major world source for 44
maker shall depart this 114
maker whose images are 48
makes about itself and 45
makes ample amends for 1250
makes athens larger than 62
makes every effort for 56
makes every effort not 509
makes every excuse for 55
makes every person who 81
makes false claims for 51
makes fewer errors and 103
makes fewer errors than 89
makes getting around easy 55
makes grand claims for 48
makes heaven drowsy with 68
makes human thought and 51
makes jesus christ two 125
makes jesus polite and 57
makes large amends for 61
makes large claims for 541
makes learning exciting and 84
makes money faster than 43
makes night hideous with 143
makes others affirm and 53
makes peanut butter and 43
makes people anxious and 139
makes people assume that 147
makes people better and 121
makes people better off 646
makes people bitter and 133
makes people fearful and 40
makes people forget that 257
makes people realize that 388
makes people stupid and 52
makes people unjust and 49
makes people wonder how 45
makes people wonder why 43
makes sense before you 40
makes sense except for 69
makes sense except that 51
makes sense unless one 41
makes sense unless you 90
makes sense without any 60
makes sense without this 49
makes still further use 46
makes strong claims for 227
males score higher than 268
males scoring higher than 103
